class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
28,bad,16366,5815,473,0.3217811384162991,0.0873717998903938,-0.2344093385259053,0.26345657781599313,0.09595872742906277,-0.16749785038693038
29,other,29653,30274,588,0.8087042946068944,0.11661395805827628,-0.6920903365486182,0.7660038316707406,0.06272709255466737,-0.7032767391160732
30,other,8131,645,0,0.8975206611570248,0.02450229709035222,-0.8730183640666725,0.8418604651162791,0.012403100775193798,-0.8294573643410853
31,other,7973,952,98,0.8941747572815534,0.24680073126142596,-0.6473740260201274,0.967436974789916,0.14180672268907563,-0.8256302521008403
32,other,2331,998,0,0.3008015087223008,0.03486238532110092,-0.2659391234011999,0.3196392785571142,0.01903807615230461,-0.3006012024048096
33,other,204,630,0,0.6793206793206793,0.0,-0.6793206793206793,0.5396825396825397,0.0,-0.5396825396825397
34,other,588,1240,0,0.5924453280318092,0.01596169193934557,-0.5764836360924636,0.4806451612903226,0.008064516129032258,-0.47258064516129034
35,other,875,930,22,0.7747972551466001,0.06451612903225806,-0.710281126114342,0.667741935483871,0.03333333333333333,-0.6344086021505376
36,other,826,216,1,0.3619047619047619,0.009174311926605505,-0.3527304499781564,0.2638888888888889,0.004629629629629629,-0.25925925925925924
37,other,1989,866,24,0.9060773480662984,0.06263982102908278,-0.8434375270372156,0.8521939953810623,0.03233256351039261,-0.8198614318706697
38,bad,77,193,0,0.08968609865470852,0.0,-0.08968609865470852,0.05181347150259067,0.0,-0.05181347150259067
39,other,4388,4483,389,0.9025587467362924,0.21727904667328699,-0.6852797000630054,0.9638634842739238,0.12201650680347981,-0.841846977470444
40,other,2334,737,104,0.6259808195292066,0.2995391705069124,-0.32644164902229417,0.4871099050203528,0.17639077340569878,-0.31071913161465403
41,other,2121,1636,17,0.6569659442724458,0.08139534883720931,-0.5755705954352365,0.6485330073349633,0.042787286063569685,-0.6057457212713937
42,other,1839,1444,0,0.40711462450592883,0.008270158511371467,-0.39884446599455736,0.2853185595567867,0.004155124653739612,-0.28116343490304707
43,other,2042,1992,12,0.7986024457199901,0.062135922330097085,-0.7364665233898929,0.8032128514056225,0.0321285140562249,-0.7710843373493976
44,stable,2910,1181,29,0.9479717813051146,0.07026143790849673,-0.8777103433966179,0.9102455546147333,0.03640982218458933,-0.873835732430144
45,other,2192,1463,0,0.788781163434903,0.40736728060671723,-0.3814138828281858,0.7785372522214627,0.25700615174299385,-0.5215311004784688
46,other,9798,7420,586,0.6391033964327205,0.22338568935427575,-0.4157177070784448,0.630188679245283,0.1293800539083558,-0.5008086253369272
47,bad,3839,618,0,0.0,0.0,0.0,0.0,0.0,0.0
48,bad,5001,3361,0,0.0017709563164108619,0.0,-0.0017709563164108619,0.0008925914906277894,0.0,-0.0008925914906277894
49,other,40220,31563,898,0.8421558075999669,0.10171421721409733,-0.7404415903858695,0.8057218895542249,0.053765484903209454,-0.7519564046510154
50,other,4546,1528,0,0.186155285313377,0.005164622336991607,-0.18099066297638539,0.13023560209424084,0.002617801047120419,-0.12761780104712042
51,other,21842,11645,1893,0.8603878116343491,0.4485887096774194,-0.4117991019569297,0.9335337054529841,0.30571060541004724,-0.6278231000429368
52,other,2301,1274,9,0.6664053312426499,0.04271548436308162,-0.6236898468795683,0.6671899529042387,0.02197802197802198,-0.6452119309262166
53,other,9775,5505,1203,0.8221734357848518,0.39417309340188517,-0.42800034238296664,0.8163487738419618,0.2924613987284287,-0.5238873751135331
54,other,6663,5063,0,0.3268134914523333,0.005120126033871603,-0.3216933654184617,0.20955954967410625,0.002567647639739285,-0.20699190203436696
55,other,8193,4063,1,0.6650446066504461,0.0044204322200392925,-0.6606241744304068,0.5045532857494462,0.002215111986217081,-0.5023381737632292
56,bad,10094,12137,0,0.0007871536523929471,0.0,-0.0007871536523929471,0.00041196341764851283,0.0,-0.00041196341764851283
57,stable,3065,2331,827,0.9740064446831365,0.5607649599012955,-0.413241484781841,0.9725439725439725,0.38996138996138996,-0.5825825825825826
58,other,2286,15,0,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,5660,0.9851931507982463,0.9724067450178845,-0.012786405780361831,0.9875621890547264,0.9467661691542288,-0.04079601990049753
60,other,49622,24845,2289,0.8670687575392039,0.39438055493612817,-0.4726882026030757,0.8679412356610988,0.24914469712215737,-0.6187965385389415
61,other,19676,10494,992,0.6124639431139733,0.3168186021931563,-0.29564534092081707,0.870020964360587,0.22851153039832284,-0.6415094339622641
62,stable,15549,11221,6982,0.9274218038262982,0.8531683168316831,-0.07425348699461509,0.9525888958203369,0.767935121646912,-0.18465377417342488
63,other,11152,5492,250,0.6012027349864074,0.19643972517176764,-0.40476300981463975,0.66442097596504,0.11453022578295703,-0.549890750182083
64,stable,2437,1215,38,0.7903039630627164,0.1951219512195122,-0.5951820118432043,0.8452674897119341,0.10864197530864197,-0.7366255144032922
65,other,3145,2112,10,0.927449168207024,0.01223529411764706,-0.915213874089377,0.9502840909090909,0.00615530303030303,-0.944128787878788
66,bad,5149,1955,2,0.001658374792703151,0.0,-0.001658374792703151,0.0010230179028132991,0.0,-0.0010230179028132991
67,other,854,1191,0,0.1558219178082192,0.014574898785425101,-0.1412470190227941,0.1528127623845508,0.007556675062972292,-0.14525608732157852
68,other,7271,2499,135,0.7406663318265528,0.15918653576437589,-0.5814797960621769,0.8851540616246498,0.09083633453381353,-0.7943177270908363
69,bad,879,1866,0,0.008430913348946136,0.0,-0.008430913348946136,0.00482315112540193,0.0,-0.00482315112540193
70,other,2642,908,6,0.36075949367088606,0.02176278563656148,-0.3389967080343246,0.2511013215859031,0.011013215859030838,-0.24008810572687225
71,other,149408,39434,31577,0.7009773624831083,0.4386416259325958,-0.26233573655051245,0.8484556474108638,0.562078409494345,-0.2863772379165188
72,other,17880,5765,88,0.49422234981698127,0.06515301085883514,-0.42906933895814614,0.5972246313963573,0.03434518647007806,-0.5628794449262793
73,other,29211,8821,126,0.8796707462363262,0.04102905300510091,-0.8386416932312253,0.9207572837546764,0.020972678834599252,-0.8997846049200771
74,other,9210,2294,24,0.5352180162913273,0.05236907730673317,-0.4828489389845941,0.486922406277245,0.02746294681778553,-0.45945945945945943
75,other,28060,6807,25,0.4022364217252396,0.023867721063982748,-0.37836870066125683,0.36991332451887765,0.012193330395181431,-0.3577199941236962
76,stable,10523,2683,1230,0.8810229799851742,0.726027397260274,-0.15499558272490022,0.8859485650391353,0.5728661945583302,-0.3130823704808051
77,other,81932,17960,1968,0.7427868015732428,0.32373307458210204,-0.4190537269911408,0.6887527839643652,0.20434298440979956,-0.48440979955456565
78,other,48009,10246,291,0.748072353426119,0.0777477393493055,-0.6703246140768135,0.7527815732968963,0.040698809291430806,-0.7120827640054656
79,other,25102,7528,124,0.7017907355335208,0.09866934471503891,-0.6031213908184818,0.6299149840595112,0.05220510095642933,-0.5777098831030818
80,other,6096,1055,0,0.31480241125251174,0.01125703564727955,-0.3035453756052322,0.22274881516587677,0.005687203791469194,-0.21706161137440758
81,other,7217,2122,49,0.9364595545134818,0.05850091407678245,-0.8779586404366994,0.9410933081998115,0.030160226201696512,-0.910933081998115
82,other,79609,27579,1449,0.7796960806439479,0.19308060130637247,-0.5866154793375754,0.7516226114072302,0.11200551143986366,-0.6396170999673665
83,other,24502,19531,2196,0.91312422616591,0.29325789721829326,-0.6198663289476167,0.9062516000204802,0.1751574420152578,-0.7310941580052224
84,other,2397,1057,61,0.8721951219512195,0.17743324720068906,-0.6947618747505304,0.8457899716177862,0.09744560075685904,-0.7483443708609272
85,other,2080,350,41,0.7124087591240876,0.2863961813842482,-0.4260125777398394,0.6971428571428572,0.17142857142857143,-0.5257142857142858
86,other,27759,20232,3252,0.8040145527537322,0.5286322922607266,-0.2753822604930056,0.7919137999209174,0.38943258204824044,-0.40248121787267693
87,other,11231,5056,1242,0.9071502786436195,0.4574966027479994,-0.4496536758956201,0.9497626582278481,0.29964398734177217,-0.650118670886076
88,other,204,83,0,0.21052631578947367,0.0449438202247191,-0.16558249556475457,0.5301204819277109,0.024096385542168676,-0.5060240963855422
89,other,486,377,4,0.7072599531615925,0.041237113402061855,-0.6660228397595307,0.8010610079575596,0.021220159151193633,-0.779840848806366
90,other,7635,4080,635,0.8953821473587716,0.41646027814821873,-0.4789218692105529,0.9575980392156863,0.2678921568627451,-0.6897058823529412
91,other,4262,2334,359,0.8252314814814815,0.4459907223326706,-0.3792407591488109,0.916452442159383,0.28834618680377033,-0.6281062553556127
92,other,2288,896,40,0.8409090909090909,0.15195071868583163,-0.6889583722232593,0.7845982142857143,0.08258928571428571,-0.7020089285714286
93,other,34812,18804,5741,0.7622616498419497,0.3311811023622047,-0.43108054747974495,0.7950967879174644,0.33551372048500316,-0.45958306743246125
94,stable,633,760,1,0.6138032305433186,0.025806451612903226,-0.5879967789304155,0.55,0.013157894736842105,-0.5368421052631579
95,other,50223,3282,86,0.9211843799170362,0.11674259681093394,-0.8044417831061023,0.9811090798293723,0.06246191346739793,-0.9186471663619744
