true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
38,125,5,193,5,0.025906735751295335,1,0.0051813471502590676,-4,-0.020725388601036267
47,5,1,618,279,0.45145631067961167,0,0.0,-279,-0.45145631067961167
47,6,2,618,96,0.1553398058252427,0,0.0,-96,-0.1553398058252427
47,7,3,618,59,0.09546925566343042,0,0.0,-59,-0.09546925566343042
47,151,4,618,43,0.06957928802588997,1,0.0016181229773462784,-42,-0.0679611650485437
47,102,5,618,33,0.05339805825242718,0,0.0,-33,-0.05339805825242718
48,14,1,3361,1310,0.389764950907468,2169,0.6453436477238917,859,0.25557869681642376
48,177,2,3361,1096,0.32609342457601903,14,0.0041654269562630165,-1082,-0.321927997619756
48,170,3,3361,577,0.1716750966974115,14,0.0041654269562630165,-563,-0.16750966974114848
48,6,4,3361,200,0.05950609937518596,5,0.001487652484379649,-195,-0.05801844689080631
48,5,5,3361,41,0.012198750371913121,0,0.0,-41,-0.012198750371913121
56,96,1,12137,3063,0.25236878965147896,1436,0.11831589354865288,-1627,-0.13405289610282609
56,165,2,12137,3015,0.24841394084205323,168,0.01384197083299003,-2847,-0.2345719700090632
56,118,3,12137,2489,0.20507538930542968,1,8.239268352970256e-05,-2488,-0.2049929966219
56,14,4,12137,1140,0.09392765922386093,729,0.060064266293153167,-411,-0.03386339293070776
56,71,5,12137,576,0.047458185713108676,1343,0.11065337398039055,767,0.06319518826728188
66,71,1,1955,271,0.13861892583120206,63,0.032225063938618924,-208,-0.10639386189258312
66,142,2,1955,266,0.1360613810741688,78,0.03989769820971867,-188,-0.09616368286445012
66,49,3,1955,240,0.12276214833759591,8,0.004092071611253197,-232,-0.11867007672634272
66,78,4,1955,154,0.07877237851662404,0,0.0,-154,-0.07877237851662404
66,108,5,1955,140,0.07161125319693094,30,0.015345268542199489,-110,-0.056265984654731455
69,105,1,1866,703,0.3767416934619507,72,0.03858520900321544,-631,-0.33815648445873525
69,39,2,1866,198,0.10610932475884244,1,0.0005359056806002144,-197,-0.10557341907824222
69,60,3,1866,181,0.0969989281886388,0,0.0,-181,-0.0969989281886388
69,125,4,1866,151,0.08092175777063237,4,0.0021436227224008574,-147,-0.07877813504823152
69,18,5,1866,136,0.07288317256162916,1,0.0005359056806002144,-135,-0.07234726688102894
104,2,1,1744,370,0.2121559633027523,93,0.053325688073394495,-277,-0.1588302752293578
104,117,2,1744,299,0.17144495412844038,836,0.4793577981651376,537,0.3079128440366973
104,133,3,1744,272,0.1559633027522936,12,0.006880733944954129,-260,-0.14908256880733944
104,19,4,1744,254,0.14564220183486237,0,0.0,-254,-0.14564220183486237
104,110,5,1744,111,0.06364678899082568,1,0.0005733944954128441,-110,-0.06307339449541284
109,71,1,393,98,0.24936386768447838,52,0.13231552162849872,-46,-0.11704834605597966
109,158,2,393,79,0.2010178117048346,4,0.010178117048346057,-75,-0.19083969465648853
109,140,3,393,62,0.15776081424936386,2,0.005089058524173028,-60,-0.15267175572519084
109,116,4,393,27,0.06870229007633588,0,0.0,-27,-0.06870229007633588
109,142,5,393,26,0.06615776081424936,2,0.005089058524173028,-24,-0.06106870229007633
118,25,1,2577,971,0.37679472254559565,137,0.05316259216142802,-834,-0.3236321303841676
118,96,2,2577,20,0.007760962359332557,126,0.048894062863795114,106,0.041133100504462554
118,117,3,2577,13,0.005044625533566162,1249,0.4846720993403182,1236,0.479627473806752
118,90,4,2577,12,0.004656577415599534,9,0.0034924330616996507,-3,-0.0011641443538998836
118,124,5,2577,12,0.004656577415599534,1,0.00038804811796662784,-11,-0.004268529297632906
139,133,1,973,147,0.1510791366906475,6,0.006166495375128468,-141,-0.144912641315519
139,32,2,973,105,0.1079136690647482,16,0.01644398766700925,-89,-0.09146968139773895
139,61,3,973,83,0.08530318602261049,13,0.013360739979445015,-70,-0.07194244604316546
139,153,4,973,50,0.051387461459403906,24,0.024665981500513873,-26,-0.026721479958890033
139,156,5,973,46,0.047276464542651594,30,0.030832476875642344,-16,-0.01644398766700925
164,138,1,1689,177,0.10479573712255773,25,0.014801657785671996,-152,-0.08999407933688573
164,117,2,1689,147,0.08703374777975133,1328,0.7862640615748964,1181,0.699230313795145
164,149,3,1689,99,0.0586145648312611,41,0.02427471876850207,-58,-0.03433984606275903
164,124,4,1689,60,0.035523978685612786,1,0.0005920663114268798,-59,-0.03493191237418591
164,96,5,1689,17,0.010065127294256957,2,0.0011841326228537595,-15,-0.008880994671403198
174,2,1,1507,440,0.291970802919708,196,0.1300597213005972,-244,-0.1619110816191108
174,133,2,1507,283,0.18779031187790313,29,0.019243530192435302,-254,-0.16854678168546783
174,28,3,1507,250,0.16589250165892502,15,0.009953550099535502,-235,-0.15593895155938953
174,19,4,1507,102,0.0676841406768414,20,0.013271400132714002,-82,-0.054412740544127404
174,23,5,1507,100,0.06635700066357,12,0.007962840079628402,-88,-0.058394160583941604
