class_id,reference_support,reference_recall,reference_f1,final_support,final_recall,final_f1,delta_final_recall_from_ref,delta_final_f1_from_ref,min_recall,first_collapse_period,first_collapse_recall,collapse_pattern,num_supported_periods,num_collapsed_periods,recall_slope_per_period,final_top_confusion_target,final_top_confusion_rate,first_collapse_top_confusion_target,first_collapse_top_confusion_rate
117,84936,0.8488744466421776,0.852553225453621,58860,0.7460584437648657,0.6539879219318951,-0.10281600287731185,-0.19856530352172586,0.7460584437648657,,,not_collapsed,9,0,-0.012747832086084255,122,0.03350322799864084,,
82,79609,0.8896858395407554,0.8900715681531144,27579,0.7516226114072302,0.7796960806439479,-0.13806322813352523,-0.11037548750916648,0.7516226114072302,,,not_collapsed,9,0,-0.013032192917773883,71,0.08930708147503535,,
22,4636,0.9659188955996548,0.9534759927605664,743,0.7523553162853297,0.6884236453201971,-0.21356357931432512,-0.2650523474403693,0.6871111111111111,,,not_collapsed,9,0,-0.025882506061827026,19,0.05383580080753701,,
78,48009,0.9317836239038514,0.9464208265896565,10246,0.7527815732968963,0.748072353426119,-0.17900205060695507,-0.19834847316353754,0.7520622201272684,,,not_collapsed,9,0,-0.028306820643992092,71,0.1814366582080812,,
142,62604,0.8572135965752987,0.8813868313433081,15948,0.755079006772009,0.6765168539325843,-0.10213458980328971,-0.20486997741072377,0.743731918997107,,,not_collapsed,9,0,-0.010548137582618586,140,0.1008903937797843,,
165,5176,0.9151854714064915,0.948443287616378,4989,0.7578673080777711,0.6357827476038339,-0.1573181633287204,-0.31266054001254406,0.7351905219340378,,,not_collapsed,9,0,0.0007313576548400624,56,0.10663459611144518,,
29,29653,0.9068559673557481,0.9006598117694343,30274,0.7660038316707406,0.8087042946068944,-0.14085213568500754,-0.09195551716253991,0.7028813644850381,,,not_collapsed,9,0,-0.019778121416823658,149,0.0670212063156504,,
97,41580,0.9699615199615199,0.9686801969496818,18214,0.7724278027890633,0.7774216721003481,-0.1975337171724566,-0.1912585248493337,0.7670310060227526,,,not_collapsed,9,0,-0.02808674078624834,96,0.057977380037333916,,
115,22978,0.88819740621464,0.8925869232451344,15934,0.7780218400903728,0.8206401218018734,-0.11017556612426727,-0.07194680144326104,0.7177882866496907,,,not_collapsed,9,0,-0.004678222519364,133,0.08089619681184888,,
45,2192,0.9178832116788321,0.9239954075774971,1463,0.7785372522214627,0.788781163434903,-0.13934595945736938,-0.1352142441425941,0.685432385374347,,,not_collapsed,9,0,-0.025610470349869807,117,0.03144224196855776,,
20,1281,0.8610460577673692,0.8330815709969789,1125,0.7804444444444445,0.5622798591098302,-0.0806016133229247,-0.27080171188714863,0.7804444444444445,,,not_collapsed,9,0,-0.005684569875712878,19,0.08533333333333333,,
