period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-11,9,1414,0.5301003344481605,0.22418670438472418,0.31510934393638174,-0.38667302412206317,-0.34526801455418427,0,25,170,0.12022630834512023
M-2022-12,9,910,0.4222222222222222,0.16703296703296702,0.23937007874015748,-0.4438267614738204,-0.4210072797504085,0,89,125,0.13736263736263737
M-2022-4,10,2020,0.836901121304791,0.8128712871287128,0.8247112004018081,0.0,0.0,0,12,108,0.053465346534653464
M-2022-5,10,2341,0.8046744574290484,0.8235796668090559,0.8140173105340933,0.010708379680343105,-0.010693889867714801,0,12,141,0.06023067065356685
M-2022-6,10,1895,0.8127764127764128,0.8728232189973615,0.8417302798982188,0.05995193186864867,0.017019079496410683,0,12,102,0.05382585751978892
M-2022-7,10,1346,0.8383620689655172,0.8670133729569094,0.8524470416362309,0.05414208582819657,0.027735841234422742,0,12,58,0.04309063893016345
M-2022-8,10,1331,0.8384442782348541,0.8422238918106687,0.8403298350824587,0.029352604681955885,0.015618634680650612,0,12,71,0.05334335086401202
M-2022-9,10,930,0.751412429378531,0.8580645161290322,0.8012048192771084,0.04519322900031941,-0.023506381124699716,0,12,35,0.03763440860215054
M-2022-10,10,1434,0.7194968553459119,0.398884239888424,0.5132346343651862,-0.41398704724028884,-0.3114765660366219,0,156,303,0.2112970711297071
M-2022-11,10,2038,0.4590909090909091,0.09911678115799803,0.16303470540758677,-0.7137545059707148,-0.6616764949942213,1,156,708,0.34739941118743867
M-2022-12,10,1004,0.47342995169082125,0.09760956175298804,0.16184971098265896,-0.7152617253757247,-0.6628614894191491,1,156,366,0.3645418326693227
M-2022-4,11,1685,0.7974530018192845,0.7804154302670623,0.7888422315536893,0.0,0.0,0,133,105,0.06231454005934718
M-2022-5,11,2013,0.7488196411709159,0.7878787878787878,0.7678528201404018,0.007463357611725563,-0.020989411413287473,0,133,151,0.07501241927471436
M-2022-6,11,1542,0.6742508324084351,0.7879377431906615,0.7266746411483254,0.007522312923599173,-0.062167590405363904,0,133,90,0.058365758754863814
M-2022-7,11,1290,0.6821345707656613,0.6837209302325581,0.6829268292682927,-0.0966945000345042,-0.10591540228539653,0,133,93,0.07209302325581396
M-2022-8,11,1630,0.40885684860968075,0.24355828220858897,0.30526720492118414,-0.5368571480584733,-0.4835750266325051,0,153,397,0.24355828220858897
M-2022-9,11,1941,0.31752178121974833,0.1689850592478104,0.22057834566240753,-0.6114303710192519,-0.5682638858912817,0,153,527,0.2715095311695003
M-2022-10,11,2001,0.30226480836236935,0.17341329335332334,0.2203874245792315,-0.6070021369137389,-0.5684548069744577,0,153,575,0.28735632183908044
M-2022-11,11,3055,0.356353591160221,0.16890343698854338,0.229180546302465,-0.6115119932785189,-0.5596616852512243,0,153,790,0.25859247135842883
M-2022-12,11,1749,0.3073073073073073,0.1755288736420812,0.22343522561863174,-0.604886556624981,-0.5654070059350575,0,153,446,0.2550028587764437
M-2022-4,12,2788,0.8371592539454806,0.8371592539454806,0.8371592539454806,0.0,0.0,0,10,48,0.01721664275466284
M-2022-5,12,3428,0.8410886742756805,0.838389731621937,0.8397370343316289,0.001230477676456343,0.0025777803861483095,0,10,96,0.028004667444574097
M-2022-6,12,3008,0.8372703412073491,0.848404255319149,0.8428005284015853,0.01124500137366835,0.005641274456104628,0,10,89,0.029587765957446808
M-2022-7,12,1813,0.812790097988654,0.8692774407060121,0.8400852878464818,0.032118186760531464,0.0029260339010012126,0,10,55,0.03033645890788748
M-2022-8,12,2224,0.8155426529700759,0.8210431654676259,0.8182836656957204,-0.01611608847785473,-0.01887558824976021,0,10,60,0.02697841726618705
M-2022-9,12,3307,0.8537749925395405,0.8651345630480798,0.8594172424151397,0.027975309102599155,0.022257988469659096,0,136,68,0.020562443302086484
M-2022-10,12,2580,0.7142210144927537,0.6112403100775193,0.6587301587301587,-0.2259189438679613,-0.1784290952153219,0,156,482,0.1868217054263566
M-2022-11,12,2343,0.41626794258373206,0.1856594110115237,0.256788665879575,-0.6514998429339569,-0.5803705880659056,0,156,940,0.401195049082373
M-2022-12,12,263,0.18322295805739514,0.3155893536121673,0.23184357541899442,-0.5215699003333134,-0.6053156785264862,0,156,55,0.20912547528517111
M-2022-4,13,2093,0.48784911135291986,0.6426182513139035,0.554639175257732,0.0,0.0,0,46,181,0.0864787386526517
M-2022-5,13,2703,0.5487115021998743,0.6459489456159823,0.5933729821580289,0.003330694302078774,0.03873380690029693,0,46,274,0.10136884942656307
M-2022-6,13,1939,0.4945515507124895,0.6085611139762764,0.545664739884393,-0.03405713733762705,-0.008974435373338974,0,46,272,0.14027849406910778
M-2022-7,13,1115,0.45198902606310015,0.5910313901345291,0.5122425184609405,-0.05158686117937439,-0.0423966567967915,0,46,102,0.09147982062780269
M-2022-8,13,1200,0.43468593663146193,0.6516666666666666,0.5215071690563521,0.009048415352763128,-0.033132006201379904,0,46,67,0.05583333333333333
M-2022-9,13,1491,0.3086608164822587,0.5425888665325285,0.39348249027237353,-0.10002938478137502,-0.16115668498535846,0,46,122,0.0818242790073776
M-2022-10,13,1607,0.300739787713091,0.5818294959551961,0.39652247667514845,-0.060788755358707425,-0.15811669858258354,0,46,175,0.1088985687616677
M-2022-11,13,2295,0.3501984126984127,0.46143790849673205,0.398195149464185,-0.18118034281717144,-0.156444025793547,0,49,310,0.13507625272331156
M-2022-12,13,1090,0.3163265306122449,0.5403669724770642,0.3990514905149051,-0.10225127883683927,-0.15558768474282686,0,46,180,0.1651376146788991
M-2022-4,14,10401,0.8183999165536664,0.7543505432169983,0.7850710426255754,0.0,0.0,0,129,224,0.02153639073166042
M-2022-5,14,10444,0.7804543053354464,0.707296055151283,0.7420764478376614,-0.04705448806571533,-0.04299459478791401,0,153,340,0.03255457679050172
M-2022-6,14,8055,0.6433659102203081,0.48218497827436374,0.551234743116662,-0.2721655649426346,-0.23383629950891338,0,129,754,0.0936064556176288
M-2022-7,14,4897,0.39216696727647515,0.3108025321625485,0.3467760309865573,-0.44354801105444985,-0.4382950116390181,0,129,1175,0.23994282213600163
M-2022-8,14,6466,0.27652322113336175,0.301113516857408,0.28829495816983786,-0.45323702635959034,-0.4967760844557375,0,129,1554,0.24033405505722238
M-2022-9,14,7474,0.31899538106235564,0.2956917313352957,0.30690181919177895,-0.45865881188170265,-0.4781692234337964,0,129,2535,0.33917580947283915
M-2022-10,14,10007,0.41714285714285715,0.3063855301289098,0.35328685832805207,-0.44796501308808856,-0.4317841842975233,0,129,2335,0.23333666433496553
M-2022-11,14,12202,0.38603275705186535,0.2781511227667596,0.32333047537391635,-0.4761994204502388,-0.461740567251659,0,129,2515,0.20611375184396
M-2022-12,14,5821,0.2455731593662628,0.271602817385329,0.2579329472224488,-0.48274772583166936,-0.5271380954031266,0,129,1203,0.20666552138807764
M-2022-4,15,751,0.8964968152866242,0.7496671105193076,0.8165337200870196,0.0,0.0,0,151,29,0.03861517976031957
M-2022-5,15,1474,0.9335548172757475,0.5719131614654003,0.7092974337400084,-0.1777539490539073,-0.10723628634701121,0,45,161,0.10922659430122117
M-2022-6,15,888,0.9028132992327366,0.795045045045045,0.8455089820359282,0.04537793452573746,0.028975261948908537,0,117,21,0.02364864864864865
