period,class,group,reference_support,target_support,accepted_updates,accepted_rate,static_f1,caps_f1,delta_f1,static_recall,caps_recall,delta_recall
M-2022-7,28,bad,16366,10579,2989,0.2825408828811797,0.7658566098618533,0.7691920716369857,0.0033354617751323312,0.7179317515833255,0.722658096228377,0.004726344645051506
M-2022-7,29,other,29653,19817,5785,0.2919210778624413,0.7678187531007111,0.7657142857142857,-0.002104467386425446,0.7028813644850381,0.7099964676792653,0.007115103194227146
M-2022-7,30,other,8131,5745,1888,0.32863359442993906,0.9899220050828148,0.9899290655924337,7.060509618850297e-06,0.9831157528285466,0.9838120104438642,0.0006962576153176636
M-2022-7,31,other,7973,5940,3978,0.6696969696969697,0.9800890531798706,0.9788448623237072,-0.0012441908561634518,0.981986531986532,0.9814814814814815,-0.0005050505050504528
M-2022-7,32,other,2331,2014,185,0.09185700099304867,0.5128939828080229,0.5085682697622996,-0.004325713045723267,0.4443892750744787,0.4568023833167825,0.01241310824230385
M-2022-7,33,other,204,273,25,0.09157509157509157,0.6053169734151329,0.5762004175365344,-0.029116555878598516,0.5421245421245421,0.5054945054945055,-0.03663003663003661
M-2022-7,34,other,588,802,738,0.9201995012468828,0.9176904176904177,0.9150885766646304,-0.0026018410257873104,0.9314214463840399,0.9339152119700748,0.0024937655860348684
M-2022-7,35,other,875,3174,2733,0.8610586011342155,0.9595992243051067,0.9600646725949878,0.00046544828988115405,0.9354127284183995,0.9354127284183995,0.0
M-2022-7,36,other,826,1292,995,0.7701238390092879,0.9200159172304019,0.9194124652639937,-0.0006034519664082083,0.8947368421052632,0.8962848297213623,0.001547987616099089
M-2022-7,37,other,1989,939,812,0.8647497337593184,0.9511257550796266,0.949671772428884,-0.0014539826507425913,0.9222577209797657,0.9243876464323749,0.0021299254526092604
M-2022-7,38,bad,77,102,48,0.47058823529411764,0.5769230769230769,0.5732484076433121,-0.003674669279764786,0.4411764705882353,0.4411764705882353,0.0
M-2022-7,39,other,4388,5963,2203,0.3694449102800604,0.9234906315058987,0.922568296502523,-0.000922335003375685,0.8926714740902231,0.8891497568338085,-0.0035217172564145915
M-2022-7,40,other,2334,1205,762,0.6323651452282157,0.9230769230769231,0.9240837696335078,0.001006846556584673,0.8763485477178423,0.8788381742738589,0.0024896265560165887
M-2022-7,41,other,2121,1992,483,0.24246987951807228,0.6709006928406467,0.6728971962616822,0.0019965034210355226,0.5833333333333334,0.5963855421686747,0.013052208835341306
M-2022-7,42,other,1839,630,67,0.10634920634920635,0.3020833333333333,0.3273905996758509,0.025307266342517565,0.2761904761904762,0.32063492063492066,0.04444444444444445
M-2022-7,43,other,2042,1330,199,0.14962406015037594,0.7632561613144138,0.7473335785215153,-0.015922582792898488,0.7684210526315789,0.7639097744360902,-0.004511278195488688
M-2022-7,44,stable,2910,1904,1684,0.884453781512605,0.9410474362489718,0.9400164338537387,-0.001031002395233127,0.9012605042016807,0.9012605042016807,0.0
M-2022-7,45,other,2192,1928,4,0.002074688796680498,0.8274139844617092,0.8260626398210291,-0.0013513446406800966,0.7733402489626556,0.7660788381742739,-0.007261410788381717
M-2022-7,46,other,9798,4182,1259,0.3010521281683405,0.6755056179775281,0.6823201208880623,0.006814502910534204,0.7187948350071736,0.7018173122907699,-0.016977522716403626
M-2022-7,47,bad,3839,384,368,0.9583333333333334,0.9552631578947368,0.9552631578947368,0.0,0.9453125,0.9453125,0.0
M-2022-7,48,bad,5001,4498,427,0.09493108048021343,0.17487883683360259,0.17473769168684422,-0.00014114514675836465,0.09626500666963095,0.09626500666963095,0.0
M-2022-7,49,other,40220,13761,7036,0.5113000508683961,0.8734750784245382,0.8740234375,0.0005483590754618017,0.9105442918392559,0.9105442918392559,0.0
M-2022-7,50,other,4546,2568,1,0.0003894080996884735,0.027833001988071572,0.03713188220230474,0.009298880214233168,0.016355140186915886,0.022585669781931463,0.006230529595015577
M-2022-7,51,other,21842,15397,7181,0.4663895564070923,0.8982383293133454,0.8917872057132482,-0.006451123600097142,0.9553809183607196,0.9570046112879133,0.001623692927193665
M-2022-7,52,other,2301,1010,388,0.38415841584158417,0.7271727172717272,0.7249329758713137,-0.0022397414004134975,0.6544554455445545,0.6693069306930693,0.014851485148514865
M-2022-7,53,other,9775,4517,3197,0.7077706442328979,0.8872470285897848,0.8973803853647976,0.010133356775012814,0.9172016825326544,0.9176444542838167,0.000442771751162252
M-2022-7,54,other,6663,3357,49,0.01459636580280012,0.31800766283524906,0.4060089321965083,0.08800126936125924,0.2719690199582961,0.2978850163836759,0.02591599642537984
M-2022-7,55,other,8193,5627,5510,0.9792073929269594,0.9894161227729759,0.9877651615174721,-0.0016509612555037911,0.9968011373733784,0.9971565665541141,0.0003554291807357224
M-2022-7,56,bad,10094,8114,11,0.0013556815380823268,0.0006960556844547563,0.00046517036864751713,-0.0002308853158072392,0.0003697313285679073,0.00024648755237860487,-0.00012324377618930243
M-2022-7,57,stable,3065,2449,2024,0.8264597795018375,0.992619926199262,0.9924195861503791,-0.00020034004888291879,0.9885667619436505,0.9889750918742344,0.0004083299305839283
M-2022-7,58,other,2286,1749,1730,0.989136649514008,0.9988558352402745,0.9988558352402745,0.0,0.9982847341337907,0.9982847341337907,0.0
M-2022-7,59,stable,13724,5381,5301,0.9851328749303103,0.9825783972125436,0.9806002928257687,-0.001978104386774926,0.9957257015424642,0.9957257015424642,0.0
M-2022-7,60,other,49622,21024,7408,0.3523592085235921,0.8966787946636813,0.8933255131964809,-0.0033532814672003752,0.91433599695586,0.905584094368341,-0.008751902587519012
M-2022-7,61,other,19676,12195,5542,0.45444854448544486,0.7193139300023178,0.711183355006502,-0.00813057499581582,0.8906929069290693,0.8969249692496924,0.006232062320623122
M-2022-7,62,stable,15549,8933,7169,0.802529945147207,0.9380347702872092,0.9331526158850637,-0.0048821544021454555,0.9633941564983768,0.9633941564983768,0.0
M-2022-7,63,other,11152,8561,3874,0.45251722929564303,0.7534153427706002,0.751100126589909,-0.002315216180691193,0.7118327298212825,0.7277187244480785,0.015885994626795963
M-2022-7,64,stable,2437,16,5,0.3125,0.006779661016949152,0.006191950464396285,-0.0005877105525528671,0.0625,0.0625,0.0
M-2022-7,65,other,3145,2044,1375,0.6727005870841487,0.876919204631261,0.8694562766224004,-0.007462928008860614,0.8522504892367906,0.848825831702544,-0.003424657534246589
M-2022-7,66,bad,5149,2587,1137,0.43950521839969076,0.7836129875789932,0.7826462335419815,-0.0009667540370117411,0.6950135291843834,0.7008117510630073,0.005798221878623888
M-2022-7,67,other,854,1175,327,0.2782978723404255,0.35765765765765767,0.33123312331233123,-0.026424534345326434,0.33787234042553194,0.3131914893617021,-0.024680851063829834
M-2022-7,68,other,7271,3493,1656,0.47409103922129975,0.6733875587123381,0.6705895665949984,-0.002797992117339776,0.8413970798740338,0.8482679645004294,0.006870884626395624
M-2022-7,69,bad,879,605,360,0.5950413223140496,0.8094555873925502,0.8202898550724638,0.010834267679913578,0.9338842975206612,0.9355371900826446,0.0016528925619834212
M-2022-7,70,other,2642,1078,415,0.3849721706864564,0.6548856548856549,0.646670055922725,-0.008215598962929893,0.5844155844155844,0.5899814471243042,0.005565862708719838
M-2022-7,71,other,149408,78156,20913,0.2675802241670505,0.8660323562389877,0.8642718372633423,-0.001760518975645331,0.8647192793899381,0.8708736373407032,0.0061543579507651325
M-2022-7,72,other,17880,7931,2358,0.2973143361492876,0.7687803662638595,0.7619221856323942,-0.0068581806314652605,0.7780859916782247,0.787668642037574,0.009582650359349354
M-2022-7,73,other,29211,15014,12660,0.8432130011988811,0.9808162995303301,0.9770152792413066,-0.0038010202890235156,0.9875449580391634,0.9880777940588784,0.0005328360197149884
M-2022-7,74,other,9210,3474,813,0.23402417962003455,0.643631223496152,0.6398053823931884,-0.0038258411029635786,0.5898100172711571,0.6056419113413932,0.015831894070236108
M-2022-7,75,other,28060,16084,3590,0.22320318328773936,0.7621317988765585,0.758732514359524,-0.0033992845170344177,0.864648097488187,0.8582442178562547,-0.006403879631932341
M-2022-7,76,stable,10523,5019,1763,0.35126519226937636,0.7905314872711031,0.7776767447147079,-0.012854742556395182,0.7053197848176928,0.6816098824467025,-0.023709902370990243
M-2022-7,77,other,81932,35082,7790,0.22205119434467818,0.8422148029311017,0.8445860248355602,0.002371221904458487,0.8305113733538567,0.816202040932672,-0.014309332421184706
M-2022-7,78,other,48009,31608,23838,0.7541761579347,0.9554649396338051,0.9553684143242941,-9.652530951098637e-05,0.9451721083270058,0.9457415844090103,0.0005694760820045275
M-2022-7,79,other,25102,10765,2746,0.25508592661402696,0.7859463473498561,0.7696696830562119,-0.016276664293644272,0.7865304226660473,0.8019507663725035,0.015420343706456174
M-2022-7,80,other,6096,2151,315,0.14644351464435146,0.43382133253659994,0.4530386740331492,0.019217341496549245,0.33751743375174337,0.3621571362157136,0.024639702463970237
M-2022-7,81,other,7217,3251,2698,0.8298984927714549,0.9680476991285736,0.9662337662337662,-0.0018139328948073574,0.9738541987080899,0.9726238080590588,-0.0012303906490310768
M-2022-7,82,other,79609,38594,4695,0.12165103383945691,0.8322539781026616,0.8290314941984371,-0.0032224839042244158,0.8341192931543763,0.8164222417992434,-0.017697051355132887
M-2022-7,83,other,24502,21074,11922,0.5657207933947044,0.9346551439941602,0.9381981686611555,0.003543024666995298,0.9417291449179084,0.9505077346493309,0.008778589731422537
M-2022-7,84,other,2397,1135,866,0.7629955947136564,0.9710526315789474,0.9664488017429194,-0.004603829836028028,0.9753303964757709,0.9770925110132158,0.0017621145374449032
M-2022-7,85,other,2080,1437,930,0.6471816283924844,0.9696969696969697,0.9706997587038952,0.0010027890069255196,0.9798190675017397,0.9798190675017397,0.0
M-2022-7,86,other,27759,16760,4247,0.25340095465393797,0.8211389359237145,0.8111205432937182,-0.010018392629996264,0.8246420047732697,0.7981503579952267,-0.026491646778042943
M-2022-7,87,other,11231,9083,7028,0.7737531652537708,0.9704148531761335,0.97041159292523,-3.260250903469597e-06,0.9696135638005065,0.9695034680171749,-0.00011009578333154302
M-2022-7,88,other,204,239,20,0.08368200836820083,0.3688760806916426,0.37900874635568516,0.010132665664042528,0.5355648535564853,0.5439330543933054,0.008368200836820106
M-2022-7,89,other,486,552,247,0.447463768115942,0.8387096774193549,0.8442307692307692,0.005521091811414358,0.7771739130434783,0.7952898550724637,0.018115942028985477
M-2022-7,90,other,7635,3605,2208,0.6124826629680998,0.8953930962068513,0.8861347792408986,-0.009258316965952695,0.9461858529819694,0.9520110957004161,0.005825242718446644
M-2022-7,91,other,4262,2609,1736,0.665389037945573,0.8693171688357996,0.8718039772727273,0.0024868084369277232,0.9344576466078958,0.9409735530854734,0.006515906477577604
M-2022-7,92,other,2288,804,665,0.8271144278606966,0.9053177691309987,0.9013539651837524,-0.003963803947246269,0.8681592039800995,0.8694029850746269,0.0012437810945273853
M-2022-7,93,other,34812,24700,9015,0.36497975708502023,0.8413433823686401,0.8376358403848632,-0.003707541983776985,0.7976923076923077,0.7895141700404859,-0.008178137651821848
M-2022-7,94,stable,633,123,477,3.8780487804878048,0.03955375253549696,0.037146475306036306,-0.002407277229460651,0.3170731707317073,0.35772357723577236,0.04065040650406504
M-2022-7,95,other,50223,53160,42778,0.8047027840481565,0.9906386990337026,0.991619270029003,0.000980570995300356,0.9883559066967644,0.9904627539503386,0.002106847253574129
M-2022-7,96,other,55119,37892,17280,0.45603293571202363,0.8377811715372868,0.8377297954642483,-5.137607303851155e-05,0.8541644674337591,0.8544547661775572,0.00029029874379815634
M-2022-7,97,other,41580,30023,17473,0.5819871431902208,0.8503043619205417,0.8650034724077141,0.014699110487172429,0.7862971721680045,0.8089797821670053,0.022682609999000736
M-2022-7,98,stable,63298,48679,44877,0.9218965056800674,0.994440048097181,0.9945456226310437,0.00010557453386272897,0.9938782637276854,0.9944945459027507,0.0006162821750652636
M-2022-7,99,stable,23955,18048,16297,0.9029809397163121,0.9313153579397295,0.9630576789437109,0.03174232100398133,0.9597739361702128,0.9598293439716312,5.540780141843893e-05
M-2022-7,100,other,30504,10947,6531,0.5966018087147164,0.9418539204225657,0.9326535858109845,-0.009200334611581207,0.9936055540330684,0.9943363478578606,0.0007307938247922419
M-2022-7,101,other,60629,44889,2503,0.05575976297088374,0.26836513195475836,0.298378945003931,0.03001381304917261,0.15698723518011093,0.1775490654726102,0.020561830292499278
M-2022-7,102,other,79891,41479,32577,0.7853853757322983,0.8803944958036893,0.8607697839477222,-0.019624711855967147,0.996431929410063,0.9955640203476458,-0.0008679090624171826
M-2022-7,103,other,1787,1231,1200,0.974817221770918,0.7667221297836938,0.7465643975711089,-0.020157732212584878,0.9358245329000813,0.9488220958570268,0.012997562956945541
M-2022-7,104,bad,3363,1719,24,0.013961605584642234,0.23292836196062003,0.22807017543859648,-0.00485818652202355,0.16172193135543922,0.16637579988365328,0.004653868528214061
M-2022-7,105,other,4895,1105,76,0.06877828054298643,0.4628463476070529,0.4638052530429212,0.0009589054358682958,0.665158371040724,0.6552036199095023,-0.009954751131221684
M-2022-7,106,other,3993,2288,1515,0.6621503496503497,0.9616368286445013,0.9610223642172524,-0.0006144644272488842,0.986013986013986,0.986013986013986,0.0
M-2022-7,107,stable,3873,2160,1967,0.9106481481481481,0.9460303300624442,0.9386313465783664,-0.007398983484077748,0.9819444444444444,0.9842592592592593,0.0023148148148148806
M-2022-7,108,other,11663,7204,4173,0.5792615213770128,0.9465185287419777,0.945364238410596,-0.0011542903313817021,0.9519711271515825,0.9511382565241533,-0.0008328706274292053
M-2022-7,109,bad,1867,1236,1099,0.88915857605178,0.9386281588447654,0.938430583501006,-0.0001975753437593042,0.9466019417475728,0.9433656957928802,-0.003236245954692629
M-2022-7,110,other,9808,6102,2201,0.36070140937397577,0.8671518023354206,0.8746569075937786,0.0075051052583580136,0.839724680432645,0.8616846935431006,0.02196001311045559
M-2022-7,111,other,2817,1330,210,0.15789473684210525,0.49600709849157054,0.49935316946959896,0.003346070978028415,0.42030075187969923,0.43533834586466164,0.015037593984962405
M-2022-7,112,other,3822,1780,243,0.13651685393258428,0.7166433566433567,0.7540216437554841,0.03737828711212743,0.7196629213483146,0.7241573033707865,0.004494382022471988
M-2022-7,113,stable,5042,2014,1785,0.8862959285004965,0.9900447984071677,0.9902912621359223,0.0002464637287545868,0.9875868917576961,0.9875868917576961,0.0
M-2022-7,114,other,3329,1939,2397,1.2362042289840123,0.85809906291834,0.851581508515815,-0.006517554402524994,0.9917483238782878,0.9927797833935018,0.001031459515213995
M-2022-7,115,other,22978,13745,4312,0.31371407784648964,0.7815891626396261,0.7804394384072341,-0.0011497242323920132,0.7177882866496907,0.7158239359767188,-0.0019643506729719595
M-2022-7,116,other,4023,3519,1241,0.3526570048309179,0.8686598244831176,0.8712871287128713,0.0026273042297536575,0.8297811878374538,0.8377379937482239,0.007956805910770082
M-2022-7,117,other,84936,45039,7324,0.1626146228823908,0.6549412973690673,0.6694872358104043,0.014545938441337003,0.7995070938519949,0.7782144363773619,-0.021292657474633048
M-2022-7,118,bad,3760,1354,1082,0.7991137370753324,0.7454968041836142,0.7365714285714285,-0.008925375612185649,0.947562776957164,0.9519940915805022,0.004431314623338234
M-2022-7,119,stable,2846,1430,815,0.5699300699300699,0.9020306376914856,0.9027925061859314,0.0007618684944458165,0.8853146853146853,0.893006993006993,0.007692307692307776
M-2022-7,120,other,2918,1510,478,0.3165562913907285,0.861120103593396,0.8849498327759198,0.023829729182523796,0.8807947019867549,0.876158940397351,-0.004635761589403931
M-2022-7,121,other,2543,7,4,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-7,122,other,61426,41710,20605,0.4940062335171422,0.8810584582152018,0.8798219221643306,-0.001236536050871151,0.860537041476864,0.8623351714217214,0.0017981299448573962
M-2022-7,123,other,3393,1121,724,0.6458519179304193,0.8415398388540735,0.8339938353148393,-0.007546003539234181,0.8385370205173952,0.8447814451382694,0.006244424620874156
