period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-10,26,13,1,1400,0.06142857142857143,0.06142857142857143,0.0,86,86,0
M-2022-10,26,136,2,1400,0.03571428571428571,0.03142857142857143,-0.004285714285714282,50,44,-6
M-2022-10,26,155,3,1400,0.02857142857142857,0.032857142857142856,0.004285714285714285,40,46,6
M-2022-10,26,61,4,1400,0.02,0.02142857142857143,0.0014285714285714284,28,30,2
M-2022-10,26,89,5,1400,0.011428571428571429,0.012142857142857143,0.0007142857142857142,16,17,1
M-2022-10,28,49,1,11735,0.10847890924584576,0.106007669365147,-0.002471239880698764,1273,1244,-29
M-2022-10,28,142,2,11735,0.08035790370685982,0.07413719642096293,-0.0062207072858968815,943,870,-73
M-2022-10,28,117,3,11735,0.044823178525777586,0.034000852151683,-0.010822326374094589,526,399,-127
M-2022-10,28,158,4,11735,0.044311887515977845,0.04644226672347678,0.0021303792074989364,520,545,25
M-2022-10,28,95,5,11735,0.023178525777588412,0.025734980826587133,0.002556455048998721,272,302,30
M-2022-10,38,125,1,92,0.22826086956521738,0.34782608695652173,0.11956521739130435,21,32,11
M-2022-10,38,105,2,92,0.15217391304347827,0.05434782608695652,-0.09782608695652176,14,5,-9
M-2022-10,38,133,3,92,0.07608695652173914,0.06521739130434782,-0.010869565217391311,7,6,-1
M-2022-10,38,128,4,92,0.06521739130434782,0.043478260869565216,-0.021739130434782608,6,4,-2
M-2022-10,38,156,5,92,0.043478260869565216,0.043478260869565216,0.0,4,4,0
M-2022-10,47,6,1,34,0.29411764705882354,0.3235294117647059,0.02941176470588236,10,11,1
M-2022-10,47,177,2,34,0.29411764705882354,0.35294117647058826,0.05882352941176472,10,12,2
M-2022-10,47,14,3,34,0.20588235294117646,0.11764705882352941,-0.08823529411764705,7,4,-3
M-2022-10,47,151,4,34,0.08823529411764706,0.08823529411764706,0.0,3,3,0
M-2022-10,47,117,5,34,0.058823529411764705,0.058823529411764705,0.0,2,2,0
M-2022-10,48,6,1,2986,0.5468854655056933,0.550569323509712,0.003683858004018714,1633,1644,11
M-2022-10,48,177,2,2986,0.4336905559276624,0.43670462156731416,0.0030140656396517307,1295,1304,9
M-2022-10,48,14,3,2986,0.017414601473543203,0.011386470194239785,-0.006028131279303418,52,34,-18
