class,accepted,reference_support,target_support,accepted_per_target_support
63,2151,11152,5492,0.3916605972323379
64,508,2437,1215,0.4181069958847737
65,1215,3145,2112,0.5752840909090909
66,63,5149,1955,0.032225063938618924
68,1220,7271,2499,0.4881952781112445
69,18,879,1866,0.00964630225080386
70,145,2642,908,0.15969162995594713
71,11236,149408,39434,0.28493178475427294
72,1553,17880,5765,0.2693842150910668
73,5561,29211,8821,0.6304273891848997
74,468,9210,2294,0.2040104620749782
75,1157,28060,6807,0.1699720875569267
76,1532,10523,2683,0.571002609019754
77,3044,81932,17960,0.16948775055679288
78,6477,48009,10246,0.6321491313683388
79,1957,25102,7528,0.2599628055260361
80,69,6096,1055,0.06540284360189573
81,1667,7217,2122,0.7855796418473139
82,5577,79609,27579,0.20221907973458067
83,8729,24502,19531,0.4469305207106651
84,794,2397,1057,0.7511825922421949
85,184,2080,350,0.5257142857142857
86,5680,27759,20232,0.2807433768287861
87,3727,11231,5056,0.7371439873417721
88,6,204,83,0.07228915662650602
89,170,486,377,0.4509283819628647
90,2613,7635,4080,0.6404411764705882
91,1535,4262,2334,0.6576692373607541
92,645,2288,896,0.7198660714285714
93,9601,34812,18804,0.5105828547117635
94,264,633,760,0.3473684210526316
95,2923,50223,3282,0.8906154783668495
96,20128,55119,44573,0.4515738227177888
97,9013,41580,18214,0.4948391347315252
98,46676,63298,48912,0.9542852469741576
99,7870,23955,18452,0.42651203121612835
100,8247,30504,17278,0.47731218891075355
101,9192,60629,42403,0.21677711482678114
102,25033,79891,35717,0.7008707338242294
103,278,1787,1446,0.19225449515905949
104,31,3363,1744,0.017775229357798166
105,253,4895,3159,0.0800886356441912
106,1159,3993,1622,0.7145499383477188
107,2297,3873,2555,0.8990215264187867
108,1834,11663,3529,0.5196939642958345
109,4,1867,393,0.010178117048346057
110,2252,9808,5670,0.39717813051146383
111,158,2817,1136,0.13908450704225353
112,209,3822,1083,0.19298245614035087
113,3065,5042,3574,0.8575825405707891
114,799,3329,911,0.8770581778265643
115,4526,22978,15934,0.2840466926070039
116,1099,4023,3278,0.3352654057352044
117,6943,84936,58860,0.11795786612300374
118,1118,3760,2577,0.43383779588668997
119,570,2846,1033,0.5517909002904162
120,320,2918,1133,0.2824360105913504
121,11,2543,16,0.6875
122,15897,61426,40149,0.3959500859299111
123,220,3393,1458,0.15089163237311384
124,6531,30492,18817,0.3470797682946272
125,1104,3522,2268,0.48677248677248675
126,1543,2112,2588,0.5962132921174652
127,903,3002,4058,0.2225234105470675
128,2318,2342,3721,0.6229508196721312
129,6502,44177,18631,0.3489882453974559
130,2290,7092,4618,0.4958856647899524
131,13471,30533,17194,0.7834709782482261
132,9402,23157,13419,0.7006483344511514
133,14603,54110,34000,0.4295
134,3345,10738,5543,0.6034638282518492
135,601,3069,1872,0.32104700854700857
136,3118,22342,12861,0.24243837959723194
137,3,4089,1286,0.0023328149300155523
138,550,43631,12776,0.04304946775203507
139,44,2846,973,0.045220966084275435
140,3831,71932,21276,0.18006204173716864
141,301,2022,1226,0.24551386623164764
142,2634,62604,15948,0.1651617757712566
143,274,4384,3052,0.08977719528178243
144,1840,3642,2267,0.811645346272607
145,1140,2224,1149,0.9921671018276762
146,2395,4793,4680,0.5117521367521367
147,766,2203,2730,0.2805860805860806
148,1987,6812,3728,0.5329935622317596
149,2626,74194,29896,0.08783783783783784
150,693,2305,1291,0.5367931835786213
151,295,2021,872,0.338302752293578
152,221,1673,729,0.30315500685871055
153,13055,70973,59235,0.22039334852705325
154,198,2978,1862,0.10633727175080558
155,348,11183,5650,0.061592920353982304
156,4573,32897,11350,0.40290748898678413
157,543,2075,800,0.67875
158,2174,12544,5549,0.39178230311767887
159,204,3182,1740,0.11724137931034483
160,285,1553,1048,0.2719465648854962
161,208,3031,334,0.6227544910179641
162,16,486,59,0.2711864406779661
163,13,3156,1741,0.007466973004020678
164,362,3315,1689,0.2143280047365305
165,5219,5176,4989,1.046101423130888
166,271,2317,1835,0.14768392370572206
167,4,668,55,0.07272727272727272
168,931,3924,4221,0.22056384742951907
169,311,2891,1502,0.2070572569906791
170,718,3774,1916,0.3747390396659708
171,764,7082,4142,0.18445195557701594
172,1372,7688,5558,0.24685138539042822
173,455,4960,978,0.4652351738241309
174,5,4246,1507,0.0033178500331785005
175,4821,50628,22084,0.21830284368773772
176,690,4309,2085,0.33093525179856115
177,789,1540,1117,0.7063563115487914
