method,alpha,tau_conf,momentum,accepted_rate,num_updated_classes,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
caps_target_proto,0.5,0.7,0.99,0.41775308733408956,178,0.7527661500768197,0.6294039725647199,0.1651282919806927,0.15524528703245613,47236,0.9416252809144633,0.9028921133932947,144172
caps_target_proto,0.5,0.7,0.999,0.42999359899155776,178,0.7525998901172812,0.6291531579297875,0.1649165890422559,0.15498308990667306,47236,0.9415143023610687,0.9030907359493405,144172
caps_target_proto,0.5,0.8,0.9,0.3830773055910957,177,0.7532248764197278,0.6298871582860908,0.1646202049284444,0.1558570497293609,47236,0.941743195627445,0.9027471925822541,144172
caps_target_proto,0.5,0.8,0.99,0.40122911453724186,178,0.7527419668099777,0.6293437810796066,0.16510712168684902,0.15511419111176156,47236,0.9416183447548762,0.9028723703686563,144172
caps_target_proto,0.5,0.8,0.999,0.4116135604645908,178,0.7525847755755051,0.6291228816869381,0.16485307816072486,0.15492921976630802,47236,0.9415281746802431,0.9030925525878702,144172
caps_target_proto,0.5,0.9,0.9,0.36022638560672415,176,0.7531357006232481,0.6297593324645046,0.16468371580997546,0.15518096128085912,47236,0.9416391532336376,0.9027759252255757,144172
caps_target_proto,0.5,0.9,0.99,0.3719084149455612,176,0.7527177835431358,0.6293184616951011,0.16514946227453636,0.15512370760804753,47236,0.9416183447548762,0.9028292265059422,144172
caps_target_proto,0.5,0.9,0.999,0.3800974736799148,176,0.7525575694003079,0.6290961309255374,0.1648319078668812,0.1547686233188979,47236,0.9415212385206558,0.9030915634492793,144172
caps_target_proto,0.5,0.95,0.9,0.3309495181861945,174,0.7531130288105838,0.629564005466434,0.16478956727919383,0.15483333709186173,47236,0.9417501317870322,0.9028183266456237,144172
caps_target_proto,0.5,0.95,0.99,0.34542698202654265,176,0.7526437222884323,0.6292837986360695,0.16506478109916164,0.15482229482320545,47236,0.9416252809144633,0.9029442482163184,144172
caps_target_proto,0.5,0.95,0.999,0.3510178510295648,174,0.7525054242311799,0.6290519857247472,0.16478956727919383,0.15473637967664505,47236,0.9415351108398302,0.9031058139270056,144172
caps_target_proto,1.0,0.7,0.9,0.40018394397341656,177,0.7538906719849701,0.630731532881032,0.1647260563976628,0.15669952338819385,47236,0.9422842160752435,0.9025347400913704,144172
caps_target_proto,1.0,0.7,0.99,0.41775308733408956,178,0.7534712434506801,0.6302657996964716,0.16608095520365823,0.15604045005112352,47236,0.9419443442554726,0.9026808560060035,144172
caps_target_proto,1.0,0.7,0.999,0.42999359899155776,178,0.7533677088395131,0.6297499019125595,0.1653188246252858,0.1554453711712382,47236,0.9418333657020781,0.9033695570327971,144172
caps_target_proto,1.0,0.8,0.9,0.3830773055910957,177,0.7541997643642937,0.6311375590206286,0.16525531374375477,0.1570474434906563,47236,0.9422980883944178,0.9027569865039353,144172
caps_target_proto,1.0,0.8,0.99,0.40122911453724186,178,0.75340776237522,0.6302367910901256,0.16610212549750192,0.15585073911945563,47236,0.9419720888938212,0.9027220935596304,144172
caps_target_proto,1.0,0.8,0.999,0.4116135604645908,178,0.7533276553038061,0.6297032000432126,0.1652976543314421,0.1553927446769856,47236,0.941826429542491,0.903337884845819,144172
caps_target_proto,1.0,0.9,0.9,0.36022638560672415,176,0.7541272145637679,0.6309664228134262,0.16544584638834786,0.15593928457315873,47236,0.9420206420109314,0.9029420590267566,144172
caps_target_proto,1.0,0.9,0.99,0.3719084149455612,176,0.7533548614790032,0.6301320215976582,0.16608095520365823,0.15583564980443546,47236,0.9419443442554726,0.902852300487232,144172
