class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
53,other,9775,5505,2064,0.8221734357848518,0.8333646793304496,0.011191243545597751,0.8163487738419618,0.8049046321525886,-0.011444141689373244
54,other,6663,5063,170,0.3268134914523333,0.43239514348785874,0.10558165203552544,0.20955954967410625,0.30950029626703535,0.09994074659292909
55,other,8193,4063,254,0.6650446066504461,0.9424524690570372,0.2774078624065911,0.5045532857494462,0.9089342850110755,0.4043809992616293
56,bad,10094,12137,17,0.0007871536523929471,0.0012707489476610277,0.00048359529526808057,0.00041196341764851283,0.0006591414682376205,0.00024717805058910763
57,stable,3065,2331,1572,0.9740064446831365,0.9733905579399141,-0.000615886743222327,0.9725439725439725,0.972972972972973,0.0004290004290005145
58,other,2286,15,1,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,5909,0.9851931507982463,0.9830983593041471,-0.0020947914940991907,0.9875621890547264,0.9887230514096186,0.0011608623548922115
60,other,49622,24845,7583,0.8670687575392039,0.8627230574680342,-0.004345700071169634,0.8679412356610988,0.8649627691688468,-0.0029784664922519744
61,other,19676,10494,4567,0.6124639431139733,0.5855612423308008,-0.026902700783172584,0.870020964360587,0.8776443682104059,0.007623403849818966
62,stable,15549,11221,8708,0.9274218038262982,0.9131251066734938,-0.01429669715280446,0.9525888958203369,0.9535692006060066,0.0009803047856696834
63,other,11152,5492,2151,0.6012027349864074,0.5731064598705015,-0.028096275115905955,0.66442097596504,0.6930080116533139,0.02858703568827392
64,stable,2437,1215,508,0.7903039630627164,0.7876658860265418,-0.002638077036174691,0.8452674897119341,0.8304526748971194,-0.014814814814814725
65,other,3145,2112,1215,0.927449168207024,0.9090498758745205,-0.018399292332503592,0.9502840909090909,0.9535984848484849,0.0033143939393939226
66,bad,5149,1955,63,0.001658374792703151,0.0007434944237918215,-0.0009148803689113294,0.0010230179028132991,0.0005115089514066496,-0.0005115089514066496
67,other,854,1191,0,0.1558219178082192,0.23562412342215988,0.07980220561394069,0.1528127623845508,0.28211586901763225,0.12930310663308145
68,other,7271,2499,1220,0.7406663318265528,0.7376400791034937,-0.0030262527230591196,0.8851540616246498,0.8955582232893158,0.010404161664665956
69,bad,879,1866,18,0.008430913348946136,0.013380909901873328,0.004949996552927192,0.00482315112540193,0.008038585209003215,0.0032154340836012853
70,other,2642,908,145,0.36075949367088606,0.37191358024691357,0.011154086576027511,0.2511013215859031,0.2654185022026432,0.014317180616740088
71,other,149408,39434,11236,0.7009773624831083,0.6955059272019326,-0.005471435281175663,0.8484556474108638,0.8651671146726175,0.016711467261753765
72,other,17880,5765,1553,0.49422234981698127,0.4697371913989912,-0.02448515841799004,0.5972246313963573,0.6138768430182133,0.01665221162185604
73,other,29211,8821,5561,0.8796707462363262,0.8738069989395546,-0.0058637472967716375,0.9207572837546764,0.9341344518762045,0.013377168121528116
74,other,9210,2294,468,0.5352180162913273,0.4818142918271288,-0.05340372446419844,0.486922406277245,0.4908456843940715,0.003923278116826523
75,other,28060,6807,1157,0.4022364217252396,0.4032763189592869,0.0010398972340472934,0.36991332451887765,0.36888497135301895,-0.0010283531658586975
76,stable,10523,2683,1532,0.8810229799851742,0.8899773926149209,0.008954412629746722,0.8859485650391353,0.8803578084234066,-0.00559075661572872
77,other,81932,17960,3044,0.7427868015732428,0.7338894037689219,-0.008897397804320972,0.6887527839643652,0.6613585746102449,-0.02739420935412029
78,other,48009,10246,6477,0.748072353426119,0.7475658304954674,-0.0005065229306515651,0.7527815732968963,0.7605894983408159,0.0078079250439195835
79,other,25102,7528,1957,0.7017907355335208,0.6848079380590845,-0.016982797474436317,0.6299149840595112,0.6050743889479278,-0.02484059511158343
80,other,6096,1055,69,0.31480241125251174,0.3375990249847654,0.022796613732253668,0.22274881516587677,0.26255924170616113,0.039810426540284355
