true_class,pred_class,oracle_rank,oracle_confusion_count,oracle_confusion_rate,best_beta,best_top_absorbers,support,static_count,static_rate,best_count,best_rate,delta_count,delta_rate
139,153,4,50,0.051387461459403906,0.5,5,973,50,0.051387461459403906,49,0.050359712230215826,-1,-0.0010277492291880796
139,156,5,46,0.047276464542651594,0.5,5,973,46,0.047276464542651594,46,0.047276464542651594,0,0.0
164,138,1,177,0.10479573712255773,0.5,5,1689,177,0.10479573712255773,170,0.10065127294256956,-7,-0.004144464179988164
164,117,2,147,0.08703374777975133,0.5,5,1689,147,0.08703374777975133,146,0.08644168146832445,-1,-0.0005920663114268726
164,149,3,99,0.0586145648312611,0.5,5,1689,99,0.0586145648312611,99,0.0586145648312611,0,0.0
164,124,4,60,0.035523978685612786,0.5,5,1689,60,0.035523978685612786,61,0.036116044997039666,1,0.0005920663114268795
164,96,5,17,0.010065127294256957,0.5,5,1689,17,0.010065127294256957,17,0.010065127294256957,0,0.0
174,2,1,440,0.291970802919708,0.5,5,1507,440,0.291970802919708,426,0.28268082282680823,-14,-0.009289980092899774
174,133,2,283,0.18779031187790313,0.5,5,1507,283,0.18779031187790313,283,0.18779031187790313,0,0.0
174,28,3,250,0.16589250165892502,0.5,5,1507,250,0.16589250165892502,268,0.17783676177836763,18,0.011944260119442607
174,19,4,102,0.0676841406768414,0.5,5,1507,102,0.0676841406768414,102,0.0676841406768414,0,0.0
174,23,5,100,0.06635700066357,0.5,5,1507,100,0.06635700066357,100,0.06635700066357,0,0.0
