class,group,reference_support,target_support,static_f1,best_pair_f1,delta_f1,static_recall,best_pair_recall,delta_recall
73,other,29211,8821,0.8796707462363262,0.8796707462363262,0.0,0.9207572837546764,0.9207572837546764,0.0
74,other,9210,2294,0.5352180162913273,0.5352180162913273,0.0,0.486922406277245,0.486922406277245,0.0
75,other,28060,6807,0.4022364217252396,0.4022364217252396,0.0,0.36991332451887765,0.36991332451887765,0.0
76,stable,10523,2683,0.8810229799851742,0.8810229799851742,0.0,0.8859485650391353,0.8859485650391353,0.0
77,other,81932,17960,0.7427868015732428,0.7428314066956914,4.460512244852666e-05,0.6887527839643652,0.6887527839643652,0.0
78,other,48009,10246,0.748072353426119,0.7481086323957323,3.6278969613334766e-05,0.7527815732968963,0.7527815732968963,0.0
79,other,25102,7528,0.7017907355335208,0.7017907355335208,0.0,0.6299149840595112,0.6299149840595112,0.0
80,other,6096,1055,0.31480241125251174,0.31480241125251174,0.0,0.22274881516587677,0.22274881516587677,0.0
81,other,7217,2122,0.9364595545134818,0.9364595545134818,0.0,0.9410933081998115,0.9410933081998115,0.0
82,other,79609,27579,0.7796960806439479,0.7797694058344462,7.332519049829678e-05,0.7516226114072302,0.7516226114072302,0.0
83,other,24502,19531,0.91312422616591,0.9130827378034623,-4.148836244777243e-05,0.9062516000204802,0.9060467973990067,-0.0002048026214734877
84,other,2397,1057,0.8721951219512195,0.873046875,0.0008517530487804903,0.8457899716177862,0.8457899716177862,0.0
85,other,2080,350,0.7124087591240876,0.7124087591240876,0.0,0.6971428571428572,0.6971428571428572,0.0
86,other,27759,20232,0.8040145527537322,0.8040145527537322,0.0,0.7919137999209174,0.7919137999209174,0.0
87,other,11231,5056,0.9071502786436195,0.9072359720385414,8.569339492192629e-05,0.9497626582278481,0.9497626582278481,0.0
88,other,204,83,0.21052631578947367,0.21052631578947367,0.0,0.5301204819277109,0.5301204819277109,0.0
89,other,486,377,0.7072599531615925,0.7072599531615925,0.0,0.8010610079575596,0.8010610079575596,0.0
90,other,7635,4080,0.8953821473587716,0.8958954368264159,0.0005132894676442845,0.9575980392156863,0.9575980392156863,0.0
91,other,4262,2334,0.8252314814814815,0.8263473053892215,0.00111582390774001,0.916452442159383,0.916452442159383,0.0
