prototype_period,split,class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,reference_recall,final_recall,final_f1,final_top_confusion_rate,first_collapse_top_confusion_rate,valid_pair,class_support,absorber_support,raw_l2_distance,cosine_similarity,cosine_distance,normalized_l2_distance,absorber_neighbor_rank,num_valid_neighbors,absorber_rank_percentile,nearest_class,nearest_cosine_distance,absorber_is_nearest,distance_z_vs_class_neighbors
M-2022-2,train,56,96,final,M-2022-5,abrupt,0.9524469982167625,0.00041196341764851283,0.0007871536523929471,0.25236878965147896,0.36252736940882074,1,1573,21919,12.518390655517578,0.5089664459228516,0.49103355407714844,0.9909930229187012,158,176,0.8977272727272727,106,0.2280435562133789,0,1.1371954815201215
M-2022-2,train,163,46,final,M-2022-5,gradual,0.3659695817490494,0.015508328546812177,0.025738798856053385,0.41815048822515793,0.3468067906224737,1,1967,2514,8.124308586120605,0.7445533275604248,0.2554466724395752,0.71476811170578,54,176,0.3068181818181818,116,0.08885490894317627,0,-0.6215141495690603
M-2022-2,train,174,2,final,M-2022-7,abrupt,0.9500706547338672,0.0,0.0,0.291970802919708,0.21649484536082475,1,37442,5137,6.1173295974731445,0.8032922744750977,0.19670772552490234,0.6272284984588623,29,176,0.16477272727272727,76,0.032698750495910645,0,-1.008787332756319
M-2022-2,train,48,14,final,M-2022-7,abrupt,0.9944011197760448,0.0008925914906277894,0.0017709563164108619,0.389764950907468,0.4735437972432192,1,17986,386,8.179000854492188,0.7434952259063721,0.25650477409362793,0.7162467241287231,57,176,0.32386363636363635,18,0.1171560287475586,0,-0.671257696807387
M-2022-2,train,50,124,final,M-2022-7,abrupt,0.5846898372195336,0.13023560209424084,0.186155285313377,0.11780104712041885,0.28582554517133957,1,15388,2838,9.132447242736816,0.6724493503570557,0.32755064964294434,0.80938321352005,111,176,0.6306818181818182,110,0.09223496913909912,0,0.3325026841534841
M-2022-2,train,38,45,final,M-2022-8,abrupt,0.6753246753246753,0.05181347150259067,0.08968609865470852,0.46113989637305697,0.8602261048304214,1,6074,5640,6.055819988250732,0.8341118097305298,0.16588819026947021,0.5760003924369812,18,176,0.10227272727272728,10,0.10529911518096924,0,-1.3521185498754786
M-2022-2,train,121,14,final,M-2022-9,gradual,0.9476995674400315,0.0,0.0,0.4375,0.7515151515151515,1,40138,386,7.021945953369141,0.803206205368042,0.196793794631958,0.6273654699325562,31,176,0.17613636363636365,116,0.07200068235397339,0,-0.994184643688637
M-2022-2,train,69,105,final,M-2022-9,abrupt,0.8020477815699659,0.00482315112540193,0.008430913348946136,0.3767416934619507,0.32507739938080493,1,1303,2180,11.02324104309082,0.5206146836280823,0.4793853163719177,0.9791683554649353,154,176,0.875,81,0.08617132902145386,0,1.182376051817167
M-2022-2,train,104,2,final,M-2022-9,gradual,0.6286054118346714,0.00974770642201835,0.016456921587608905,0.2121559633027523,0.2101628021706956,1,2002,5137,5.596094131469727,0.82035231590271,0.17964768409729004,0.5994124412536621,40,176,0.22727272727272727,159,0.03599536418914795,0,-0.8182182035518681
M-2022-2,train,47,5,final,M-2022-11,gradual,0.9700442823651992,0.0,0.0,0.45145631067961167,0.3493975903614458,1,3503,903,7.966285705566406,0.7839035987854004,0.2160964012145996,0.65741366147995,21,176,0.11931818181818182,151,0.11120975017547607,0,-1.3178796502233103
