method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_distill_weight,distill_temperature,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance,period,input_dir,delta_macro_f1_vs_static,delta_collapse_f1_vs_static,delta_stable_f1_vs_static
active_head_ft,absorber_margin,1000,all,5,2,0.5,2.0,890,43,1000,0.8443405393740945,0.7619101906611423,0.5814284518127774,0.6362258795434584,23886,0.9538343726069358,0.8390597878985145,146256,1,0,2890,0.19762076437473297,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.021714811006889878,0.1327974054320049,0.006897108317519218
active_head_ft,absorber_margin_balanced,200,all,5,2,0.5,2.0,890,13,200,0.8322809538297813,0.7496115329275616,0.5236121577493092,0.5959266828731652,23886,0.9496977901761295,0.8373274642109593,146256,1,1,1290,0.19179637730121613,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.009416153273309136,0.09249820876171166,0.005164784629963948
active_head_ft,absorber_margin_balanced,500,all,5,2,0.5,2.0,890,31,500,0.83833319706683,0.7590790052229207,0.5928996064640375,0.6480464138188979,23886,0.9544907559347993,0.8414752393785573,146256,0,0,1890,0.18836142122745514,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.018883625568668294,0.1446179397074444,0.009312559797561959
active_head_ft,absorber_margin_balanced,1000,all,5,2,0.5,2.0,890,57,1000,0.849882788468369,0.767933972667217,0.6298250020932764,0.6824728197435094,23886,0.9549830434306968,0.8396992688694589,146256,0,0,2890,0.19053658843040466,M-2022-7,outputs/collapse_active_replay_tls22_M-2022-7_all_r5_tr2_distill0.5,0.027738593012964552,0.17904434563205585,0.007536589288463569
static,,0,all,5,2,0.5,2.0,890,0,0,0.787239767457279,0.6836051344755893,0.18244870436374144,0.25812622807340385,31143,0.9480824979746415,0.9089863032292651,204902,7,4,,,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.0,0.0,0.0
active_head_ft,random,200,all,5,2,0.5,2.0,890,3,21,0.8077931719007169,0.6956199569708279,0.28369135921394856,0.29806385389616213,31143,0.945710632399879,0.9019797589260852,204902,6,4,1290,0.15459667146205902,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.012014822495238553,0.03993762582275828,-0.007006544303179929
active_head_ft,random,500,all,5,2,0.5,2.0,890,7,55,0.8143674931873384,0.7075760400971381,0.3855762129531516,0.3512690706446109,31143,0.9460278572195489,0.9040182566737103,204902,5,3,1890,0.15803518891334534,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.0239709056215488,0.09314284257120703,-0.004968046555554828
active_head_ft,random,1000,all,5,2,0.5,2.0,890,19,113,0.8232613376191036,0.7219755974314918,0.4867867578589089,0.4343540514743987,31143,0.9472577134434998,0.9057597589972456,204902,3,2,2890,0.15970678627490997,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.03837046295590241,0.17622782340099485,-0.0032265442320195126
active_head_ft,margin,200,all,5,2,0.5,2.0,890,6,20,0.8094042072752596,0.7031778452112191,0.3673056545612176,0.329440161395367,31143,0.9499419234560912,0.9050187558816651,204902,4,4,1290,0.18895433843135834,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.019572710735629717,0.07131393332196317,-0.0039675473475999645
active_head_ft,margin,500,all,5,2,0.5,2.0,890,13,60,0.8156571925784938,0.711683328951643,0.4093054619015509,0.36064406696338547,31143,0.9449004890142605,0.8984775513015324,204902,4,4,1890,0.189037024974823,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.02807819447605364,0.10251783888998162,-0.010508751927732707
active_head_ft,margin,1000,all,5,2,0.5,2.0,890,27,129,0.8256689377958384,0.7253268475879978,0.4593969752432328,0.39236829848788907,31143,0.9473016368800695,0.9007846838934739,204902,3,3,2890,0.18784062564373016,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.041721713112408465,0.13424207041448522,-0.008201619335791221
active_head_ft,absorber_random,200,all,5,2,0.5,2.0,890,11,200,0.7857134215361893,0.6877229978672859,0.37199370645088786,0.3454109844790949,31143,0.9473650818440035,0.8896801721631895,204902,3,3,1290,0.16592732071876526,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.004117863391696508,0.08728475640569106,-0.019306131066075594
active_head_ft,absorber_random,500,all,5,2,0.5,2.0,890,26,500,0.7973265233333963,0.7000738060980604,0.40875959284590435,0.38708822587409975,31143,0.945325082234434,0.8993299672378543,204902,2,2,1890,0.17037518322467804,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2_distill0.5,0.01646867162247101,0.1289619978006959,-0.009656335991410803
