class,fd,ref_count,tgt_count,count_ratio,margin_drop,conf_drop,entropy_rise,fd_zscore,collapse_score,status
112,25.060861363984543,3830,928,0.4742308572261501,2.541727304458618,0.1991821527481079,0.6413329243659973,1.3235367169780292,0.5624318897624669,ok
122,24.7443034901993,60930,38038,1.2218759111582005,0.49279117584228516,0.021424055099487305,0.056436747312545776,1.2850722599494626,0.05140289039797851,ok
135,23.895025010177548,2855,2400,1.6453024184819325,0.13232684135437012,0.03769397735595703,0.09744590520858765,1.1818777470173827,0.04727510988069531,ok
10,23.74041287731398,1962,207,0.20649614546944972,2.4404075145721436,0.26576220989227295,0.8096882104873657,1.1630910661823313,0.6870505151616354,ok
96,23.429016038848644,56131,34156,1.1909809979718922,2.4885196685791016,0.07978767156600952,0.2515673041343689,1.1252537185632125,0.14156023879550006,ok
42,23.36135399174192,1700,580,0.6677588908735862,2.948033094406128,0.17491775751113892,0.42052286863327026,1.1170322079993433,0.4297412537412838,ok
24,23.006912324948328,10384,2219,0.41824738059256106,4.011144161224365,0.20914912223815918,0.6494823694229126,1.0739645499484025,0.6575726137399973,ok
123,22.10886883289446,2581,662,0.5020079465250932,0.84746253490448,0.07905668020248413,0.21816354990005493,0.9648446759208048,0.2508178312665348,ok
55,21.5899928782121,8263,2102,0.4978924788624974,7.571465969085693,0.32764559984207153,0.6148077249526978,0.9017968621880907,0.6217802765793491,ok
163,21.5898728296237,1937,357,0.3607274588068819,1.0654890537261963,0.1345282793045044,0.3623838424682617,0.9017822752700191,0.3898842327610485,ok
54,21.56476069054511,6312,1430,0.44341425847692634,1.8989722728729248,0.17490756511688232,0.36470645666122437,0.8987309381387268,0.439737443076077,ok
22,21.525770941013093,4757,881,0.3624794280883236,6.003574371337891,0.1857689619064331,0.621766984462738,0.8939933540518237,0.6437015121971981,ok
27,21.507016090936904,19387,6461,0.652273504435803,5.364299774169922,0.07865250110626221,0.318528950214386,0.891714481262445,0.35826109566540837,ok
9,21.49653939038061,1315,360,0.5358180689847053,1.5071028470993042,0.14089852571487427,0.3668549656867981,0.890441473601855,0.34693836790613386,ok
57,21.472121603193457,3083,2324,1.4753776695691414,7.184925556182861,0.0648849606513977,0.19180390238761902,0.887474506093632,0.18549898024374528,ok
50,20.43670408798628,3179,610,0.37556050473251673,2.991210460662842,0.28899627923965454,0.8525617718696594,0.7616625272472909,0.6345498135075185,ok
114,20.282628754038473,3288,1047,0.6232402308634828,4.457518577575684,0.08722203969955444,0.2819232940673828,0.7429410720172183,0.3648183561516343,ok
141,20.083669896725894,1995,1074,1.0536636271342095,1.574735403060913,0.1372808814048767,0.41819578409194946,0.7187658893688025,0.16531426529401094,ok
23,19.438285747545375,12873,5587,0.8494533023714745,0.8664870262145996,0.05439198017120361,0.15854673087596893,0.6403462608306312,0.08583252948463543,ok
105,18.753781066438442,3955,3114,1.5410357977708669,1.3182367086410522,0.10974878072738647,0.3139646649360657,0.5571731570393406,0.0953123327179874,ok
94,18.722217682274138,375,602,3.14199746629898,-0.17063617706298828,-0.010218977928161621,-0.10134166479110718,0.55333793910795,0.022133517564318,ok
68,18.280192814365634,7164,3474,0.9491062731572677,-0.7295680046081543,-0.018722116947174072,-0.12539005279541016,0.49962818191909864,0.04034261801385687,ok
28,18.08026595130106,16646,3707,0.4358663108871815,2.8413443565368652,0.20920664072036743,0.6267468929290771,0.47533537839079215,0.5677312645307262,ok
152,17.976534962193785,1641,504,0.601121916514834,3.4257664680480957,0.11728280782699585,0.33686932921409607,0.46273118654006473,0.38264270841143694,ok
160,17.86394576744168,1275,2168,3.328048908997552,0.19447088241577148,-0.0004514455795288086,-0.014441967010498047,0.4490506478390713,0.017962025913562853,ok
5,17.50735744727207,2144,2383,2.175403727176069,3.000619411468506,0.1468871831893921,0.4124017357826233,0.4057221532606745,0.24184811855191274,ok
143,17.107655652278414,3953,2253,1.1155138951363532,1.1622779369354248,0.1666819453239441,0.49912697076797485,0.35715500712105713,0.17352629565101318,ok
116,17.043681543978728,4206,2621,1.2196588166598779,1.0716876983642578,0.04067343473434448,0.1440902054309845,0.34938161229056397,0.013975264491622558,ok
100,16.904049733510583,30816,17028,1.0815036338854551,4.943490028381348,0.15300655364990234,0.3940369188785553,0.3324151672315584,0.2863318255715256,ok
43,16.591275459513536,1706,2015,2.3117274534982712,0.4521920680999756,0.0438687801361084,0.13080888986587524,0.29441044955405,0.011776417982162,ok
104,16.013697043440146,2563,322,0.24589396643494366,2.578320026397705,0.2989785075187683,0.9443272352218628,0.22422979064314813,0.6415444707283612,ok
111,15.039555147990551,2376,1508,1.242211404739584,1.2052671909332275,0.15016072988510132,0.4771639108657837,0.10586331746337385,0.1449357795928948,ok
142,14.999157974724856,59170,19652,0.6500485488878077,1.1161870956420898,0.06795048713684082,0.22081565856933594,0.10095471949809923,0.1469337751829013,ok
79,14.999140872710452,23503,5986,0.49848720891887527,0.3494760990142822,-0.00569075345993042,0.027917981147766113,0.10095264145881286,0.20464322209080246,ok
6,14.707537215318577,2751,976,0.6943842062055519,3.0039782524108887,0.12976419925689697,0.34276753664016724,0.06552033262061303,0.3191908390759033,ok
78,14.486379109792509,46524,10375,0.43646725300782385,1.3093628883361816,0.06588733196258545,0.2025807648897171,0.03864775369907991,0.2360533800178788,ok
93,14.23626361408736,31720,20424,1.2602254043051058,1.7489938735961914,0.060083627700805664,0.18198105692863464,0.008256607139711611,0.03431312624210669,ok
121,14.100361838643812,2519,66,0.051280986951592986,3.9337568283081055,0.32093197107315063,0.8296195268630981,-0.008256607139711394,0.7794876052193628,ok
148,14.019792142037673,6680,3992,1.169646638711673,2.0669593811035156,0.06807160377502441,0.2450537383556366,-0.01804650620573152,0.05994012759461691,ok
162,13.85506343238632,505,116,0.4495802433604344,0.7571263313293457,0.1225079894065857,0.3777148723602295,-0.0380624366199415,0.3095254957415401,ok
117,13.786969603484785,84203,75433,1.7533734342734595,1.10182523727417,0.08806955814361572,0.22177889943122864,-0.04633641232104997,0.02272828387948466,ok
41,13.668544428196569,2033,1594,1.5345871079678781,1.5541846752166748,0.1480202078819275,0.47407132387161255,-0.060726071979505775,0.15768561831730807,ok
147,13.376932782555151,2133,1728,1.5855994615243603,0.7117776870727539,0.050392985343933105,0.15018512308597565,-0.0961593514575371,0.0,ok
72,13.22829706255576,17291,8168,0.9245623949387931,1.4934513568878174,0.08448994159698486,0.18333473801612854,-0.11421984762041344,0.06574972238164907,ok
158,12.967431213459744,12516,6764,1.057739325990621,2.152017831802368,0.11703020334243774,0.3587179183959961,-0.14591725297252756,0.13676616812107875,ok
19,12.722981794464019,13050,16522,2.4779509937274105,0.9255805015563965,0.08505529165267944,0.2477346658706665,-0.17561992332530474,0.025134159900104477,ok
4,12.668188378514824,3821,1351,0.692020433660337,2.3517003059387207,0.1561436653137207,0.4613426923751831,-0.18227778644532308,0.33144497183174926,ok
80,12.56719805352897,5450,438,0.15729619428803301,1.755698800086975,0.21176588535308838,0.5316307544708252,-0.19454896444279315,0.5814420386170939,ok
151,12.20284964755426,1933,1394,1.4114695930858099,0.6885228157043457,0.08110886812210083,0.23796218633651733,-0.23882037503025666,0.019182999829537348,ok
32,12.131415149933984,2036,1123,1.0795495719859456,0.9716547727584839,0.14963090419769287,0.4513126015663147,-0.24750027021408771,0.13159681607403856,ok
84,12.041920397513481,2549,993,0.7624651882981164,1.7330927848815918,0.019748687744140625,0.07563215494155884,-0.25837463899095153,0.12809659053012845,ok
165,11.891392423449387,4813,6905,2.807943909282902,3.637087345123291,0.07033461332321167,0.23384250700473785,-0.27666506001492364,0.148500177272199,ok
35,11.814309388270155,807,673,1.6322329339154595,-0.8862431049346924,-0.036957502365112305,-0.07304468750953674,-0.28603130025033324,0.0,ok
8,11.464313681111776,1453,1033,1.391474699507683,-1.9855356216430664,-0.023846566677093506,-0.08441916108131409,-0.32855873663092167,0.0,ok
166,11.43384198869483,2837,1449,0.9996538815218268,1.7302041053771973,0.08516526222229004,0.30219024419784546,-0.3322613047886622,0.06962769606872476,ok
133,11.410616346692336,58908,45537,1.512971490416027,0.9991641044616699,0.0316011905670166,0.12045586109161377,-0.33508341658162893,0.0,ok
154,11.2679079717147,2825,1422,0.9851939840084268,0.5503246784210205,0.09109050035476685,0.2477286458015442,-0.35242369022987746,0.037047794366164934,ok
