class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
94,stable,633,760,0.6138032305433186,0.6259758694109298,0.012172638867611107,0.55,0.5802631578947368,0.03026315789473677
95,other,50223,3282,0.9211843799170362,0.9141069397042093,-0.007077440212826858,0.9811090798293723,0.9792809262644728,-0.001828153564899515
96,other,55119,44573,0.692832374347445,0.6957495545940443,0.0029171802465992602,0.6118726583357638,0.6132860700424023,0.0014134117066385565
97,other,41580,18214,0.7774216721003481,0.7828879966772809,0.005466324576932857,0.7724278027890633,0.7761611946854068,0.0037333918963434742
98,stable,63298,48912,0.9950280312640668,0.9951737254340579,0.0001456941699911063,0.9942549885508669,0.9949092247301276,0.0006542361792606366
99,stable,23955,18452,0.8910004668662291,0.9106967063257672,0.019696239459538023,0.8791458920442229,0.8773574680251464,-0.0017884240190765288
100,other,30504,17278,0.7223809246196,0.7265190984715466,0.004138173851946592,0.7171547632827874,0.7304086121078829,0.013253848825095504
101,other,60629,42403,0.7117749402848633,0.7496888100382012,0.03791386975333788,0.5692285923165814,0.6178572270829894,0.048628634766408
102,other,79891,35717,0.8913159504810008,0.8835893394654231,-0.0077266110155777,0.9585071534563373,0.9574712321863539,-0.0010359212699834197
103,other,1787,1446,0.43172147001934236,0.48126094570928196,0.049539475689939605,0.38589211618257263,0.475103734439834,0.08921161825726137
104,bad,3363,1744,0.016456921587608905,0.017551963048498844,0.0010950414608899388,0.00974770642201835,0.010894495412844037,0.0011467889908256881
105,other,4895,3159,0.3440140283755779,0.3359288097886541,-0.008085218586923792,0.34156378600823045,0.33459955682177905,-0.006964229186451398
106,other,3993,1622,0.9295261239368166,0.9234478601567209,-0.006078263780095683,0.9432799013563502,0.9445129469790382,0.0012330456226880004
107,stable,3873,2555,0.9622496147919877,0.952561669829222,-0.009687944962765704,0.9776908023483366,0.9823874755381604,0.004696673189823808
108,other,11663,3529,0.8786482334869432,0.8801894678183338,0.0015412343313906396,0.8914706715783508,0.8951544346840464,0.0036837631056956255
109,bad,1867,393,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,0.8196861139542818,0.8218356328734253,0.0021495189191435005,0.8474426807760141,0.845679012345679,-0.0017636684303351524
111,other,2817,1136,0.26626323751891073,0.2701189643107068,0.003855726791796077,0.30985915492957744,0.3397887323943662,0.029929577464788748
112,other,3822,1083,0.5887618100447538,0.5962190984003878,0.007457288355633973,0.5466297322253001,0.5678670360110804,0.02123730378578026
113,stable,5042,3574,0.977462792345854,0.978433598183882,0.0009708058380279994,0.9647453833240067,0.9647453833240067,0.0
114,other,3329,911,0.8335035750766088,0.8246589186457807,-0.008844656430828102,0.8957189901207464,0.8957189901207464,0.0
115,other,22978,15934,0.8206401218018734,0.8056246969452077,-0.015015424856665738,0.7780218400903728,0.7820384084347936,0.004016568344420768
116,other,4023,3278,0.7903034412612308,0.7916457811194654,0.0013423398582346202,0.711104331909701,0.7226967663209274,0.011592434411226371
117,other,84936,58860,0.6539879219318951,0.66992273944947,0.015934817517574862,0.7460584437648657,0.7328916072035339,-0.013166836561331885
118,bad,3760,2577,0.4359987838248708,0.4289768483943241,-0.0070219354305466886,0.5564610011641443,0.5572370974000777,0.0007760962359333323
119,stable,2846,1033,0.8846153846153846,0.8822947576656776,-0.0023206269497070275,0.8683446272991288,0.8635043562439496,-0.004840271055179146
120,other,2918,1133,0.8361683079677709,0.8172699520279111,-0.01889835593985978,0.824360105913504,0.8270079435127978,0.0026478375992938785
121,other,2543,16,0.0,0.0,0.0,0.0,0.0,0.0
122,other,61426,40149,0.824817424891606,0.827807678968259,0.0029902540766529873,0.8031333283518892,0.8025604622780144,-0.0005728660738748559
123,other,3393,1458,0.4490566037735849,0.4763670064874884,0.027310402713903503,0.32647462277091904,0.35253772290809327,0.026063100137174222
124,other,30492,18817,0.8551867440993127,0.8504972899015945,-0.004689454197718268,0.8530052611999788,0.8589041823882659,0.005898921188287165
125,other,3522,2268,0.6736076681540242,0.6598738476467734,-0.013733820507250805,0.8985890652557319,0.8994708994708994,0.0008818342151675207
126,other,2112,2588,0.8720262510254306,0.8687819856704196,-0.003244265355010989,0.821483771251932,0.8199381761978362,-0.0015455950540957941
127,other,3002,4058,0.7258826800111203,0.7437227074235808,0.01784002741246049,0.6434204041399705,0.6715130606209956,0.028092656481025102
128,stable,2342,3721,0.9304743339831059,0.9299610894941635,-0.0005132444889424104,0.9621069604944907,0.9634506852996506,0.0013437248051598738
129,other,44177,18631,0.6718027734976888,0.6708229426433915,-0.0009798308542973144,0.5850464279963502,0.5775320702055714,-0.007514357790778803
130,stable,7092,4618,0.8315680166147456,0.8307756117793447,-0.0007924048354008839,0.8670420095279342,0.8674750974447812,0.0004330879168470414
131,stable,30533,17194,0.906423586383706,0.9093836506412067,0.0029600642575007274,0.9253227870187275,0.9361986739560312,0.01087588693730368
132,stable,23157,13419,0.9021133745326925,0.9014989293361885,-0.0006144451965039988,0.8811386839555854,0.8784559207094418,-0.0026827632461435824
133,other,54110,34000,0.8244967750858091,0.8215098397139357,-0.002986935371873445,0.9643823529411765,0.9662647058823529,0.0018823529411764461
134,other,10738,5543,0.9474777191312624,0.9508282022374469,0.0033504831061844653,0.9877322749413675,0.9889951289915209,0.0012628540501533614
135,other,3069,1872,0.477059925093633,0.4651690492398457,-0.011890875853787286,0.5443376068376068,0.5475427350427351,0.0032051282051283048
136,other,22342,12861,0.7803508232035697,0.7827723989549715,0.0024215757514017833,0.7886634009797061,0.7920845968431692,0.0034211958634631223
137,other,4089,1286,0.5800631483987371,0.5469194312796208,-0.033143717119116234,0.5,0.44867807153965783,-0.05132192846034217
138,other,43631,12776,0.6155363306288941,0.6628556351963414,0.04731930456744726,0.5374139010644959,0.5899342517219787,0.05252035065748273
139,bad,2846,973,0.16774193548387098,0.14359504132231404,-0.024146894161556937,0.1736896197327852,0.14285714285714285,-0.03083247687564236
140,other,71932,21276,0.7487365493894329,0.7469856134306995,-0.001750935958733435,0.7276743748824968,0.7235852603872909,-0.004089114495205881
141,other,2022,1226,0.6573913043478261,0.666127728375101,0.008736424027274925,0.6166394779771615,0.6721044045676998,0.055464926590538366
142,other,62604,15948,0.6765168539325843,0.6792197160037264,0.0027028620711421203,0.755079006772009,0.754326561324304,-0.0007524454477050302
143,other,4384,3052,0.4037700282752121,0.4177858439201452,0.014015815644933094,0.35091743119266056,0.377129750982962,0.02621231979030142
144,stable,3642,2267,0.981722087645893,0.9792586054721977,-0.002463482173695297,0.9832377591530658,0.9788266431407145,-0.004411116012351224
145,stable,2224,1149,0.9943305713039686,0.9943305713039686,0.0,0.9921671018276762,0.9921671018276762,0.0
146,other,4793,4680,0.8806497175141242,0.8889405744854053,0.008290856971281069,0.7993589743589744,0.8166666666666667,0.017307692307692246
147,other,2203,2730,0.7240915208613729,0.7475770925110132,0.02348557164964038,0.5912087912087912,0.6216117216117216,0.030402930402930406
148,other,6812,3728,0.8069948186528497,0.8034319375080036,-0.003562881144846153,0.835568669527897,0.841469957081545,0.005901287553648049
149,other,74194,29896,0.6411142367906066,0.645143630039933,0.004029393249326385,0.7013312817768264,0.6700896440995451,-0.031241637677281275
