norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,66,final_collapsed;abrupt_collapsed,2587,0.8981018981018981,0.6950135291843834,0.7836129875789932
gn,M-2022-7,67,,1175,0.3799043062200957,0.33787234042553194,0.35765765765765767
gn,M-2022-7,68,,3493,0.5613063407181055,0.8413970798740338,0.6733875587123381
gn,M-2022-7,69,final_collapsed;abrupt_collapsed,605,0.7142857142857143,0.9338842975206612,0.8094555873925502
gn,M-2022-7,70,degraded_noncollapsed,1078,0.7446808510638298,0.5844155844155844,0.6548856548856549
gn,M-2022-7,71,absorber,78156,0.867349426969032,0.8647192793899381,0.8660323562389877
gn,M-2022-7,72,,7931,0.7596946940785424,0.7780859916782247,0.7687803662638595
gn,M-2022-7,73,,15014,0.9741787122207621,0.9875449580391634,0.9808162995303301
gn,M-2022-7,74,,3474,0.7082613204286208,0.5898100172711571,0.643631223496152
gn,M-2022-7,75,degraded_noncollapsed,16084,0.6813482925873303,0.864648097488187,0.7621317988765585
gn,M-2022-7,76,stable,5019,0.8991617983235967,0.7053197848176928,0.7905314872711031
gn,M-2022-7,77,,35082,0.8542527926818542,0.8305113733538567,0.8422148029311017
gn,M-2022-7,78,,31608,0.965984414912536,0.9451721083270058,0.9554649396338051
gn,M-2022-7,79,,10765,0.7853631388553938,0.7865304226660473,0.7859463473498561
gn,M-2022-7,80,degraded_noncollapsed,2151,0.6070234113712375,0.33751743375174337,0.43382133253659994
gn,M-2022-7,81,,3251,0.9623100303951367,0.9738541987080899,0.9680476991285736
gn,M-2022-7,82,,38594,0.8303969871282276,0.8341192931543763,0.8322539781026616
gn,M-2022-7,83,,21074,0.9276866264666013,0.9417291449179084,0.9346551439941602
gn,M-2022-7,84,,1135,0.9668122270742358,0.9753303964757709,0.9710526315789474
gn,M-2022-7,85,,1437,0.9597818677573279,0.9798190675017397,0.9696969696969697
gn,M-2022-7,86,,16760,0.8176655031651187,0.8246420047732697,0.8211389359237145
gn,M-2022-7,87,,9083,0.9712174680194089,0.9696135638005065,0.9704148531761335
gn,M-2022-7,88,,239,0.2813186813186813,0.5355648535564853,0.3688760806916426
gn,M-2022-7,89,,552,0.910828025477707,0.7771739130434783,0.8387096774193549
gn,M-2022-7,90,,3605,0.8497757847533632,0.9461858529819694,0.8953930962068513
gn,M-2022-7,91,,2609,0.8126666666666666,0.9344576466078958,0.8693171688357996
gn,M-2022-7,92,,804,0.94579945799458,0.8681592039800995,0.9053177691309987
gn,M-2022-7,93,,24700,0.8900483353661292,0.7976923076923077,0.8413433823686401
gn,M-2022-7,94,stable,123,0.021092482422931314,0.3170731707317073,0.03955375253549696
gn,M-2022-7,95,,53160,0.9929320608523103,0.9883559066967644,0.9906386990337026
