rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples
absorber_distance,ref_p70,0.18611037731170654,0.9592280774090641,0.040771922590935906,0.794713547040219,0.6874014888732042,0.07825060609927269,0.06993006993006994,0.11213592233009709,0.0020790426642980546,0.997920957335702,0.9217493939007273,8907,6454,0.27540136970921747,7776,5561,0.28485082304526754,84250,1982123,31348,204902
absorber_proto_disagree,ref_p70,0.18611037731170654,0.9668167363781853,0.033183263621814646,0.7952316643674755,0.6882712876253417,0.06963761643486027,0.06253973299427845,0.09854368932038834,0.0018155020448799913,0.99818449795512,0.9303623835651397,8907,6724,0.24508813292915688,7776,5810,0.2528292181069959,68569,1997804,31348,204902
prototype_distance,ref_p80,0.2109503149986267,0.7888691925417144,0.2111308074582856,0.8252031472954386,0.7125561555985721,0.1342988388413934,0.12202002542911634,0.1843042071197411,0.05380620979785458,0.9461937902021454,0.8657011611586066,8907,7716,0.13371505557426744,7776,6712,0.13683127572016462,436275,1630098,31348,204902
absorber_distance,ref_p80,0.2109503149986267,0.9719392384627558,0.028060761537244242,0.7937277091240791,0.6873966752103767,0.03799285440857471,0.032223458359821995,0.061488673139158574,0.0014592341704814985,0.9985407658295185,0.9620071455914253,8907,7716,0.13371505557426744,7776,6712,0.13683127572016462,57984,2008389,31348,204902
absorber_proto_disagree,ref_p80,0.2109503149986267,0.9762859851536968,0.02371401484630316,0.7938911583442014,0.687464542186681,0.03231466122240653,0.026184043229497776,0.05728155339805825,0.0012640188968384887,0.9987359811031615,0.9676853387775934,8907,7894,0.11373077354889416,7776,6883,0.11484053497942381,49002,2017371,31348,204902
prototype_distance,ref_p85,0.22680793702602386,0.8489067559438688,0.1510932440561312,0.818764330237071,0.7065063271541367,0.08115350261579686,0.07529402415766052,0.10501618122977346,0.034196835560414245,0.9658031644395858,0.9188464973842031,8907,8263,0.07230268328281131,7776,7209,0.07291666666666663,312215,1754158,31348,204902
absorber_distance,ref_p85,0.22680793702602386,0.9792336620735946,0.020766337926405348,0.7933714594096652,0.6869037075046472,0.02054357534770958,0.017323585505403687,0.03365695792880259,0.001073684005036554,0.9989263159949634,0.9794564246522904,8907,8263,0.07230268328281131,7776,7209,0.07291666666666663,42911,2023462,31348,204902
absorber_proto_disagree,ref_p85,0.22680793702602386,0.981883716057072,0.01811628394292802,0.7933726905405685,0.6868043264210548,0.018406277912466504,0.015138270820089002,0.03171521035598705,0.0009028706405989204,0.9990971293594011,0.9815937220875335,8907,8330,0.06478050971146287,7776,7274,0.06455761316872433,37435,2028938,31348,204902
prototype_distance,ref_p90,0.2449350357055664,0.8985880090380585,0.10141199096194153,0.8108220622591983,0.6997380316414825,0.036078856705371955,0.031269866497139226,0.05566343042071197,0.022684014797317742,0.9773159852026823,0.9639211432946281,8907,8767,0.015717974626698106,7776,7672,0.013374485596707841,209555,1856818,31348,204902
absorber_distance,ref_p90,0.2449350357055664,0.9861375463190818,0.013862453680918208,0.7921655883415255,0.6860875310375578,0.004465994640806431,0.0017879847425301971,0.015372168284789644,0.0007125357487969858,0.999287464251203,0.9955340053591936,8907,8767,0.015717974626698106,7776,7672,0.013374485596707841,28645,2037728,31348,204902
absorber_proto_disagree,ref_p90,0.2449350357055664,0.9873290059442318,0.012670994055768247,0.7921791597841378,0.6860719616920609,0.004306494832206202,0.0016687857596948505,0.015048543689320388,0.0006295692574987067,0.9993704307425013,0.9956935051677938,8907,8772,0.015156618390030352,7776,7677,0.01273148148148151,26183,2040190,31348,204902
prototype_distance,ref_p95,0.2717369496822357,0.950052096112367,0.049947903887633066,0.7976438011738206,0.6905873862508632,0.012345285185657777,0.009098855689764781,0.0255663430420712,0.010712438141160165,0.9892875618588398,0.9876547148143422,8907,8835,0.008083529808016188,7776,7721,0.007073045267489753,103211,1963162,31348,204902
absorber_distance,ref_p95,0.2717369496822357,0.9941259395085011,0.005874060491498872,0.7894865972004177,0.684977745152275,0.0022967972438433073,0.0005959949141767323,0.009223300970873786,0.00038066978360386917,0.9996193302163962,0.9977032027561566,8907,8835,0.008083529808016188,7776,7721,0.007073045267489753,12138,2054235,31348,204902
absorber_proto_disagree,ref_p95,0.2717369496822357,0.9944356609382721,0.0055643390617279645,0.7894553196666464,0.6849414849727865,0.0022648972821232615,0.0005959949141767323,0.009061488673139158,0.0003513874925574177,0.9996486125074426,0.9977351027178767,8907,8836,0.007971258560682593,7776,7722,0.00694444444444442,11498,2054875,31348,204902
prototype_distance,ref_p97,0.2888748198747636,0.9715080481597466,0.02849195184025343,0.7929332930842272,0.6866410246612845,0.006571392114329463,0.0050858232676414495,0.01262135922330097,0.00832593142087437,0.9916740685791257,0.9934286078856706,8907,8857,0.005613562366677871,7776,7735,0.005272633744855981,58875,2007498,31348,204902
absorber_distance,ref_p97,0.2888748198747636,0.9973634963290752,0.0026365036709248522,0.7883333939857103,0.6841642620109321,0.001594998086002297,0.00039732994278448826,0.006472491909385114,0.00026354061941806327,0.999736459380582,0.9984050019139977,8907,8857,0.005613562366677871,7776,7735,0.005272633744855981,5448,2060925,31348,204902
