rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples,period,input_dir
hybrid,conf_p2_margin_p2_dist_p85,0.22680793702602386,0.892581349059439,0.10741865094056106,0.8244985106316072,0.710409059739286,0.3411381906341712,0.33824698029243483,0.3529126213592233,0.015021815306829606,0.9849781846931704,0.6588618093658287,8907,517,0.9419557651285506,7776,478,0.9385288065843621,221967,1844406,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p90,0.2449350357055664,0.8940152624913315,0.10598473750866858,0.8244514225365912,0.7104222068346702,0.3392241929309685,0.3361808645899555,0.3516181229773463,0.014973011488418854,0.9850269885115811,0.6607758070690315,8907,577,0.9352194902885371,7776,537,0.9309413580246914,219004,1847369,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p95,0.2717369496822357,0.8948742555192117,0.10512574448078832,0.8244874385120899,0.7106237706175891,0.3391922929692484,0.33614113159567705,0.3516181229773463,0.014943729197372402,0.9850562708026276,0.6608077070307515,8907,578,0.9351072190412035,7776,538,0.9308127572016461,217229,1849144,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p97,0.2888748198747636,0.8950750905088287,0.10492490949117124,0.8244716713551717,0.710618639921365,0.33916039300752837,0.33614113159567705,0.35145631067961164,0.014929088051849176,0.9850709119481508,0.6608396069924716,8907,579,0.9349949477938699,7776,539,0.9306841563786008,216814,1849559,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p2_margin_p2_dist_p99,0.3192392587661743,0.8951573602636117,0.10484263973638835,0.8244575286433851,0.7106193516534854,0.33916039300752837,0.33614113159567705,0.35145631067961164,0.014924207670008101,0.9850757923299919,0.6608396069924716,8907,579,0.9349949477938699,7776,539,0.9306841563786008,216644,1849729,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p70,0.18611037731170654,0.836930215406415,0.16306978459358498,0.8527983531955985,0.734634024739397,0.44066607120071455,0.4239113159567705,0.5088996763754046,0.029253008755405024,0.970746991244595,0.5593339287992855,8907,233,0.973840799371281,7776,219,0.9718364197530864,336963,1729410,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p80,0.2109503149986267,0.8400342048604004,0.1599657951395997,0.8530836075546829,0.73660111566117,0.43875207349751183,0.42299745708836617,0.5029126213592233,0.029228606846199646,0.9707713931538003,0.5612479265024882,8907,293,0.9671045245312675,7776,278,0.9642489711934157,330549,1735824,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p85,0.22680793702602386,0.8416747605587181,0.1583252394412819,0.8531986288058859,0.7371439809691251,0.43546637744034705,0.4193022886204704,0.501294498381877,0.02921396570067642,0.9707860342993235,0.5645336225596529,8907,396,0.9555405860559111,7776,380,0.9511316872427984,327159,1739214,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p90,0.2449350357055664,0.8430685069926872,0.15693149300731282,0.8531210141358618,0.7370001916796485,0.43358427969886437,0.4172361729179911,0.5001618122977346,0.02919444417331212,0.9708055558266879,0.5664157203011356,8907,455,0.9489165824632312,7776,439,0.9435442386831275,324279,1742094,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p95,0.2717369496822357,0.8438999154557285,0.15610008454427154,0.8531475870105264,0.73721761569288,0.43355237973714433,0.41719643992371264,0.5001618122977346,0.02916516188226567,0.9708348381177343,0.5664476202628557,8907,456,0.9488043112158976,7776,440,0.9434156378600823,322561,1743812,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p97,0.2888748198747636,0.8440925234698673,0.15590747653013276,0.8531312169979532,0.7372042152409268,0.4335204797754243,0.41719643992371264,0.5,0.02915540111858352,0.9708445988814165,0.5664795202245757,8907,457,0.9486920399685641,7776,441,0.943287037037037,322163,1744210,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p5_margin_p5_dist_p99,0.3192392587661743,0.8441670501889059,0.15583294981109413,0.8531183858414872,0.7372044866841222,0.4335204797754243,0.41719643992371264,0.5,0.02915540111858352,0.9708445988814165,0.5664795202245757,8907,457,0.9486920399685641,7776,441,0.943287037037037,322009,1744364,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p70,0.18611037731170654,0.7658902821513831,0.23410971784861687,0.889081046243085,0.7687978432057294,0.5657139211432947,0.5396932612841704,0.6716828478964402,0.05323520512244878,0.9467647948775513,0.4342860788567054,8907,133,0.9850679241046368,7776,133,0.9828960905349794,483758,1582615,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
hybrid,conf_p10_margin_p10_dist_p80,0.2109503149986267,0.7688374751315469,0.2311625248684531,0.8893369127685756,0.7707955113529831,0.5644060227127727,0.5392561983471075,0.6668284789644013,0.05321568359508448,0.9467843164049156,0.43559397728722726,8907,174,0.9804648029639609,7776,174,0.9776234567901234,477668,1588705,31348,204902,M-2022-10,outputs/reject_option_ablation_tls22_M-2022-10
