strategy,budget,class_id,support,recall,f1
margin,1000,66,1955,0.004092071611253197,0.0068463842533162175
margin,1000,10,1004,0.0,0.0
margin,1000,109,393,0.0,0.0
margin,1000,26,807,0.042131350681536554,0.05222734254992319
absorber_random,50,56,12137,0.15390953283348438,0.2493991989319092
absorber_random,50,163,1741,0.006318207926479035,0.01243640474844545
absorber_random,50,174,1507,0.0,0.0
absorber_random,50,48,3361,0.0,0.0
absorber_random,50,38,193,0.06735751295336788,0.1111111111111111
absorber_random,50,69,1866,0.0005359056806002144,0.0010432968179447052
absorber_random,50,104,1744,0.0017201834862385322,0.003284072249589491
absorber_random,50,47,618,0.0,0.0
absorber_random,50,66,1955,0.0,0.0
absorber_random,50,10,1004,0.05179282868525897,0.09611829944547134
absorber_random,50,109,393,0.0,0.0
absorber_random,50,26,807,0.004956629491945477,0.007774538386783284
absorber_random,100,56,12137,0.6324462387739969,0.5491879516348287
absorber_random,100,163,1741,0.17863296955772545,0.08731049971925885
absorber_random,100,174,1507,0.0,0.0
absorber_random,100,48,3361,0.0,0.0
absorber_random,100,38,193,0.06217616580310881,0.10084033613445378
absorber_random,100,69,1866,0.0,0.0
absorber_random,100,104,1744,0.0011467889908256881,0.002238388360380526
absorber_random,100,47,618,0.0,0.0
absorber_random,100,66,1955,0.0,0.0
absorber_random,100,10,1004,0.7758964143426295,0.30937251787132647
absorber_random,100,109,393,0.0,0.0
absorber_random,100,26,807,0.0037174721189591076,0.006389776357827476
absorber_random,200,56,12137,0.8184889181840652,0.6351662404092071
absorber_random,200,163,1741,0.1860999425617461,0.08582781456953642
absorber_random,200,174,1507,0.0006635700066357001,0.0006802721088435374
absorber_random,200,48,3361,0.08152335614400476,0.11967678532430662
absorber_random,200,38,193,0.06735751295336788,0.10699588477366255
absorber_random,200,69,1866,0.30760986066452306,0.2127107652399481
absorber_random,200,104,1744,0.3795871559633027,0.21378976263523333
absorber_random,200,47,618,0.3074433656957929,0.23227383863080683
absorber_random,200,66,1955,0.0,0.0
absorber_random,200,10,1004,0.7838645418326693,0.30147481325416586
absorber_random,200,109,393,0.0,0.0
absorber_random,200,26,807,0.0012391573729863693,0.002372479240806643
absorber_random,500,56,12137,0.955425558210431,0.6846751099695924
absorber_random,500,163,1741,0.3446295232624928,0.14172670367308374
absorber_random,500,174,1507,0.08626410086264101,0.06253006253006253
absorber_random,500,48,3361,0.82237429336507,0.5928785928785929
absorber_random,500,38,193,0.05699481865284974,0.09401709401709402
absorber_random,500,69,1866,0.3590568060021436,0.20615384615384616
absorber_random,500,104,1744,0.6032110091743119,0.38136668479245966
absorber_random,500,47,618,0.6084142394822006,0.44922341696535245
absorber_random,500,66,1955,0.0,0.0
absorber_random,500,10,1004,0.8027888446215139,0.31029836381135706
absorber_random,500,109,393,0.0,0.0
absorber_random,500,26,807,0.13878562577447337,0.04430379746835443
absorber_random,1000,56,12137,0.9577325533492625,0.7457735861161903
absorber_random,1000,163,1741,0.4279149913842619,0.18978474079735067
absorber_random,1000,174,1507,0.08759124087591241,0.062264150943396226
absorber_random,1000,48,3361,0.8655162154120798,0.635083506167449
absorber_random,1000,38,193,0.03626943005181347,0.06862745098039216
absorber_random,1000,69,1866,0.4212218649517685,0.15401195258156167
absorber_random,1000,104,1744,0.7368119266055045,0.4875735154619617
absorber_random,1000,47,618,0.6456310679611651,0.4425956738768719
absorber_random,1000,66,1955,0.0,0.0
absorber_random,1000,10,1004,0.7928286852589641,0.38389197009886666
absorber_random,1000,109,393,0.0,0.0
absorber_random,1000,26,807,0.19083023543990088,0.07223264540337711
absorber_margin,50,56,12137,0.46444755705693336,0.5769998464609243
absorber_margin,50,163,1741,0.005169442848937392,0.01021566401816118
absorber_margin,50,174,1507,0.0,0.0
absorber_margin,50,48,3361,0.0,0.0
absorber_margin,50,38,193,0.06217616580310881,0.10526315789473684
absorber_margin,50,69,1866,0.0,0.0
absorber_margin,50,104,1744,0.7362385321100917,0.261081740544937
absorber_margin,50,47,618,0.0,0.0
absorber_margin,50,66,1955,0.0,0.0
absorber_margin,50,10,1004,0.0,0.0
absorber_margin,50,109,393,0.0,0.0
absorber_margin,50,26,807,0.0161090458488228,0.01863799283154122
absorber_margin,100,56,12137,0.4724396473593145,0.5755294589982937
absorber_margin,100,163,1741,0.13095921883974726,0.05232358003442341
absorber_margin,100,174,1507,0.0006635700066357001,0.0009718172983479105
absorber_margin,100,48,3361,0.0,0.0
absorber_margin,100,38,193,0.24870466321243523,0.04639922667955534
absorber_margin,100,69,1866,0.0,0.0
absorber_margin,100,104,1744,0.8021788990825688,0.19173576372233261
absorber_margin,100,47,618,0.0,0.0
absorber_margin,100,66,1955,0.0025575447570332483,0.0026198585276395073
absorber_margin,100,10,1004,0.0,0.0
absorber_margin,100,109,393,0.0,0.0
absorber_margin,100,26,807,0.1288723667905824,0.06733570734865653
absorber_margin,200,56,12137,0.5151190574277004,0.546981627296588
absorber_margin,200,163,1741,0.2912119471568064,0.16546997389033943
absorber_margin,200,174,1507,0.0006635700066357001,0.0007238508867173362
absorber_margin,200,48,3361,0.16810473073490032,0.14160401002506265
absorber_margin,200,38,193,0.7875647668393783,0.15423642820903094
absorber_margin,200,69,1866,0.0,0.0
absorber_margin,200,104,1744,0.7540137614678899,0.32041910331384016
absorber_margin,200,47,618,0.0,0.0
absorber_margin,200,66,1955,0.0010230179028132991,0.0011844832691738228
absorber_margin,200,10,1004,0.0,0.0
absorber_margin,200,109,393,0.0,0.0
absorber_margin,200,26,807,0.12019826517967781,0.06715126341294565
absorber_margin,500,56,12137,0.830765428029991,0.6294989854846262
absorber_margin,500,163,1741,0.472716829408386,0.2808394471933117
absorber_margin,500,174,1507,0.21433311214333112,0.0892881824464409
absorber_margin,500,48,3361,0.3924427253793514,0.404787478901335
absorber_margin,500,38,193,0.538860103626943,0.2073778664007976
absorber_margin,500,69,1866,0.0,0.0
absorber_margin,500,104,1744,0.7958715596330275,0.4208611279563372
absorber_margin,500,47,618,0.18608414239482202,0.19262981574539365
absorber_margin,500,66,1955,0.14526854219948848,0.07116011024805813
absorber_margin,500,10,1004,0.6175298804780877,0.5756731662024142
absorber_margin,500,109,393,0.0,0.0
absorber_margin,500,26,807,0.10532837670384139,0.08395061728395062
absorber_margin,1000,56,12137,0.8411469061547334,0.6733946769565647
absorber_margin,1000,163,1741,0.5060310166570936,0.42653110626966834
absorber_margin,1000,174,1507,0.28931652289316523,0.10531400966183575
absorber_margin,1000,48,3361,0.9274025587622732,0.6781984334203656
absorber_margin,1000,38,193,0.5803108808290155,0.2831858407079646
absorber_margin,1000,69,1866,0.0,0.0
absorber_margin,1000,104,1744,0.7614678899082569,0.6476469153864911
absorber_margin,1000,47,618,0.7103559870550162,0.3212586900841566
absorber_margin,1000,66,1955,0.4194373401534527,0.26550105229075605
absorber_margin,1000,10,1004,0.6912350597609562,0.5985338507977577
absorber_margin,1000,109,393,0.0,0.0
absorber_margin,1000,26,807,0.055762081784386616,0.06143344709897611
oracle_collapse_random,50,56,12137,0.8142868913240504,0.4856869056687225
oracle_collapse_random,50,163,1741,0.31533601378518095,0.026153443060286306
oracle_collapse_random,50,174,1507,0.0457863304578633,0.013438504236050247
oracle_collapse_random,50,48,3361,0.8229693543588218,0.26014577944980016
oracle_collapse_random,50,38,193,0.06735751295336788,0.05652173913043478
oracle_collapse_random,50,69,1866,0.6693461950696677,0.03527102777346342
oracle_collapse_random,50,104,1744,0.7219036697247706,0.27095663402561065
oracle_collapse_random,50,47,618,0.0,0.0
