method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance
active_head_ft,absorber_random,500,stable,25,2,500,37,500,0.6158019511361978,0.49674940334097456,0.6629949498645978,0.24726447268831622,27326,0.9640221402214022,0.6511294968519008,144172,4,2,1500,0.1801198124885559
active_head_ft,absorber_random,1000,stable,25,2,500,76,1000,0.653871703235041,0.4878625409934929,0.6893434823977165,0.2701532660356181,27326,0.961060400077685,0.6967305424273265,144172,4,2,2500,0.17961828410625458
active_head_ft,absorber_margin,50,stable,25,2,500,3,50,0.6403328524389958,0.5218636535019,0.25451950523311134,0.0810165334791917,27326,0.9739616569098022,0.5699950950894321,144172,10,8,600,0.20725363492965698
active_head_ft,absorber_margin,100,stable,25,2,500,8,100,0.6513256586728374,0.512536685745079,0.2751591890507209,0.07807628438410408,27326,0.9714923840967733,0.6094295605999073,144172,7,7,700,0.19932612776756287
active_head_ft,absorber_margin,200,stable,25,2,500,13,200,0.6551186529315788,0.5167210935487904,0.32536778159994145,0.11648089502530816,27326,0.9666440085453486,0.6591945708868627,144172,6,6,900,0.20104551315307617
active_head_ft,absorber_margin,500,stable,25,2,500,37,500,0.6842874513784084,0.5316648064577298,0.554197467613262,0.2463388998218888,27326,0.9623921427184197,0.7270944333690563,144172,2,2,1500,0.1994195431470871
active_head_ft,absorber_margin,1000,stable,25,2,500,76,1000,0.7077565561214272,0.5443406314263696,0.6616775232379419,0.3384165018895447,27326,0.9573495546985545,0.7491114574345449,144172,3,2,2500,0.19974380731582642
active_head_ft,oracle_collapse_random,50,stable,25,2,500,50,21,0.5777979472940814,0.4997290939874052,0.6004537802825148,0.11573851286802167,27326,0.9549496434813972,0.5751281142403372,144172,5,3,600,0.1692679226398468
active_head_ft,oracle_collapse_random,100,stable,25,2,500,100,46,0.5509991089977623,0.48465932079741386,0.666727658640123,0.11694503087070844,27326,0.952071137252726,0.5864814392830746,144172,3,1,700,0.1652890145778656
active_head_ft,oracle_collapse_random,200,stable,25,2,500,200,89,0.5204412841616984,0.45710696469217843,0.7383444338725024,0.11393421226438184,27326,0.9522098604444691,0.5711998862673561,144172,2,1,900,0.16524051129817963
active_head_ft,oracle_collapse_random,500,stable,25,2,500,500,197,0.44277747842588094,0.39572306929302525,0.8867745004757374,0.10301735237156524,27326,0.9512387981022667,0.5691685954155854,144172,1,1,1500,0.16501840949058533
active_head_ft,oracle_collapse_random,1000,stable,25,2,500,1000,362,0.387681195016131,0.3504402531819341,0.9256385859620874,0.10541194285143267,27326,0.9438448519823545,0.5637934414260845,144172,0,0,2500,0.16519734263420105
