group,n_classes,support,macro_f1,macro_recall,collapsed_count,severe_count,method,period
final_collapsed,13,23893,0.46510937602942437,0.4478499314355548,5,3,cotta,M-2022-7
abrupt_collapsed,8,19161,0.4955854189072163,0.47813098790181,3,2,cotta,M-2022-7
gradual_collapsed,5,4732,0.4163477074249574,0.3994002410895464,2,1,cotta,M-2022-7
absorber,10,154739,0.6670600981017017,0.730057499148854,0,0,cotta,M-2022-7
degraded_noncollapsed,39,222215,0.6224074435374723,0.6228136866772823,1,0,cotta,M-2022-7
stable,20,155230,0.8837747048577324,0.8977885639883485,0,0,cotta,M-2022-8
final_collapsed,13,28206,0.3346137647634973,0.3353564149109127,6,5,cotta,M-2022-8
abrupt_collapsed,8,23137,0.4044788148160993,0.41054110394270954,4,3,cotta,M-2022-8
gradual_collapsed,5,5069,0.22282968467933406,0.21506091246003772,2,2,cotta,M-2022-8
absorber,10,162470,0.6458012873370447,0.7064404200068444,0,0,cotta,M-2022-8
degraded_noncollapsed,39,247371,0.5776896211027875,0.5746491600455764,1,0,cotta,M-2022-8
stable,20,181432,0.8989321395819424,0.8991505263939095,0,0,cotta,M-2022-9
final_collapsed,13,27004,0.26017360811087653,0.2533978674831761,8,4,cotta,M-2022-9
abrupt_collapsed,8,21820,0.3115709342326967,0.2972074912358439,4,3,cotta,M-2022-9
gradual_collapsed,5,5184,0.17793788631596413,0.18330246947890766,4,1,cotta,M-2022-9
absorber,10,187689,0.6188908574899725,0.6463222767222856,0,0,cotta,M-2022-9
degraded_noncollapsed,39,289979,0.5451474204055059,0.5159880561844487,1,0,cotta,M-2022-9
stable,20,204902,0.9089704888295046,0.9088064921628783,0,0,cotta,M-2022-10
final_collapsed,13,31348,0.23808338417453329,0.22061588111986621,8,6,cotta,M-2022-10
abrupt_collapsed,8,25168,0.31122520458202974,0.30034102750114317,4,4,cotta,M-2022-10
gradual_collapsed,5,6180,0.1210564715225391,0.09305564690982303,4,2,cotta,M-2022-10
absorber,10,187479,0.5996568861880316,0.6433188970913005,0,0,cotta,M-2022-10
degraded_noncollapsed,39,316730,0.5397836420640824,0.48594149868689046,0,0,cotta,M-2022-10
stable,20,217551,0.888052909386513,0.8958199716874213,0,0,cotta,M-2022-11
final_collapsed,13,37343,0.13604902693543489,0.12903444848144358,10,6,cotta,M-2022-11
abrupt_collapsed,8,30158,0.19250457771921486,0.1882775720019215,5,5,cotta,M-2022-11
gradual_collapsed,5,7185,0.04572014568138691,0.03424545084867895,5,1,cotta,M-2022-11
absorber,10,195984,0.574323860800986,0.6148586648704849,0,0,cotta,M-2022-11
degraded_noncollapsed,39,336377,0.4968868234270001,0.4278610394253927,0,0,cotta,M-2022-11
stable,20,144172,0.9033234727746073,0.9018717110160391,0,0,cotta,M-2022-12
final_collapsed,13,27342,0.025075694594658034,0.015466092761048945,13,9,cotta,M-2022-12
abrupt_collapsed,8,22219,0.015112658720302475,0.009668792797106175,8,6,cotta,M-2022-12
gradual_collapsed,5,5123,0.04101655199362694,0.024741772703357378,5,3,cotta,M-2022-12
absorber,10,119068,0.5482816087791619,0.6258594445560376,0,0,cotta,M-2022-12
degraded_noncollapsed,39,211647,0.4605257243807196,0.399010258913707,0,0,cotta,M-2022-12
stable,20,219170,0.9091845596484152,0.8952433373717013,0,0,sar,M-2022-4
final_collapsed,13,44527,0.8582904890069195,0.8338514777654028,0,0,sar,M-2022-4
abrupt_collapsed,8,29606,0.9024663562004567,0.8902095019690058,0,0,sar,M-2022-4
gradual_collapsed,5,14921,0.7876091014972604,0.7436786390396382,0,0,sar,M-2022-4
absorber,10,276479,0.8109217409582034,0.8134815561033857,0,0,sar,M-2022-4
degraded_noncollapsed,39,376856,0.8514410630794862,0.8419336040433941,0,0,sar,M-2022-4
stable,20,227387,0.8831465568252848,0.8845464597759569,0,0,sar,M-2022-5
final_collapsed,13,45503,0.7107832252439361,0.6890192103350976,2,0,sar,M-2022-5
abrupt_collapsed,8,31359,0.7675123939523381,0.7523473250816012,1,0,sar,M-2022-5
gradual_collapsed,5,14144,0.6200165553104932,0.5876942267406915,1,0,sar,M-2022-5
absorber,10,304080,0.7949908887907462,0.8083606611232721,0,0,sar,M-2022-5
degraded_noncollapsed,39,402123,0.8179978894732545,0.7969181927619616,0,0,sar,M-2022-5
stable,20,204681,0.8817808160609649,0.8916764746482404,0,0,sar,M-2022-6
final_collapsed,13,37140,0.6558612097911038,0.6142569374653208,2,1,sar,M-2022-6
abrupt_collapsed,8,26322,0.673177923524396,0.6378898053963504,1,1,sar,M-2022-6
gradual_collapsed,5,10818,0.6281544678178362,0.5764443487756737,1,0,sar,M-2022-6
absorber,10,251157,0.729972779127062,0.7793589818572187,0,0,sar,M-2022-6
degraded_noncollapsed,39,328956,0.7166232190772122,0.7058603260391683,0,0,sar,M-2022-6
stable,20,146256,0.8343428482934524,0.857956404052322,0,0,sar,M-2022-7
final_collapsed,13,23893,0.4654242830363201,0.4475674233724135,5,3,sar,M-2022-7
abrupt_collapsed,8,19161,0.49620413933467644,0.47834579496299207,3,2,sar,M-2022-7
gradual_collapsed,5,4732,0.4161765129589498,0.3983220288274877,2,1,sar,M-2022-7
absorber,10,154739,0.6633194446017233,0.7320230640187934,0,0,sar,M-2022-7
degraded_noncollapsed,39,222215,0.6220666671542526,0.6210621723003131,1,0,sar,M-2022-7
stable,20,155230,0.8846939392191665,0.8967556454350868,0,0,sar,M-2022-8
final_collapsed,13,28206,0.33237935604843677,0.3321558897860174,6,5,sar,M-2022-8
abrupt_collapsed,8,23137,0.40228771737720087,0.4067144075078601,4,3,sar,M-2022-8
gradual_collapsed,5,5069,0.22052597792241418,0.21286226143106896,2,2,sar,M-2022-8
absorber,10,162470,0.6433171712303507,0.70652084370908,0,0,sar,M-2022-8
degraded_noncollapsed,39,247371,0.5770442065908534,0.5711654386708788,1,0,sar,M-2022-8
stable,20,181432,0.9005023969079348,0.8989265178200654,0,0,sar,M-2022-9
final_collapsed,13,27004,0.25331842042803765,0.24641733063330135,8,4,sar,M-2022-9
abrupt_collapsed,8,21820,0.2987651469977255,0.2864428354662977,4,3,sar,M-2022-9
gradual_collapsed,5,5184,0.1806036579165371,0.18237652290050735,4,1,sar,M-2022-9
absorber,10,187689,0.6173461215115287,0.6470883902604009,0,0,sar,M-2022-9
degraded_noncollapsed,39,289979,0.5450357120699163,0.5147921195074139,1,0,sar,M-2022-9
stable,20,204902,0.9094981250110379,0.9108880782702056,0,0,sar,M-2022-10
final_collapsed,13,31348,0.2337441784619987,0.21417569293286662,8,7,sar,M-2022-10
abrupt_collapsed,8,25168,0.3033413342532704,0.29100869681840824,4,4,sar,M-2022-10
gradual_collapsed,5,6180,0.12238872919596391,0.09124288671599996,4,3,sar,M-2022-10
absorber,10,187479,0.5987288123551674,0.6444732641221643,0,0,sar,M-2022-10
degraded_noncollapsed,39,316730,0.5347239138199106,0.48118079243362244,0,0,sar,M-2022-10
stable,20,217551,0.8875670449445335,0.8962119047061528,0,0,sar,M-2022-11
final_collapsed,13,37343,0.13202572062913195,0.12410970698985292,10,7,sar,M-2022-11
abrupt_collapsed,8,30158,0.1871935901786432,0.1813552009488402,5,5,sar,M-2022-11
gradual_collapsed,5,7185,0.04375712934991396,0.03251691665547325,5,2,sar,M-2022-11
absorber,10,195984,0.5726491243685791,0.6140066160675226,0,0,sar,M-2022-11
degraded_noncollapsed,39,336377,0.4921965955342372,0.4225078640924545,0,0,sar,M-2022-11
stable,20,144172,0.9013109325983875,0.9008337794527781,0,0,sar,M-2022-12
final_collapsed,13,27342,0.022786915062267356,0.013784832271322255,13,9,sar,M-2022-12
abrupt_collapsed,8,22219,0.013956087617684812,0.008645544330623093,8,6,sar,M-2022-12
gradual_collapsed,5,5123,0.03691623897359942,0.022007692976440913,5,3,sar,M-2022-12
absorber,10,119068,0.5468295783136703,0.6249617915458889,0,0,sar,M-2022-12
degraded_noncollapsed,39,211647,0.46034915038704,0.39475592592507275,0,0,sar,M-2022-12
stable,20,219170,0.9044780533950189,0.8954559727436558,0,0,tta_tc,M-2022-4
final_collapsed,13,44527,0.8539577617897074,0.8379103725739561,0,0,tta_tc,M-2022-4
abrupt_collapsed,8,29606,0.9013049835504012,0.8934192558169629,0,0,tta_tc,M-2022-4
gradual_collapsed,5,14921,0.778202206972597,0.7490961593851457,0,0,tta_tc,M-2022-4
absorber,10,276479,0.8024221355268149,0.7976127603218455,0,0,tta_tc,M-2022-4
degraded_noncollapsed,39,376856,0.8461063711068851,0.8442630568381768,0,0,tta_tc,M-2022-4
stable,20,227387,0.8782861032929186,0.8843500654630521,0,0,tta_tc,M-2022-5
final_collapsed,13,45503,0.7273125013919896,0.7058363003130693,1,0,tta_tc,M-2022-5
