baseline_method,method,period,group,delta_macro_f1,delta_macro_recall,delta_collapsed_count,delta_severe_count
static,sar,M-2022-12,stable,-0.0014597043591788594,0.00016446871701825128,0,0
static,sar,M-2022-12,final_collapsed,-0.002668377667893903,-0.001917831180574316,0,0
static,sar,M-2022-12,abrupt_collapsed,-0.0019030841405370744,-0.001513084188481513,0,0
static,sar,M-2022-12,gradual_collapsed,-0.0038928473116648307,-0.0025654263679228025,0,0
static,sar,M-2022-12,absorber,-0.000799762031293505,0.00026452760857331725,0,0
static,sar,M-2022-12,degraded_noncollapsed,0.002392849563430721,-0.0021273419025702456,0,0
static,tta_tc,M-2022-4,stable,-0.005041365688897348,0.0007881584193204505,0,0
static,tta_tc,M-2022-4,final_collapsed,-0.0035562119735580433,0.0031642345541970096,0,0
static,tta_tc,M-2022-4,abrupt_collapsed,-0.001453599536178407,0.0026055478495623507,0,0
static,tta_tc,M-2022-4,gradual_collapsed,-0.006920391873365905,0.0040581332816128635,0,0
static,tta_tc,M-2022-4,absorber,-0.009208726283581603,-0.0155111973367561,0,0
static,tta_tc,M-2022-4,degraded_noncollapsed,-0.005509253334387787,0.0018064110429151237,0,0
static,tta_tc,M-2022-5,stable,-0.0060006520794059215,-0.00035160977828674334,0,0
static,tta_tc,M-2022-5,final_collapsed,0.015593730806079176,0.013869017804385653,-1,0
static,tta_tc,M-2022-5,abrupt_collapsed,0.025663675114717677,0.020970479202398695,-1,0
static,tta_tc,M-2022-5,gradual_collapsed,-0.0005181800877420706,0.0025066795675648956,0,0
static,tta_tc,M-2022-5,absorber,0.0014280492495504227,-0.0060791869179253055,0,0
static,tta_tc,M-2022-5,degraded_noncollapsed,-0.004975018139051213,0.005668638631424305,0,0
static,tta_tc,M-2022-6,stable,-0.0034224252880562522,-0.0024227148547240063,0,0
static,tta_tc,M-2022-6,final_collapsed,0.02595214189109807,0.0392906804178349,0,-1
static,tta_tc,M-2022-6,abrupt_collapsed,0.04837877148319836,0.06100845919811049,0,-1
static,tta_tc,M-2022-6,gradual_collapsed,-0.00993046545626286,0.004542234369394271,0,0
static,tta_tc,M-2022-6,absorber,0.005297177433657874,-6.763204944504331e-05,0,0
static,tta_tc,M-2022-6,degraded_noncollapsed,-0.00138141810241732,0.0034637130966421736,0,0
static,tta_tc,M-2022-7,stable,0.002362134776989877,0.008044637244106867,0,0
static,tta_tc,M-2022-7,final_collapsed,0.04829187491253145,0.03743505982996076,-1,-1
static,tta_tc,M-2022-7,abrupt_collapsed,0.08019046085461068,0.0615026524663706,-1,-1
static,tta_tc,M-2022-7,gradual_collapsed,-0.0027458625947951454,-0.0010730883882951736,0,0
static,tta_tc,M-2022-7,absorber,0.0027398067511051893,-0.004965183794663597,0,0
static,tta_tc,M-2022-7,degraded_noncollapsed,0.03190213755519822,0.03048939320605093,-1,0
static,tta_tc,M-2022-8,stable,-0.003014771070810718,0.0012935286460736828,0,0
static,tta_tc,M-2022-8,final_collapsed,0.04318943661608021,0.03292383672960619,-1,-2
static,tta_tc,M-2022-8,abrupt_collapsed,0.07121744417436493,0.05220173806314826,-1,-1
static,tta_tc,M-2022-8,gradual_collapsed,-0.0016553754771754525,0.0020791945959389158,0,-1
static,tta_tc,M-2022-8,absorber,0.013872722636073531,0.002463431697487639,0,0
static,tta_tc,M-2022-8,degraded_noncollapsed,0.049974324718543905,0.04881775760280427,-1,0
static,tta_tc,M-2022-9,stable,-0.007166578491279996,-0.003776668231114555,0,0
static,tta_tc,M-2022-9,final_collapsed,0.03353104184349137,0.02986240841793203,-1,-1
static,tta_tc,M-2022-9,abrupt_collapsed,0.05765388690054901,0.047451925843285225,-1,-1
static,tta_tc,M-2022-9,gradual_collapsed,-0.0050655102478007474,0.0017191805373670266,0,0
static,tta_tc,M-2022-9,absorber,0.013148987037975957,0.013654549271903016,0,0
static,tta_tc,M-2022-9,degraded_noncollapsed,0.054305305748918564,0.049602431743910436,-1,0
static,tta_tc,M-2022-10,stable,-0.005515123890309281,0.0005322369465723398,0,0
static,tta_tc,M-2022-10,final_collapsed,0.003435884121339189,0.004734275170110047,0,-1
static,tta_tc,M-2022-10,abrupt_collapsed,0.005934143574798545,0.005137208113930203,0,-1
static,tta_tc,M-2022-10,gradual_collapsed,-0.0005613310041957115,0.004089582459997937,0,0
static,tta_tc,M-2022-10,absorber,-0.005393902861146049,-0.014152720450992695,0,0
static,tta_tc,M-2022-10,degraded_noncollapsed,0.020304859409574605,0.027679447874561502,0,0
static,tta_tc,M-2022-11,stable,-0.006297570544558595,0.003731997283630384,0,0
static,tta_tc,M-2022-11,final_collapsed,0.03358582778450947,0.019400424708447356,-1,-2
static,tta_tc,M-2022-11,abrupt_collapsed,0.044015667631333494,0.02243472376605779,0,-2
static,tta_tc,M-2022-11,gradual_collapsed,0.016898084029590928,0.014545546216270664,-1,0
static,tta_tc,M-2022-11,absorber,0.011013901517598956,0.011968340749482165,0,0
static,tta_tc,M-2022-11,degraded_noncollapsed,0.02669707543387001,0.035697632341293584,0,0
static,tta_tc,M-2022-12,stable,-0.004408166605110453,0.0033207904209522354,0,0
static,tta_tc,M-2022-12,final_collapsed,0.031043686961560648,0.018569994645553516,-2,-3
static,tta_tc,M-2022-12,abrupt_collapsed,0.04002591945325313,0.0231470958280966,-1,-2
static,tta_tc,M-2022-12,gradual_collapsed,0.01667211497485268,0.011246632753484587,-1,-1
static,tta_tc,M-2022-12,absorber,0.0026452659574059956,1.575806392839496e-05,0,0
static,tta_tc,M-2022-12,degraded_noncollapsed,0.017221418778848696,0.0344935993613229,0,0
