period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
W-2022-46,21,92,100,0.03749531308586427,193
W-2022-46,90,78,142,0.03747690683557667,194
W-2022-46,11,17,428,0.036782399449982815,195
W-2022-46,52,60,903,0.036719258295380613,196
W-2022-46,0,78,38,0.036608863198458574,197
W-2022-46,52,43,892,0.03627195836044242,198
W-2022-46,85,92,135,0.03614457831325301,199
W-2022-46,37,20,127,0.035865574696413445,200
W-2022-46,16,14,36,0.03560830860534125,201
W-2022-46,41,57,12912,0.035561920762355925,202
W-2022-46,85,4,132,0.035341365461847386,203
W-2022-46,60,55,1966,0.0352816610735244,204
W-2022-46,21,14,94,0.03524559430071241,205
W-2022-46,59,44,12052,0.03501483162258823,206
W-2022-46,78,68,452,0.034694504144918634,207
W-2022-46,81,91,64,0.034408602150537634,208
W-2022-46,94,85,90,0.03439052350019106,209
W-2022-46,62,44,13044,0.03432243193533363,210
W-2022-46,20,11,121,0.03413258110014104,211
W-2022-46,77,67,127,0.034020894722743104,212
W-2022-46,60,44,1890,0.03391777183568724,213
W-2022-46,90,72,128,0.03378200052784376,214
W-2022-46,69,77,20,0.03361344537815126,215
W-2022-46,71,38,4,0.03361344537815126,216
W-2022-46,71,88,4,0.03361344537815126,217
W-2022-46,71,91,4,0.03361344537815126,218
W-2022-46,41,61,12113,0.033361334122863795,219
W-2022-46,25,8,148,0.0333033303330333,220
W-2022-46,94,11,87,0.03324417271685136,221
W-2022-46,94,13,87,0.03324417271685136,222
W-2022-46,70,17,187,0.033068081343943415,223
W-2022-46,47,42,1206,0.03283419548053362,224
W-2022-46,62,55,12462,0.03279102627860531,225
W-2022-46,55,101,10041,0.03267810069320142,226
W-2022-46,29,26,5721,0.032373795390369914,227
W-2022-46,11,4,374,0.03214162942591956,228
W-2022-46,37,65,113,0.03191188929680881,229
W-2022-46,39,14,351,0.031891695438851536,230
W-2022-46,83,11,19,0.03150912106135987,231
W-2022-46,41,101,11387,0.03136180233278709,232
W-2022-46,58,42,197,0.03131457637895406,233
W-2022-46,51,54,82,0.03125,234
W-2022-46,9,50,51,0.03125,235
W-2022-46,11,36,362,0.031110347198349948,236
W-2022-46,18,91,247,0.030921382073109665,237
W-2022-46,74,72,58,0.03083466241360978,238
W-2022-46,21,74,82,0.0307461567304087,239
W-2022-46,16,85,31,0.03066271018793274,240
W-2022-46,75,76,1902,0.030357199859546078,241
W-2022-46,56,50,430,0.030107828035289174,242
W-2022-46,0,68,31,0.029865125240847785,243
W-2022-46,51,55,78,0.02972560975609756,244
W-2022-46,3,4,345,0.02969530039593734,245
W-2022-46,94,14,76,0.02904088651127245,246
W-2022-46,77,88,108,0.028931154567372087,247
W-2022-46,96,93,7,0.028925619834710745,248
W-2022-46,0,11,30,0.028901734104046242,249
W-2022-46,74,94,54,0.028708133971291867,250
W-2022-46,2,11,11,0.028645833333333332,251
W-2022-46,25,20,127,0.02857785778577858,252
W-2022-46,41,52,10334,0.02846165498437005,253
W-2022-46,58,62,178,0.028294388809410268,254
W-2022-46,94,74,74,0.028276652655712647,255
W-2022-46,11,70,329,0.028274321072533515,256
W-2022-46,83,78,17,0.028192371475953566,257
W-2022-46,74,88,53,0.028176501860712386,258
W-2022-46,74,92,53,0.028176501860712386,259
W-2022-46,8,11,76,0.028054632705795498,260
W-2022-46,10,88,98,0.027984009137635636,261
W-2022-46,7,89,27,0.027950310559006212,262
W-2022-46,64,94,141,0.027893175074183978,263
W-2022-46,61,50,3985,0.027737561600356377,264
W-2022-46,56,43,396,0.027727209074359334,265
W-2022-46,78,14,361,0.027709548664415107,266
W-2022-46,37,11,98,0.02767579779723242,267
W-2022-46,90,21,104,0.027447875428873055,268
W-2022-46,64,17,138,0.027299703264094956,269
W-2022-46,51,59,71,0.027057926829268292,270
W-2022-46,101,50,7067,0.026993476035507478,271
W-2022-46,0,70,28,0.02697495183044316,272
W-2022-46,60,61,1466,0.026308705561437825,273
W-2022-46,41,49,9505,0.026178443064296238,274
W-2022-46,49,101,5681,0.025818267753751626,275
W-2022-46,34,18,14,0.025688073394495414,276
W-2022-46,85,35,95,0.025435073627844713,277
W-2022-46,65,36,215,0.025410707954142537,278
W-2022-46,24,14,38,0.02526595744680851,279
W-2022-46,71,80,3,0.025210084033613446,280
W-2022-46,95,69,12,0.02510460251046025,281
W-2022-46,0,4,26,0.025048169556840076,282
W-2022-46,73,36,106,0.024970553592461718,283
W-2022-46,60,42,1389,0.024926870412576494,284
W-2022-46,50,49,7210,0.024919986451269503,285
W-2022-46,62,42,9426,0.02480245656412564,286
W-2022-46,80,67,20,0.024600246002460024,287
W-2022-46,38,79,89,0.024417009602194787,288
W-2022-46,12,43,308,0.02429213660383311,289
W-2022-46,62,59,9212,0.024239362387940312,290
W-2022-46,94,17,63,0.02407336645013374,291
W-2022-46,52,44,592,0.024072869225764477,292
W-2022-46,51,48,63,0.024009146341463415,293
W-2022-46,23,89,10,0.023752969121140142,294
W-2022-46,77,18,88,0.02357353335119207,295
W-2022-46,66,28,5570,0.02352633090608052,296
W-2022-46,72,11,100,0.023523876734885908,297
W-2022-46,35,72,78,0.023346303501945526,298
W-2022-46,90,0,88,0.023225125362892583,299
W-2022-46,70,92,131,0.023165340406719716,300
W-2022-46,20,36,82,0.0231311706629055,301
W-2022-46,0,90,24,0.023121387283236993,302
W-2022-46,58,44,145,0.023048799872834206,303
W-2022-46,47,45,844,0.022978491696161178,304
W-2022-46,21,68,61,0.022872140982377203,305
W-2022-46,21,85,61,0.022872140982377203,306
W-2022-46,74,85,43,0.022860180754917598,307
W-2022-46,57,41,3797,0.022621253373527713,308
W-2022-46,101,57,5902,0.022543582221814792,309
W-2022-46,97,98,191,0.022404692082111436,310
W-2022-46,70,65,126,0.022281167108753316,311
W-2022-46,72,90,93,0.021877205363443897,312
W-2022-46,69,98,13,0.021848739495798318,313
W-2022-46,74,64,41,0.021796916533758637,314
W-2022-46,72,4,92,0.021641966596095037,315
W-2022-46,83,17,13,0.02155887230514096,316
W-2022-46,9,62,35,0.02144607843137255,317
W-2022-46,94,72,56,0.021398547955674436,318
W-2022-46,23,18,9,0.021377672209026127,319
W-2022-46,92,78,172,0.021366459627329193,320
W-2022-46,32,28,3100,0.02129106256138351,321
W-2022-46,100,4,242,0.02125230526038465,322
W-2022-46,0,13,22,0.02119460500963391,323
W-2022-46,25,36,93,0.020927092709270928,324
W-2022-46,95,97,10,0.02092050209205021,325
W-2022-46,41,60,7592,0.02090970433920432,326
W-2022-46,38,98,76,0.020850480109739368,327
W-2022-46,74,4,39,0.02073365231259968,328
W-2022-46,74,16,39,0.02073365231259968,329
W-2022-46,96,67,5,0.02066115702479339,330
W-2022-46,52,101,505,0.020535133376707874,331
W-2022-46,19,55,3033,0.02020760600165232,332
W-2022-46,64,14,102,0.020178041543026708,333
W-2022-46,92,14,162,0.020124223602484472,334
W-2022-46,99,32,312,0.01997311311695794,335
W-2022-46,88,98,362,0.019885739397934518,336
W-2022-46,72,74,84,0.019760056457304165,337
W-2022-46,58,48,124,0.019710697822285805,338
W-2022-46,74,21,37,0.019670388091440724,339
W-2022-46,78,17,256,0.019649984648449494,340
W-2022-46,90,68,74,0.019530219055159673,341
W-2022-46,90,94,74,0.019530219055159673,342
W-2022-46,11,68,227,0.01950842213819182,343
W-2022-46,65,11,165,0.019501240988062878,344
W-2022-46,47,61,713,0.01941192485706507,345
W-2022-46,1,20,19,0.019308943089430895,346
W-2022-46,8,73,52,0.019195275009228498,347
W-2022-46,35,78,64,0.019155941334929663,348
W-2022-46,100,14,218,0.01914463862299113,349
W-2022-46,70,21,108,0.01909814323607427,350
W-2022-46,72,17,81,0.019054340155257588,351
W-2022-46,9,59,31,0.018995098039215685,352
W-2022-46,84,38,17,0.018973214285714284,353
W-2022-46,70,74,107,0.01892130857648099,354
W-2022-46,37,14,67,0.01892120869810788,355
W-2022-46,73,14,80,0.01884570082449941,356
W-2022-46,68,82,745,0.01884358559287738,357
W-2022-46,95,34,9,0.01882845188284519,358
W-2022-46,11,20,219,0.01882090065314541,359
W-2022-46,4,13,280,0.018819733835192903,360
W-2022-46,54,42,289,0.018800416341399947,361
W-2022-46,64,4,95,0.018793273986152326,362
W-2022-46,16,64,19,0.018793273986152326,363
W-2022-46,59,43,6450,0.01873926850030651,364
W-2022-46,42,62,2005,0.018717850574605337,365
W-2022-46,4,11,277,0.018618093829815836,366
W-2022-46,92,17,149,0.018509316770186336,367
W-2022-46,49,43,4021,0.018274116289004626,368
W-2022-46,52,50,449,0.01825797007156799,369
W-2022-46,90,14,69,0.018210609659540775,370
W-2022-46,64,68,92,0.018199802176063304,371
W-2022-46,53,101,326,0.01816358368620459,372
W-2022-46,8,37,49,0.01808785529715762,373
W-2022-46,57,61,2994,0.017837248512073207,374
W-2022-46,39,94,196,0.01780846810830456,375
W-2022-46,101,59,4659,0.01779575560342852,376
W-2022-46,81,98,33,0.017741935483870968,377
W-2022-46,3,17,206,0.017731106903081426,378
W-2022-46,78,82,231,0.017731040835124348,379
W-2022-46,58,49,111,0.01764425369575584,380
W-2022-46,21,72,47,0.017622797150356206,381
W-2022-46,37,73,62,0.01750917819824908,382
W-2022-46,58,57,110,0.017485296455253537,383
W-2022-46,21,13,46,0.01724784401949756,384
W-2022-46,88,91,313,0.017194023291584266,385
W-2022-46,73,65,72,0.01696113074204947,386
W-2022-46,39,36,186,0.01689987279665637,387
W-2022-46,85,78,63,0.016867469879518072,388
W-2022-46,71,69,2,0.01680672268907563,389
W-2022-46,71,79,2,0.01680672268907563,390
W-2022-46,35,82,56,0.016761448668063453,391
W-2022-46,46,89,52,0.016709511568123392,392
W-2022-46,48,49,308,0.016704631738800303,393
W-2022-46,23,10,7,0.0166270783847981,394
W-2022-46,70,4,94,0.016622458001768346,395
W-2022-46,85,100,62,0.016599732262382864,396
W-2022-46,83,39,10,0.01658374792703151,397
W-2022-46,62,57,6299,0.01657444026070734,398
W-2022-46,9,19,27,0.016544117647058824,399
W-2022-46,21,78,44,0.016497937757780277,400
W-2022-46,48,62,304,0.016487688469465234,401
W-2022-46,35,11,55,0.01646213708470518,402
W-2022-46,11,65,191,0.016414575455482985,403
W-2022-46,0,64,17,0.016377649325626204,404
W-2022-46,0,82,17,0.016377649325626204,405
W-2022-46,0,94,17,0.016377649325626204,406
W-2022-46,20,73,58,0.016361071932299014,407
W-2022-46,25,11,72,0.016201620162016202,408
W-2022-46,21,64,43,0.016122984626921636,409
W-2022-46,64,85,81,0.016023738872403562,410
W-2022-46,51,57,42,0.01600609756097561,411
W-2022-46,6,67,6,0.0158311345646438,412
W-2022-46,6,84,6,0.0158311345646438,413
W-2022-46,82,13,258,0.015756687431293513,414
W-2022-46,21,88,42,0.015748031496062992,415
W-2022-46,58,54,99,0.015736766809728183,416
W-2022-46,60,43,874,0.015684726235127327,417
W-2022-46,10,98,54,0.015419760137064534,418
W-2022-46,48,51,284,0.01540297212278989,419
W-2022-46,11,73,179,0.015383293227913371,420
W-2022-46,61,41,2208,0.015368766879193696,421
W-2022-46,42,59,1643,0.01533836832622273,422
W-2022-46,51,43,40,0.01524390243902439,423
W-2022-46,51,62,40,0.01524390243902439,424
W-2022-46,100,17,173,0.015192763677878283,425
W-2022-46,30,66,400,0.01513317191283293,426
W-2022-46,73,20,64,0.015076560659599529,427
W-2022-46,11,13,175,0.015039532485390169,428
W-2022-46,86,97,18,0.015037593984962405,429
W-2022-46,86,98,18,0.015037593984962405,430
W-2022-46,13,82,714,0.015034111008169797,431
W-2022-46,87,22,27,0.015025041736227046,432
