period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref
W-2022-46,79,41162,0.9231368728689723,0.9208493270492202,0.9219916810585974,0.0031955518147069872,0.005281785985233878,0.0010893047675814005
W-2022-46,80,813,0.44874715261959,0.24231242312423124,0.3146964856230032,0.00037287819594744587,0.006959890850149808,-0.0243067395959789
W-2022-46,81,1860,0.918918918918919,0.8591397849462366,0.8880244512364546,0.0036642616629948277,-0.007155479677718901,0.015724340022500782
W-2022-46,82,16374,0.8138105975197294,0.8817026994014902,0.846397373512341,0.009773641939055722,-0.00272589837314563,0.02008887182183683
W-2022-46,83,603,0.7802385008517888,0.7595356550580431,0.7697478991596639,-0.04672104710690972,-0.05636392653191502,-0.03680060529346263
W-2022-46,84,896,0.7689530685920578,0.7131696428571429,0.740011580775912,-0.05842286149414666,-0.05317145406246637,-0.06438026474127556
W-2022-46,85,3735,0.36657792340774115,0.47925033467202144,0.41540960779763286,0.09378798617601125,0.1853324587844018,0.011486539595730705
W-2022-46,86,1197,0.9249352890422778,0.8955722639933166,0.9100169779286927,0.0032344854462336148,0.003396064124808973,0.0030602890422778417
W-2022-46,87,1797,0.9633129516397999,0.9643850862548692,0.9638487208008899,0.00014824372144583986,-0.00031591042287171245,0.0006109209725806419
W-2022-46,88,18204,0.8618829580380104,0.754834102395078,0.8048144785779131,-0.012538396785702899,-0.02533462891632743,0.003624029466581802
W-2022-46,89,149723,0.972397760825128,0.9722353946955378,0.9723165709819952,-0.00031761097011295814,-0.009596064984023212,0.008790145269099381
W-2022-46,90,3789,0.255210173083716,0.3813671153338612,0.30578774732832503,-0.19900930064215472,-0.11985418412876708,-0.25321400927505505
W-2022-46,91,224168,0.9626429211233468,0.9780164876342743,0.9702688110179768,0.004497892279774818,0.0017983386580968652,0.007097993240560374
W-2022-46,92,8050,0.8274784348043506,0.8222360248447205,0.8248489002430058,0.013695541561130065,0.026957988187373494,-0.00019696125125889807
W-2022-46,93,14220,0.9606486335360314,0.9665260196905766,0.9635783643565745,0.012209341062745294,0.011174739322881266,0.013228806090157974
W-2022-46,94,2617,0.5162991371045063,0.411539931218953,0.4580055283861365,-0.01863575582872251,-0.019744984982164315,-0.016359556547747678
W-2022-46,95,478,0.6555555555555556,0.3702928870292887,0.4732620320855615,-0.12794037272405778,-0.15602290244439548,-0.045379023883696745
W-2022-46,96,242,0.7455621301775148,0.5206611570247934,0.6131386861313869,-0.006108175793299253,-0.025464304229819157,0.03058628476688685
W-2022-46,97,8525,0.9094012925253018,0.8748387096774194,0.891785244529475,0.0016467993750554077,0.009078020250836705,-0.006527523114217781
W-2022-46,98,12516,0.7431883629919516,0.8041706615532119,0.7724778387505277,0.01569966101531417,-0.0020494341405680183,0.030138390996183317
W-2022-46,99,15621,0.9139093617688568,0.7461750208053262,0.821568281938326,0.016764051156841986,0.01664978111490223,0.01650261221290661
W-2022-46,100,11387,0.9156615063158895,0.8466672521296215,0.8798138346413579,0.013717250191750852,0.002802871470788837,0.02612957414003403
W-2022-46,101,261804,0.5051466604751954,0.6482024720783487,0.5678025930572982,-0.16781347018261739,-0.1215624382127769,-0.19922172202463806
W-2022-47,0,1156,0.6472819216182049,0.4429065743944637,0.5259373394966615,0.024995719910974157,0.02695661348750511,0.017696122801636793
W-2022-47,1,1106,0.720666161998486,0.8607594936708861,0.784507622579316,0.042700274019236595,0.17919015060519272,-0.09305932819759244
W-2022-47,2,529,0.7443609022556391,0.3742911153119093,0.4981132075471698,-0.02051143428664104,-0.019187145557655938,-0.01614329942503312
W-2022-47,3,15255,0.8850030440370696,0.8576204523107178,0.8710966109594513,-0.006731104396353937,-0.010968341048309793,-0.0022622497242871242
W-2022-47,4,17550,0.7746546546546547,0.734928774928775,0.7542690058479532,0.004724711279961991,-0.0005987390558744865,0.0105489718382481
W-2022-47,5,78062,0.9990395574280628,0.999385104147985,0.999212300913859,-4.812897100159308e-05,-0.00014767163111140125,5.1325063951002114e-05
W-2022-47,6,405,0.8389057750759878,0.6814814814814815,0.7520435967302452,0.001633087699046576,0.00142195767195763,0.001909438079650827
W-2022-47,7,931,0.8474178403755869,0.7755102040816326,0.8098710039259674,-0.0380199206586086,-0.019218230423159732,-0.06125795871117112
W-2022-47,8,3183,0.8353520060560181,0.6933710336160854,0.7577682403433477,-0.07755310557084139,-0.10431682765559092,-0.04132960829375765
W-2022-47,9,2401,0.35309060118543606,0.17367763431903374,0.23283082077051925,-0.13577797827823224,-0.10472380259160838,-0.1922040338189615
W-2022-47,10,4607,0.90995812005584,0.8489255480790102,0.8783829309376755,0.009675213932744842,0.008827965466457588,0.010622887387274016
W-2022-47,11,14771,0.6504148615904252,0.5996885789723106,0.6240225431489961,-0.019263208407039878,-0.03033040190080949,-0.00670841565011393
W-2022-47,12,13476,0.9445010924981792,0.9623033541110122,0.9533191207821804,-0.008041716656243203,0.009013780000189375,-0.02506885005732462
W-2022-47,13,59133,0.7442295246997914,0.8751458576429405,0.8043958093698511,0.015042974718041502,0.00856670500705592,0.019465013498162098
W-2022-47,14,62313,0.9107436757086255,0.9590775600596986,0.9342859152837814,-0.010201795152703808,-0.0007301322479937866,-0.01890542950249885
W-2022-47,15,10887,0.9905330882352941,0.9898962064847984,0.9902145449533698,0.001162039908935819,0.0004614014684781731,0.0018625878490611258
W-2022-47,16,1008,0.8878923766816144,0.7857142857142857,0.8336842105263158,0.06793835417272465,-0.037326094333220206,0.17198328577252342
W-2022-47,17,164831,0.9649958725842478,0.9645333705431623,0.9647645661335688,-0.001136058887000968,0.0012870629197101469,-0.00357373870621025
W-2022-47,18,11116,0.9137582924718777,0.8549838071248651,0.8833945252590975,-0.003451807062872958,0.001130383291202408,-0.008733121247606168
W-2022-47,19,205237,0.985013278915109,0.6632234928399849,0.7927064345739694,-0.12669260982948904,-0.198581726765362,-0.00022878614788146567
W-2022-47,20,4613,0.7977011494252874,0.676999783221331,0.7324108818011257,-0.13457515428082312,-0.22405953881256724,-0.037694647078346466
W-2022-47,21,3386,0.49177330895795246,0.3972238629651506,0.43947067472635193,0.011926680847239468,0.027744889148699936,-0.01548885516695675
W-2022-47,22,10460,0.9675690919345742,0.9840344168260038,0.9757322969001802,0.001358041834625956,-0.0020934480714630554,0.004671565432807445
W-2022-47,23,448,0.45454545454545453,0.20089285714285715,0.2786377708978328,-0.09357066582673296,-0.06553698299923877,-0.16273849607182939
W-2022-47,24,1715,0.7891891891891892,0.7661807580174927,0.7775147928994083,-0.011686815371700243,-0.014501060164325397,-0.008720218476315988
