period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-7,84,1135,2397,319.87675085781103,1.3008713167524015,0.0,6.088319028847964,4.732971771386092,7.564343121921654,0.03777321386766552
M-2022-7,85,1437,2080,1803.371159199159,1.0467821583427013,214.7525801616615,27.328549857680954,25.311598184914757,15.223042736797098,0.03533222520564294
M-2022-7,86,16760,27759,3653.7492069118716,0.6659127818615408,303.2919523466599,8.392378562793395,6.010540908363026,21.238733091932083,-0.021451428866868683
M-2022-7,87,9083,11231,4943.3094815898185,0.19903246284600637,57.97370153757572,2.8160633916883833,2.4885338222327666,3.0297824897298904,0.008041226802507184
M-2022-7,88,239,204,6670.1348757076075,1.0100910657149889,3593.0603002707358,50.35368116515495,39.471881846045164,79.22142393304028,-0.05871012620490912
M-2022-7,89,552,486,5518.663893361981,1.6816738235820359,5439.363772589014,158.00375283797572,129.54026737657398,97.2660383077891,0.07200875244504856
M-2022-7,90,3605,7635,310.1895568168835,0.2793407976805846,19.49152753897264,3.3204392832409515,2.845839931315087,2.08305674128319,-0.05211295073045674
M-2022-7,91,2609,4262,958.6686438435759,0.31102432308910116,20.476581892913412,3.39342081437937,2.6155158393844307,3.217688837337757,-0.05941360491082481
M-2022-7,92,804,2288,377.1713112757848,0.5201135928747868,119.45464547889914,13.62326068406254,9.887647028890388,10.992887042382728,-0.057348897535667964
M-2022-7,93,24700,34812,3198.3774081858264,0.745354373125559,1866.600533516992,37.403338515020984,24.025116394371718,37.075748574537215,-0.015597638493501376
M-2022-7,94,123,633,10925.65094594075,1.599005895272223,1030.937194158671,167.57947397146765,156.21166671848087,44.15314098680123,-0.5695732315914871
M-2022-7,95,53160,50223,1995.5518995651885,0.24847567209163623,65.95979281838663,5.552881824381663,3.8054786944572174,4.38007248294745,0.00031235056261869065
M-2022-7,96,37892,55119,1341.2745592390525,1.3308561196844795,1651.5650094377434,48.25186945069454,26.616459130870144,41.538397434527106,-0.10048399700203903
M-2022-7,97,30023,41580,168.37071167436739,1.8073483617666408,20.130758763960046,93.11252453317064,19.53543696636349,15.216665085706104,-0.11837583502914006
M-2022-7,98,48679,63298,166.26186298190436,1.2049458692721546,179.8137746343615,24.268707140490402,16.184328481116765,14.57728706067815,0.0018266891442255684
M-2022-7,99,18048,23955,7462.420968754588,2.3583462329078904,103.79157713293316,3926207906.2517986,51.62000836158536,25.890135628970246,0.03564950307216774
M-2022-7,100,10947,30504,7725.093680843473,1.736676273069364,270.2102082025715,5783639376.674408,77.2371850192555,51.53932016863512,-0.042001265487414785
M-2022-7,101,44889,60629,283.6608093770628,0.4752158272272251,57.535316741264865,682240649.5593612,16.597994927573964,7.537276134181041,-0.7232479355596375
M-2022-7,102,41479,79891,1090.644717701391,0.8952151560460964,0.6821279289809988,4.671389072153454,3.559266630106421,7.216692787611721,-0.11076369929170582
M-2022-7,103,1231,1787,24707.0088171772,0.8804194205192571,41.737268938906276,2355821.3623966575,8.185685375771648,13.387744355013359,-0.1397250581449756
M-2022-7,104,1719,3363,7598.491595480843,4.956363236306816,2471.398418473492,81.68141482576752,59.49129672328953,90.90964259517887,-0.480537719713359
M-2022-7,105,1105,4895,6143.165899269285,1.4233962996686065,1962.4795113676805,24.17288602797727,18.110486105152987,28.744610551612688,-0.2829163642573539
M-2022-7,106,2288,3993,7748.377329798309,0.9878573561424799,0.0,6.5537445643644725,5.920695547235703,13.903585964161014,-0.017464660530820963
M-2022-7,107,2160,3873,1530.2406987836093,1.2425409530366929,0.12420675904407585,7.089138577982614,5.950155902879605,7.184759885692476,-0.017026031052169377
M-2022-7,108,7204,11663,21593.84898083855,0.5678352523865321,148.96493329965236,7.141729580114931,6.084887313532335,12.496884514759579,-0.0033688347127763807
M-2022-7,109,1236,1867,820.8417563264527,0.21546299811233421,20.474110032362404,15047249223.038258,177.35305607934797,3.4572906852535286,-0.010688011710343281
