period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref
M-2022-4,151,2021,0.8122090015519917,0.776843146956952,0.7941325240263025,0.0,0.0,0.0
M-2022-4,152,1673,0.9658744667885436,0.9473998804542738,0.9565479782739892,0.0,0.0,0.0
M-2022-4,153,70973,0.875033866160932,0.9101348400095811,0.8922392657103589,0.0,0.0,0.0
M-2022-4,154,2978,0.7642477876106195,0.7249832102081935,0.7440978804066862,0.0,0.0,0.0
M-2022-4,155,11183,0.7983856502242153,0.7960296879191631,0.7972059284466932,0.0,0.0,0.0
M-2022-4,156,32897,0.8384912959381045,0.8697145636380217,0.8538175741207717,0.0,0.0,0.0
M-2022-4,157,2075,0.7893053016453382,0.832289156626506,0.8102275392915786,0.0,0.0,0.0
M-2022-4,158,12544,0.9247363374880153,0.9226721938775511,0.9237031125299282,0.0,0.0,0.0
M-2022-4,159,3182,0.6737460460912789,0.46857322438717786,0.5527340129749768,0.0,0.0,0.0
M-2022-4,160,1553,0.7403921568627451,0.6078557630392788,0.6676096181046676,0.0,0.0,0.0
M-2022-4,161,3031,0.988399071925754,0.9838337182448037,0.9861111111111112,0.0,0.0,0.0
M-2022-4,162,486,0.6118811881188119,0.6358024691358025,0.6236125126135217,0.0,0.0,0.0
M-2022-4,163,3156,0.5962829117191534,0.3659695817490494,0.4535637149028078,0.0,0.0,0.0
M-2022-4,164,3315,0.8916116870876531,0.8561085972850678,0.8734995383194829,0.0,0.0,0.0
M-2022-4,165,5176,0.984209432786204,0.9151854714064915,0.948443287616378,0.0,0.0,0.0
M-2022-4,166,2317,0.7243567148396193,0.8869227449287872,0.7974388824214202,0.0,0.0,0.0
M-2022-4,167,668,0.9296235679214403,0.8502994011976048,0.8881939014855356,0.0,0.0,0.0
M-2022-4,168,3924,0.749385145105755,0.7765035677879715,0.7627033792240301,0.0,0.0,0.0
M-2022-4,169,2891,0.9746439736019451,0.9705984088550674,0.9726169844020798,0.0,0.0,0.0
M-2022-4,170,3774,0.908454647256439,0.859830418653948,0.883473999455486,0.0,0.0,0.0
M-2022-4,171,7082,0.8202977922300189,0.6767862185823214,0.7416634429400387,0.0,0.0,0.0
M-2022-4,172,7688,0.8578814795174334,0.8417013527575442,0.8497143982666929,0.0,0.0,0.0
M-2022-4,173,4960,0.992440151196976,0.9528225806451613,0.9722279366385518,0.0,0.0,0.0
M-2022-4,174,4246,0.9860669762894158,0.9500706547338672,0.9677341969533405,0.0,0.0,0.0
M-2022-4,175,50628,0.7627240271972157,0.8397527060124832,0.7993870394569846,0.0,0.0,0.0
M-2022-4,176,4309,0.8182906392147474,0.793223485727547,0.8055621022861184,0.0,0.0,0.0
M-2022-4,177,1540,0.9533376539209333,0.9551948051948052,0.9542653259811872,0.0,0.0,0.0
M-2022-7,0,627,0.8763358778625954,0.9154704944178629,0.8954758190327613,-0.013359098249885681,0.0024577645734498166,-0.02835928681855393
M-2022-7,1,5041,0.9311765917988872,0.8964491172386432,0.9134829189407722,-0.03843026283488504,-0.046378903517472425,-0.029998545174473756
M-2022-7,2,4913,0.6682960893854749,0.7791573376755546,0.7194812517620525,0.02900669644304965,0.11622709898374395,-0.05211090402237839
M-2022-7,3,814,0.5692857142857143,0.9791154791154791,0.7199638663053297,-0.22323213868842806,0.030590683133056018,-0.36864103928349734
M-2022-7,4,1306,0.8729050279329609,0.9571209800918836,0.9130752373995618,-0.04987792481266373,-0.016654775862090188,-0.07946346199114274
M-2022-7,5,949,0.4429637526652452,0.8756585879873551,0.5883185840707965,-0.3595218690800177,-0.08372984966195218,-0.4936034115138593
M-2022-7,6,1455,0.17620481927710843,0.3216494845360825,0.22768182923862806,-0.7485955430241455,-0.6585630475269442,-0.796168863020238
M-2022-7,7,13,0.7142857142857143,0.38461538461538464,0.5,-0.176056338028169,-0.282051282051282,0.02857142857142858
M-2022-7,8,1238,0.8773656320968963,0.9361873990306947,0.9058225869480265,0.025082580340824667,0.0893004867054088,-0.04004661841927715
M-2022-7,9,1255,0.8315363881401617,0.49163346613545816,0.6179268903355033,-0.042450468155062704,-0.11922626237132922,0.11290520943293736
M-2022-7,10,1346,0.8383620689655172,0.8670133729569094,0.8524470416362309,0.027735841234422742,0.05414208582819657,0.0014609476607262417
M-2022-7,11,1290,0.6821345707656613,0.6837209302325581,0.6829268292682927,-0.10591540228539653,-0.0966945000345042,-0.11531843105362316
M-2022-7,12,1813,0.812790097988654,0.8692774407060121,0.8400852878464818,0.0029260339010012126,0.032118186760531464,-0.02436915595682665
M-2022-7,13,1115,0.45198902606310015,0.5910313901345291,0.5122425184609405,-0.0423966567967915,-0.05158686117937439,-0.03586008528981971
M-2022-7,14,4897,0.39216696727647515,0.3108025321625485,0.3467760309865573,-0.4382950116390181,-0.44354801105444985,-0.42623294927719124
M-2022-7,15,538,0.8445297504798465,0.8178438661710037,0.8309726156751652,0.014438895588145595,0.06817675565169612,-0.05196706480677771
M-2022-7,16,949,0.335149863760218,0.12961011591148577,0.18693009118541035,-0.33119779279613215,-0.2618241470367214,-0.43093200758481126
M-2022-7,17,9274,0.9529867926814491,0.848069872762562,0.897472471044674,-0.023404067750851354,-0.0526995886144741,0.011085016296914163
M-2022-7,18,12401,0.8660102115244347,0.9574227884847996,0.9094251464899851,-0.016309435363421443,0.04211675911327717,-0.0703932972474951
M-2022-7,19,9918,0.8991884228023859,0.9272030651340997,0.9129808885579548,0.013724170433312088,0.03255005034456615,-0.004719623174625598
M-2022-7,20,1273,0.8870326173428799,0.8758837391987431,0.8814229249011858,0.04834135390420691,0.014837681431373873,0.08015624572620095
M-2022-7,21,1255,0.9434682964094728,0.9840637450199203,0.9633385335413417,0.03824628261883245,0.0271935160122867,0.04811115355232998
M-2022-7,22,449,0.778705636743215,0.8307349665924276,0.8038793103448276,-0.14959668241573876,-0.1351839290072272,-0.16264395333456505
M-2022-7,23,5629,0.9239112014912727,0.9685556937289039,0.9457068516912402,0.0064154426763450845,0.02805725136130266,-0.014176268406963954
M-2022-7,24,4214,0.9672170375687964,0.9591836734693877,0.9631836053854402,0.010816497763208366,0.0007324884503688844,0.020857253285283317
M-2022-7,25,35008,0.9054225858161516,0.9357861060329068,0.9203539823008849,-0.006108423241807048,-0.010306970932468906,-0.002207230076513911
M-2022-7,26,952,0.6336448598130842,0.7121848739495799,0.6706231454005934,-0.1886392539211531,-0.17180989273162384,-0.20223142884670964
M-2022-7,27,15113,0.9650504741511166,0.834976510289155,0.8953137748767249,-0.09785157214310847,-0.15821445226113906,-0.028089258659529714
M-2022-7,28,10579,0.8206374932468936,0.7179317515833255,0.7658566098618533,-0.10794685554466554,-0.1633465082235913,-0.04581691021339718
M-2022-7,29,19817,0.8459763133920437,0.7028813644850381,0.7678187531007111,-0.1328410586687232,-0.20397460287071,-0.048571439510388004
M-2022-7,30,5745,0.9968231556653724,0.9831157528285466,0.9899220050828148,0.004082822716111156,-0.001510984350152178,0.009768538478835631
M-2022-7,31,5940,0.9781988931745765,0.981986531986532,0.9800890531798706,0.007645619985584218,0.017105057008481084,-0.00192596349506291
M-2022-7,32,2014,0.6063685636856369,0.4443892750744787,0.5128939828080229,-0.1644588910184026,-0.1901023594171558,-0.12005579780748687
M-2022-7,33,273,0.6851851851851852,0.5421245421245421,0.6053169734151329,0.12255835272547771,0.16467356173238523,0.015619967793880862
M-2022-7,34,802,0.9043583535108959,0.9314214463840399,0.9176904176904177,-0.011791315529633306,0.0011493375405025041,-0.024334345979766248
M-2022-7,35,3174,0.9850696748506967,0.9354127284183995,0.9595992243051067,0.07137092466182493,0.08169844270411375,0.059419117229878915
M-2022-7,36,1292,0.9467649467649467,0.8947368421052632,0.9200159172304019,0.1945451540985882,0.008538294889766762,0.33267098703340314
M-2022-7,37,939,0.981859410430839,0.9222577209797657,0.9511257550796266,0.1616045265340078,0.26313253244281243,-0.002374823803395265
M-2022-7,38,102,0.8333333333333334,0.4411764705882353,0.5769230769230769,-0.1934472934472935,-0.23414820473644005,-0.06321839080459768
M-2022-7,39,5963,0.9565139263252471,0.8926714740902231,0.9234906315058987,-0.020584984562515785,-0.06334493429628563,0.0240844975633
M-2022-7,40,1205,0.9750692520775623,0.8763485477178423,0.9230769230769231,-0.02549955010780436,-0.04438838458721339,-0.0030827734117412353
M-2022-7,41,1992,0.7894021739130435,0.5833333333333334,0.6709006928406467,-0.19284509435242025,-0.26249410655351246,-0.09303757030732052
M-2022-7,42,630,0.3333333333333333,0.2761904761904762,0.3020833333333333,-0.5422229678816992,-0.5362075662238794,-0.5454901960784313
M-2022-7,43,1330,0.7581602373887241,0.7684210526315789,0.7632561613144138,-0.06118353985954572,0.011809887107582795,-0.14746696073554322
M-2022-7,44,1904,0.9845094664371773,0.9012605042016807,0.9410474362489718,-0.029704652887518446,-0.056815097172889795,0.0007409413842485169
M-2022-7,45,1928,0.889618138424821,0.7733402489626556,0.8274139844617092,-0.09658142311578788,-0.1445429627161765,-0.04057141312395385
M-2022-7,46,4182,0.6371343789741416,0.7187948350071736,0.6755056179775281,-0.10621528714199291,-0.09392204598894804,-0.1158679850920522
M-2022-7,47,384,0.9654255319148937,0.9453125,0.9552631578947368,-0.026416030190145268,-0.02473178236519924,-0.028171052930357154
M-2022-7,48,4498,0.9537444933920705,0.09626500666963095,0.17487883683360259,-0.8144775741879829,-0.8981361131064138,-0.03061813526984558
