period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-10,89,155,29,0.04730831973898858,221
M-2022-10,162,42,12,0.047058823529411764,222
M-2022-10,50,87,146,0.04694533762057878,223
M-2022-10,50,124,146,0.04694533762057878,224
M-2022-10,5,124,136,0.04686423156443832,225
M-2022-10,104,34,112,0.04684232538686742,226
M-2022-10,143,149,200,0.04631773969430292,227
M-2022-10,142,75,1280,0.04607133858834539,228
M-2022-10,150,96,55,0.04602510460251046,229
M-2022-10,82,73,1618,0.04590331366318656,230
M-2022-10,94,117,16,0.045714285714285714,231
M-2022-10,30,71,45,0.045408678102926335,232
M-2022-10,147,133,36,0.0449438202247191,233
M-2022-10,28,117,526,0.044823178525777586,234
M-2022-10,82,71,1575,0.04468338629142079,235
M-2022-10,28,158,520,0.044311887515977845,236
M-2022-10,149,29,2486,0.04401402216635388,237
M-2022-10,19,158,1281,0.04393004115226337,238
M-2022-10,29,117,1531,0.04384181438103147,239
M-2022-10,97,117,2001,0.04384023837171089,240
M-2022-10,70,77,76,0.04380403458213256,241
M-2022-10,88,11,10,0.043668122270742356,242
M-2022-10,88,29,10,0.043668122270742356,243
M-2022-10,38,156,4,0.043478260869565216,244
M-2022-10,74,82,145,0.04324485535341485,245
M-2022-10,27,83,442,0.04318514899853444,246
M-2022-10,162,149,11,0.043137254901960784,247
M-2022-10,24,52,517,0.04299733865602129,248
M-2022-10,80,71,54,0.04285714285714286,249
M-2022-10,94,65,15,0.04285714285714286,250
M-2022-10,72,82,438,0.04241309189503244,251
M-2022-10,126,153,34,0.042131350681536554,252
M-2022-10,41,117,98,0.040697674418604654,253
M-2022-10,33,115,5,0.04032258064516129,254
M-2022-10,33,160,5,0.04032258064516129,255
M-2022-10,52,139,89,0.04012623985572588,256
M-2022-10,108,163,222,0.039735099337748346,257
M-2022-10,52,133,88,0.03967538322813345,258
M-2022-10,78,175,640,0.03957212638347864,259
M-2022-10,43,153,81,0.039282250242483024,260
M-2022-10,112,132,67,0.03927315357561548,261
M-2022-10,163,13,83,0.039224952741020794,262
M-2022-10,22,19,46,0.03904923599320883,263
M-2022-10,24,153,464,0.0385894876912841,264
M-2022-10,66,49,163,0.038570752484619025,265
M-2022-10,148,131,206,0.038562336203669036,266
M-2022-10,24,20,458,0.038090485695276115,267
M-2022-10,173,23,53,0.03804737975592247,268
M-2022-10,173,83,53,0.03804737975592247,269
M-2022-10,9,136,49,0.037955073586367155,270
M-2022-10,32,86,67,0.03757711721817162,271
M-2022-10,76,175,165,0.03745743473325766,272
M-2022-10,16,155,90,0.037422037422037424,273
M-2022-10,174,131,101,0.03737971872686899,274
M-2022-10,41,149,90,0.03737541528239203,275
M-2022-10,72,75,384,0.03718408056550789,276
M-2022-10,105,41,181,0.036923704610363116,277
M-2022-10,132,131,687,0.03688986736830801,278
M-2022-10,163,140,78,0.036862003780718335,279
M-2022-10,141,68,68,0.03683640303358613,280
M-2022-10,139,153,70,0.03672612801678909,281
M-2022-10,101,97,2010,0.036318956326906744,282
M-2022-10,154,61,114,0.03620196887900921,283
M-2022-10,123,25,320,0.036011703803736216,284
M-2022-10,35,41,79,0.03600729261622607,285
M-2022-10,11,148,72,0.035982008995502246,286
M-2022-10,176,158,122,0.035840188014101056,287
M-2022-10,26,136,50,0.03571428571428571,288
M-2022-10,71,82,2271,0.03559728513879963,289
M-2022-10,43,86,73,0.03540252182347236,290
M-2022-10,155,61,347,0.03510369246332828,291
M-2022-10,159,133,86,0.035002035002035005,292
M-2022-10,88,125,8,0.034934497816593885,293
M-2022-10,9,89,45,0.034856700232378,294
M-2022-10,146,29,194,0.03484195402298851,295
M-2022-10,93,136,1209,0.034703484700614275,296
M-2022-10,166,153,105,0.03459637561779242,297
M-2022-10,79,77,426,0.03453587353060397,298
M-2022-10,2,117,175,0.034408179315768776,299
M-2022-10,111,153,77,0.034344335414808205,300
M-2022-10,104,132,82,0.034295273943956504,301
M-2022-10,94,155,12,0.03428571428571429,302
M-2022-10,6,14,83,0.03417044051049815,303
