period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-4,39,4388,0.0,7.608900547027588,0.0,11,4.648281574249268,0.0,-2.9606189727783203,0.0,125,0.011166818596171376,5.436428070068359,125,5.436428070068359,5.436428070068359,0.0
M-2022-4,40,2334,0.0,6.551080226898193,0.0,78,5.432871341705322,0.0,-1.118208885192871,0.0,75,0.025278491859468722,7.801549434661865,75,7.801549434661865,7.801549434661865,0.0
M-2022-4,41,2121,0.0,6.562270641326904,0.0,35,4.464819431304932,0.0,-2.0974512100219727,0.0,153,0.030645921735030647,5.502448558807373,153,5.502448558807373,5.502448558807373,0.0
M-2022-4,42,1839,0.0,6.868686199188232,0.0,160,3.246673107147217,0.0,-3.6220130920410156,0.0,115,0.10657966286025014,4.2113237380981445,115,4.2113237380981445,4.2113237380981445,0.0
M-2022-4,43,2042,0.0,7.523932933807373,0.0,162,4.224605560302734,0.0,-3.2993273735046387,0.0,153,0.07982370225269343,4.698450565338135,153,4.698450565338135,4.698450565338135,0.0
M-2022-4,44,2910,0.0,3.2903220653533936,0.0,157,6.77044153213501,0.0,3.480119466781616,0.0,93,0.02302405498281787,9.03125,93,9.03125,9.03125,0.0
M-2022-4,45,2192,0.0,4.803951740264893,0.0,112,6.236897945404053,0.0,1.4329462051391602,0.0,105,0.014142335766423358,7.207004070281982,105,7.207004070281982,7.207004070281982,0.0
M-2022-4,46,9798,0.0,7.821617603302002,0.0,159,2.698843240737915,0.0,-5.122774362564087,0.0,13,0.039701979995917534,3.511965274810791,13,3.511965274810791,3.511965274810791,0.0
M-2022-4,47,3839,0.0,4.002448081970215,0.0,48,5.773986339569092,0.0,1.771538257598877,0.0,48,0.016931492576191715,5.773986339569092,48,5.773986339569092,5.773986339569092,0.0
M-2022-4,48,5001,0.0,5.35991096496582,0.0,94,5.27549409866333,0.0,-0.08441686630249023,0.0,47,0.0013997200559888023,5.773986339569092,47,5.773986339569092,5.773986339569092,0.0
M-2022-4,49,40220,0.0,8.283219337463379,0.0,159,5.5018229484558105,0.0,-2.7813963890075684,0.0,75,0.013326703132769766,7.755835056304932,75,7.755835056304932,7.755835056304932,0.0
M-2022-4,50,4546,0.0,7.863430976867676,0.0,68,3.737952947616577,0.0,-4.125478029251099,0.0,25,0.10272767267927849,5.309215068817139,25,5.309215068817139,5.309215068817139,0.0
M-2022-4,51,21842,0.0,8.057634353637695,0.0,111,4.597440242767334,0.0,-3.4601941108703613,0.0,156,0.007233769801300248,5.915379047393799,156,5.915379047393799,5.915379047393799,0.0
M-2022-4,52,2301,0.0,7.141764163970947,0.0,2,4.482763767242432,0.0,-2.6590003967285156,0.0,153,0.024337244676227728,5.602747440338135,153,5.602747440338135,5.602747440338135,0.0
