strategy,budget,class_id,support,recall,f1
absorber_margin_balanced,500,48,3361,0.5049092531984528,0.5451333119177643
absorber_margin_balanced,500,38,193,0.6580310880829016,0.502970297029703
absorber_margin_balanced,500,69,1866,0.00857449088960343,0.014953271028037384
absorber_margin_balanced,500,104,1744,0.5900229357798165,0.5771172181716209
absorber_margin_balanced,500,47,618,0.7394822006472492,0.5158013544018059
absorber_margin_balanced,500,66,1955,0.0010230179028132991,0.0015667841754798276
absorber_margin_balanced,500,10,1004,0.35358565737051795,0.4429195258889582
absorber_margin_balanced,500,109,393,0.0,0.0
absorber_margin_balanced,500,26,807,0.06939281288723669,0.08351976137211037
absorber_margin_balanced,1000,56,12137,0.6691933756282442,0.7784167145869274
absorber_margin_balanced,1000,163,1741,0.5605973578403216,0.4969450101832994
absorber_margin_balanced,1000,174,1507,0.29462508294625084,0.2200743494423792
absorber_margin_balanced,1000,48,3361,0.8616483189526927,0.8392986523692219
absorber_margin_balanced,1000,38,193,0.8031088082901554,0.5555555555555556
absorber_margin_balanced,1000,69,1866,0.007502679528403001,0.012043010752688172
absorber_margin_balanced,1000,104,1744,0.5946100917431193,0.6191044776119403
absorber_margin_balanced,1000,47,618,0.7815533980582524,0.563922942206655
absorber_margin_balanced,1000,66,1955,0.009207161125319692,0.01105311636475284
absorber_margin_balanced,1000,10,1004,0.5896414342629482,0.6396542409508373
absorber_margin_balanced,1000,109,393,0.0,0.0
absorber_margin_balanced,1000,26,807,0.07930607187112763,0.10015649452269171
