class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
26,bad,2293,807,0.024539877300613498,0.02910266774454325,0.004562790443929751,0.022304832713754646,0.022304832713754646,0.0
27,other,19386,7371,0.9089068825910931,0.9182166690330825,0.009309786441989432,0.8528015194681862,0.8773572106905441,0.0245556912223579
28,bad,16366,5815,0.3217811384162991,0.3301335972290945,0.008352458812795449,0.26345657781599313,0.2868443680137575,0.02338779019776438
29,other,29653,30274,0.8087042946068944,0.7907749844172034,-0.017929310189691017,0.7660038316707406,0.7543106295831407,-0.011693202087599941
30,other,8131,645,0.8975206611570248,0.8879803761242846,-0.009540285032740181,0.8418604651162791,0.8418604651162791,0.0
31,other,7973,952,0.8941747572815534,0.8413855970829535,-0.052789160198599916,0.967436974789916,0.9695378151260504,0.0021008403361344463
32,other,2331,998,0.3008015087223008,0.3220802919708029,0.021278783248502076,0.3196392785571142,0.35370741482965934,0.034068136272545124
33,other,204,630,0.6793206793206793,0.6194331983805668,-0.059887480940112536,0.5396825396825397,0.4857142857142857,-0.05396825396825394
34,other,588,1240,0.5924453280318092,0.6484517304189436,0.05600640238713439,0.4806451612903226,0.5741935483870968,0.09354838709677421
35,other,875,930,0.7747972551466001,0.7715355805243446,-0.0032616746222555726,0.667741935483871,0.6645161290322581,-0.003225806451612856
36,other,826,216,0.3619047619047619,0.33447098976109213,-0.027433772143669766,0.2638888888888889,0.22685185185185186,-0.037037037037037035
37,other,1989,866,0.9060773480662984,0.9035033804548248,-0.002573967611473549,0.8521939953810623,0.848729792147806,-0.0034642032332563577
38,bad,77,193,0.08968609865470852,0.10300429184549356,0.013318193190785046,0.05181347150259067,0.06217616580310881,0.010362694300518137
39,other,4388,4483,0.9025587467362924,0.9077700568540745,0.005211310117782086,0.9638634842739238,0.9616328351550301,-0.0022306491188937017
40,other,2334,737,0.6259808195292066,0.6398631308810949,0.013882311351888332,0.4871099050203528,0.5074626865671642,0.020352781546811416
41,other,2121,1636,0.6569659442724458,0.6749854904236796,0.0180195461512338,0.6485330073349633,0.710880195599022,0.06234718826405872
42,other,1839,1444,0.40711462450592883,0.40359168241965976,-0.0035229420862690763,0.2853185595567867,0.29570637119113574,0.010387811634349042
43,other,2042,1992,0.7986024457199901,0.7720952156493047,-0.02650723007068534,0.8032128514056225,0.822289156626506,0.01907630522088355
44,stable,2910,1181,0.9479717813051146,0.9408207343412527,-0.007151046963861929,0.9102455546147333,0.9220999153259949,0.011854360711261558
45,other,2192,1463,0.788781163434903,0.7474822827303245,-0.041298880704578544,0.7785372522214627,0.684894053315106,-0.09364319890635675
46,other,9798,7420,0.6391033964327205,0.6490410958904109,0.009937699457690408,0.630188679245283,0.638544474393531,0.008355795148248024
47,bad,3839,618,0.0,0.0,0.0,0.0,0.0,0.0
48,bad,5001,3361,0.0017709563164108619,0.0017610801291458762,-9.876187264985662e-06,0.0008925914906277894,0.0008925914906277894,0.0
49,other,40220,31563,0.8421558075999669,0.8376708037724987,-0.0044850038274681925,0.8057218895542249,0.7837024363970472,-0.022019453157177682
50,other,4546,1528,0.186155285313377,0.213768115942029,0.027612830628651996,0.13023560209424084,0.1544502617801047,0.024214659685863865
51,other,21842,11645,0.8603878116343491,0.9096523136790458,0.04926450204469668,0.9335337054529841,0.9234006011163589,-0.010133104336625176
52,other,2301,1274,0.6664053312426499,0.6395939086294417,-0.026811422613208236,0.6671899529042387,0.6923076923076923,0.02511773940345363
53,other,9775,5505,0.8221734357848518,0.827476337737794,0.005302901952942252,0.8163487738419618,0.8019981834695731,-0.014350590372388727
54,other,6663,5063,0.3268134914523333,0.6268727144036805,0.30005922295134724,0.20955954967410625,0.5247876752913293,0.315228125617223
55,other,8193,4063,0.6650446066504461,0.9442889849910964,0.2792443783406503,0.5045532857494462,0.9136106325375338,0.4090573467880876
56,bad,10094,12137,0.0007871536523929471,0.0019559902200488996,0.0011688365676559525,0.00041196341764851283,0.0009887122023564308,0.000576748784707918
57,stable,3065,2331,0.9740064446831365,0.9725675096442349,-0.0014389350389015787,0.9725439725439725,0.9734019734019734,0.000858000858000918
58,other,2286,15,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,0.9851931507982463,0.9839695918030078,-0.0012235589952385162,0.9875621890547264,0.987396351575456,-0.00016583747927034764
60,other,49622,24845,0.8670687575392039,0.8588549416056906,-0.008213815933513224,0.8679412356610988,0.8480177098007647,-0.01992352586033408
61,other,19676,10494,0.6124639431139733,0.5897738509138465,-0.022690092200126855,0.870020964360587,0.8809796073947017,0.010958643034114757
62,stable,15549,11221,0.9274218038262982,0.9134776087422327,-0.013944195084065525,0.9525888958203369,0.9498262186970858,-0.002762677123251067
63,other,11152,5492,0.6012027349864074,0.5851857670253712,-0.016016967961036244,0.66442097596504,0.6782592862345229,0.0138383102694829
64,stable,2437,1215,0.7903039630627164,0.7768027470431134,-0.01350121601960308,0.8452674897119341,0.8378600823045268,-0.007407407407407307
65,other,3145,2112,0.927449168207024,0.9028184892897407,-0.024630678917283322,0.9502840909090909,0.9479166666666666,-0.0023674242424243097
66,bad,5149,1955,0.001658374792703151,0.0007432181345224824,-0.0009151566581806686,0.0010230179028132991,0.0005115089514066496,-0.0005115089514066496
67,other,854,1191,0.1558219178082192,0.15951417004048582,0.0036922522322666296,0.1528127623845508,0.16540722082283796,0.01259445843828716
68,other,7271,2499,0.7406663318265528,0.7494929006085193,0.008826568781966415,0.8851540616246498,0.8871548619447779,0.00200080032012806
69,bad,879,1866,0.008430913348946136,0.013617793917385384,0.005186880568439248,0.00482315112540193,0.008038585209003215,0.0032154340836012853
70,other,2642,908,0.36075949367088606,0.3486646884272997,-0.01209480524358636,0.2511013215859031,0.2588105726872247,0.00770925110132159
71,other,149408,39434,0.7009773624831083,0.701037024521089,5.966203798069003e-05,0.8484556474108638,0.8417101993203834,-0.006745448090480388
72,other,17880,5765,0.49422234981698127,0.48791762975415004,-0.006304720062831226,0.5972246313963573,0.604163052905464,0.006938421509106729
73,other,29211,8821,0.8796707462363262,0.8751241440593801,-0.004546602176946135,0.9207572837546764,0.9489853758077316,0.02822809205305521
74,other,9210,2294,0.5352180162913273,0.5214592274678111,-0.01375878882351611,0.486922406277245,0.529642545771578,0.04272013949433301
75,other,28060,6807,0.4022364217252396,0.391562091000077,-0.010674330725162606,0.36991332451887765,0.37358601439694433,0.0036726898780666817
76,stable,10523,2683,0.8810229799851742,0.8840849795005591,0.0030619995153848834,0.8859485650391353,0.8840849795005591,-0.00186358553857624
77,other,81932,17960,0.7427868015732428,0.7434461538461539,0.000659352272911029,0.6887527839643652,0.6726614699331849,-0.01609131403118036
78,other,48009,10246,0.748072353426119,0.7540211847783445,0.005948831352225459,0.7527815732968963,0.7503415967206715,-0.002439976576224856
79,other,25102,7528,0.7017907355335208,0.7034993465950341,0.001708611061513321,0.6299149840595112,0.6435972369819342,0.013682252922422977
80,other,6096,1055,0.31480241125251174,0.32449903038138334,0.009696619128871597,0.22274881516587677,0.23791469194312795,0.015165876777251175
81,other,7217,2122,0.9364595545134818,0.9241379310344827,-0.012321623478999122,0.9410933081998115,0.91564561734213,-0.025447690857681504
82,other,79609,27579,0.7796960806439479,0.7770450075205368,-0.002651073123411063,0.7516226114072302,0.7305558577178288,-0.021066753689401363
83,other,24502,19531,0.91312422616591,0.9164802765351769,0.003356050369266894,0.9062516000204802,0.9230966156366801,0.016845015616199888
84,other,2397,1057,0.8721951219512195,0.8679425837320575,-0.00425253821916205,0.8457899716177862,0.8580889309366131,0.012298959318826852
85,other,2080,350,0.7124087591240876,0.7549467275494672,0.0425379684253796,0.6971428571428572,0.7085714285714285,0.011428571428571344
86,other,27759,20232,0.8040145527537322,0.78990990990991,-0.01410464284382229,0.7919137999209174,0.7584025306445236,-0.03351126927639381
87,other,11231,5056,0.9071502786436195,0.9130310262529833,0.005880747609363746,0.9497626582278481,0.9458069620253164,-0.003955696202531667
88,other,204,83,0.21052631578947367,0.16697588126159554,-0.04355043452787813,0.5301204819277109,0.5421686746987951,0.012048192771084265
89,other,486,377,0.7072599531615925,0.6962962962962963,-0.010963656865296212,0.8010610079575596,0.8726790450928382,0.07161803713527859
90,other,7635,4080,0.8953821473587716,0.8779732271268945,-0.017408920231877123,0.9575980392156863,0.9725490196078431,0.01495098039215681
91,other,4262,2334,0.8252314814814815,0.8096214805146373,-0.015610000966844173,0.916452442159383,0.9301628106255355,0.013710368466152478
92,other,2288,896,0.8409090909090909,0.826214160327677,-0.014694930581413912,0.7845982142857143,0.7879464285714286,0.0033482142857143016
93,other,34812,18804,0.7622616498419497,0.7583407531556068,-0.0039208966863428785,0.7950967879174644,0.7699957455860456,-0.025101042331418855
94,stable,633,760,0.6138032305433186,0.6336769759450172,0.019873745401698506,0.55,0.6065789473684211,0.05657894736842106
95,other,50223,3282,0.9211843799170362,0.9121066061808902,-0.009077773736145933,0.9811090798293723,0.9801950030469226,-0.000914076782449702
96,other,55119,44573,0.692832374347445,0.6969949381687705,0.004162563821325405,0.6118726583357638,0.6101227200323065,-0.0017499383034572658
97,other,41580,18214,0.7774216721003481,0.790272373540856,0.012850701440507928,0.7724278027890633,0.7805534204458109,0.008125617656747575
98,stable,63298,48912,0.9950280312640668,0.9952473911754786,0.00021935991141175393,0.9942549885508669,0.995420346745175,0.0011653581943080749
99,stable,23955,18452,0.8910004668662291,0.9122159090909091,0.02121544222467997,0.8791458920442229,0.8700953826143507,-0.009050509429872178
100,other,30504,17278,0.7223809246196,0.7253413404339697,0.002960415814369677,0.7171547632827874,0.7410001157541382,0.023845352471350778
101,other,60629,42403,0.7117749402848633,0.7770613520906604,0.06528641180579708,0.5692285923165814,0.6565337358205787,0.08730514350399732
102,other,79891,35717,0.8913159504810008,0.8799234241808845,-0.011392526300116224,0.9585071534563373,0.9522916258364365,-0.006215527619900851
103,other,1787,1446,0.43172147001934236,0.5263157894736842,0.09459431945434182,0.38589211618257263,0.5878284923928078,0.20193637621023514
104,bad,3363,1744,0.016456921587608905,0.01506276150627615,-0.001394160081332755,0.00974770642201835,0.010321100917431193,0.0005733944954128441
105,other,4895,3159,0.3440140283755779,0.31351012082221874,-0.030503907553359133,0.34156378600823045,0.3162393162393162,-0.025324469768914226
106,other,3993,1622,0.9295261239368166,0.9268882175226586,-0.0026379064141579533,0.9432799013563502,0.9457459926017263,0.002466091245376112
107,stable,3873,2555,0.9622496147919877,0.9263814944005875,-0.03586812039140019,0.9776908023483366,0.9874755381604696,0.009784735812133016
108,other,11663,3529,0.8786482334869432,0.8808159843509851,0.002167750864041862,0.8914706715783508,0.8931708699348258,0.0017001983564749468
109,bad,1867,393,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,0.8196861139542818,0.8240062085021989,0.004320094547917042,0.8474426807760141,0.8426807760141094,-0.004761904761904745
111,other,2817,1136,0.26626323751891073,0.24784747847478475,-0.018415759044125984,0.30985915492957744,0.35475352112676056,0.04489436619718312
112,other,3822,1083,0.5887618100447538,0.6109263657957245,0.02216455575097065,0.5466297322253001,0.5937211449676824,0.047091412742382266
113,stable,5042,3574,0.977462792345854,0.9785724421739748,0.0011096498281207845,0.9647453833240067,0.9647453833240067,0.0
114,other,3329,911,0.8335035750766088,0.8149253731343283,-0.018578201942280437,0.8957189901207464,0.8990120746432492,0.003293084522502765
115,other,22978,15934,0.8206401218018734,0.7865408805031446,-0.034099241298728766,0.7780218400903728,0.7848625580519644,0.00684071796159158
116,other,4023,3278,0.7903034412612308,0.7876486129458389,-0.0026548283153918772,0.711104331909701,0.7275777913361806,0.016473459426479597
117,other,84936,58860,0.6539879219318951,0.6764653309283544,0.022477408996459225,0.7460584437648657,0.7072545022086306,-0.03880394155623512
