class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
104,bad,3363,1744,31,0.016456921587608905,0.015775635407537247,-0.0006812861800716587,0.00974770642201835,0.010321100917431193,0.0005733944954128441
105,other,4895,3159,253,0.3440140283755779,0.32232365145228214,-0.02169037692329573,0.34156378600823045,0.3073757518201963,-0.03418803418803418
106,other,3993,1622,1153,0.9295261239368166,0.9187893317350914,-0.010736792201725187,0.9432799013563502,0.9451294697903823,0.0018495684340320562
107,stable,3873,2555,2311,0.9622496147919877,0.9380234505862647,-0.02422616420572299,0.9776908023483366,0.9863013698630136,0.008610567514677037
108,other,11663,3529,1820,0.8786482334869432,0.8900759066629181,0.011427673175974928,0.8914706715783508,0.8971379994332672,0.005667327854916415
109,bad,1867,393,4,0.0,0.0,0.0,0.0,0.0,0.0
110,other,9808,5670,2257,0.8196861139542818,0.8145802890079559,-0.005105824946325943,0.8474426807760141,0.8848324514991182,0.03738977072310401
111,other,2817,1136,163,0.26626323751891073,0.2608405603735824,-0.005422677145328347,0.30985915492957744,0.34419014084507044,0.034330985915492995
112,other,3822,1083,213,0.5887618100447538,0.6231678486997636,0.034406038655009796,0.5466297322253001,0.6084949215143121,0.06186518928901197
113,stable,5042,3574,3072,0.977462792345854,0.9780110653993475,0.0005482730534934754,0.9647453833240067,0.9644655847789592,-0.0002797985450475604
114,other,3329,911,800,0.8335035750766088,0.8163672654690619,-0.017136309607546862,0.8957189901207464,0.897914379802415,0.002195389681668547
115,other,22978,15934,5005,0.8206401218018734,0.8087674092436152,-0.01187271255825817,0.7780218400903728,0.7780845989707543,6.275888038154154e-05
116,other,4023,3278,1105,0.7903034412612308,0.7843652488093283,-0.005938192451902413,0.711104331909701,0.7284929835265406,0.017388651616839557
117,other,84936,58860,7671,0.6539879219318951,0.6885293807278011,0.03454145879590598,0.7460584437648657,0.7205402650356779,-0.025518178729187824
118,bad,3760,2577,1149,0.4359987838248708,0.43757575757575756,0.0015769737508867787,0.5564610011641443,0.5603414823438106,0.0038804811796663286
119,stable,2846,1033,573,0.8846153846153846,0.8865075499269361,0.0018921653115515635,0.8683446272991288,0.8809293320425944,0.012584704743465625
120,other,2918,1133,347,0.8361683079677709,0.8140569395017794,-0.022111368465991488,0.824360105913504,0.8075904677846425,-0.016769638128861453
121,other,2543,16,11,0.0,0.0,0.0,0.0,0.0,0.0
122,other,61426,40149,15688,0.824817424891606,0.8247856705450092,-3.1754346596857275e-05,0.8031333283518892,0.8051259060001494,0.0019925776482602187
123,other,3393,1458,219,0.4490566037735849,0.48322147651006714,0.03416487273648222,0.32647462277091904,0.37037037037037035,0.04389574759945131
124,other,30492,18817,6694,0.8551867440993127,0.8475871702290277,-0.007599573870284981,0.8530052611999788,0.8545464207897114,0.0015411595897326658
125,other,3522,2268,1087,0.6736076681540242,0.6550387596899225,-0.01856890846410164,0.8985890652557319,0.8941798941798942,-0.0044091710758377145
126,other,2112,2588,1541,0.8720262510254306,0.8631622008590714,-0.008864050166359272,0.821483771251932,0.8153013910355487,-0.0061823802163832875
127,other,3002,4058,904,0.7258826800111203,0.7489281886387996,0.02304550862767929,0.6434204041399705,0.68876293740759,0.0453425332676195
128,stable,2342,3721,1817,0.9304743339831059,0.9265274555297757,-0.003946878453330194,0.9621069604944907,0.9658693899489385,0.0037624294544477133
129,other,44177,18631,6268,0.6718027734976888,0.6687630374544662,-0.0030397360432226073,0.5850464279963502,0.5764585905211744,-0.008587837475175775
130,stable,7092,4618,2438,0.8315680166147456,0.8306226043716979,-0.0009454122430476719,0.8670420095279342,0.868124729320052,0.0010827197921178255
131,stable,30533,17194,13490,0.906423586383706,0.9070511022606159,0.000627515876909901,0.9253227870187275,0.9404443410492032,0.015121554030475659
132,stable,23157,13419,9433,0.9021133745326925,0.9013130352045671,-0.000800339328125399,0.8811386839555854,0.8824055443773754,0.0012668604217900281
133,other,54110,34000,14507,0.8244967750858091,0.819745493637341,-0.004751281448468148,0.9643823529411765,0.9643823529411765,0.0
134,other,10738,5543,3356,0.9474777191312624,0.9561120321088911,0.008634312977628622,0.9877322749413675,0.9884539058271694,0.0007216308858019049
135,other,3069,1872,547,0.477059925093633,0.44135607496315016,-0.03570385013048283,0.5443376068376068,0.5598290598290598,0.015491452991453047
136,other,22342,12861,3018,0.7803508232035697,0.7773637097084022,-0.0029871134951675593,0.7886634009797061,0.7866417852422051,-0.002021615737501037
137,other,4089,1286,3,0.5800631483987371,0.5513666352497644,-0.028696513148972702,0.5,0.4548989113530327,-0.045101088646967324
138,other,43631,12776,547,0.6155363306288941,0.6068269186235006,-0.008709412005393546,0.5374139010644959,0.5127582968065122,-0.024655604257983743
139,bad,2846,973,44,0.16774193548387098,0.12761714855433698,-0.040124786929534,0.1736896197327852,0.131551901336074,-0.04213771839671121
140,other,71932,21276,4038,0.7487365493894329,0.7453683335777485,-0.0033682158116844496,0.7276743748824968,0.7166760669298741,-0.010998307952622688
141,other,2022,1226,289,0.6573913043478261,0.6480573368540173,-0.00933396749380877,0.6166394779771615,0.700652528548124,0.08401305057096253
142,other,62604,15948,2498,0.6765168539325843,0.6870050703583434,0.010488216425759034,0.755079006772009,0.7561449711562578,0.0010659643842487743
143,other,4384,3052,275,0.4037700282752121,0.4326561324303988,0.02888610415518672,0.35091743119266056,0.3768020969855832,0.025884665792922645
144,stable,3642,2267,1839,0.981722087645893,0.9734590919061198,-0.008262995739773182,0.9832377591530658,0.9788266431407145,-0.004411116012351224
145,stable,2224,1149,1140,0.9943305713039686,0.993897122929381,-0.0004334483745875861,0.9921671018276762,0.9921671018276762,0.0
146,other,4793,4680,2393,0.8806497175141242,0.9125483944431793,0.031898676929055014,0.7993589743589744,0.8561965811965812,0.05683760683760675
147,other,2203,2730,744,0.7240915208613729,0.7431355181576617,0.019043997296288806,0.5912087912087912,0.6146520146520147,0.02344322344322347
148,other,6812,3728,1990,0.8069948186528497,0.7937270772733022,-0.01326774137954756,0.835568669527897,0.8417381974248928,0.006169527896995763
149,other,74194,29896,2600,0.6411142367906066,0.6553584172876799,0.014244180497073211,0.7013312817768264,0.6603893497457853,-0.04094193203104102
150,other,2305,1291,695,0.7224264705882353,0.7833547833547834,0.06092831276654809,0.6088303640588691,0.7072037180480247,0.09837335398915559
151,other,2021,872,294,0.6416593115622242,0.6193771626297578,-0.022282148932466384,0.8337155963302753,0.8211009174311926,-0.012614678899082632
152,other,1673,729,221,0.7201946472019465,0.7214983713355049,0.0013037241335583927,0.6090534979423868,0.607681755829904,-0.00137174211248281
153,other,70973,59235,12983,0.810052304817457,0.7809726465880984,-0.02907965822935865,0.7830505613235418,0.7249261416392335,-0.05812441968430826
154,other,2978,1862,185,0.5724725943970768,0.5744876108901805,0.0020150164931037606,0.5048335123523093,0.5042964554242749,-0.0005370569280344073
155,other,11183,5650,313,0.592071311283134,0.5880117464156158,-0.004059564867518128,0.6700884955752212,0.6024778761061947,-0.06761061946902647
156,other,32897,11350,4631,0.7414931064828395,0.7535914935334264,0.012098387050586856,0.8908370044052863,0.8804405286343613,-0.010396475770925062
157,other,2075,800,544,0.49772036474164133,0.4047330097087379,-0.09298735503290345,0.81875,0.83375,0.015000000000000013
158,other,12544,5549,2214,0.7169658084950865,0.7107216169272067,-0.006244191567879809,0.795458641196612,0.8111371418273563,0.015678500630744274
159,other,3182,1740,209,0.4109681787406906,0.4531197864531198,0.04215160771242921,0.3488505747126437,0.39022988505747125,0.04137931034482756
160,other,1553,1048,290,0.47699004975124376,0.4852708267342414,0.008280776982997617,0.7318702290076335,0.7309160305343512,-0.000954198473282375
161,other,3031,334,205,0.8110918544194108,0.8213058419243986,0.01021398750498781,0.7005988023952096,0.7155688622754491,0.014970059880239583
162,other,486,59,18,0.4114285714285714,0.2928870292887029,-0.1185415421398685,0.6101694915254238,0.5932203389830508,-0.016949152542372947
163,other,3156,1741,13,0.025738798856053385,0.02198768689533861,-0.003751111960714773,0.015508328546812177,0.014359563469270534,-0.0011487650775416428
164,bad,3315,1689,360,0.26493144317917733,0.33845302338453026,0.07352158020535293,0.6749555950266429,0.724097098875074,0.04914150384843108
165,other,5176,4989,5258,0.6357827476038339,0.6620982215695872,0.02631547396575329,0.7578673080777711,0.813389456804971,0.05552214872719985
166,other,2317,1835,278,0.5669914738124239,0.5651910248635537,-0.0018004489488702147,0.5073569482288829,0.5079019073569482,0.0005449591280652921
167,other,668,55,4,0.11009174311926606,0.10869565217391304,-0.0013960909453530207,0.21818181818181817,0.2727272727272727,0.054545454545454536
168,other,3924,4221,928,0.786809103576405,0.7767650990399806,-0.0100440045364244,0.802653399668325,0.7571665482113243,-0.04548685145700071
169,other,2891,1502,309,0.8663845223700121,0.8818126148193509,0.015428092449338848,0.9540612516644474,0.9587217043941412,0.0046604527296937315
170,other,3774,1916,716,0.5357881671493587,0.5621644835731158,0.02637631642375704,0.6758872651356994,0.6831941544885177,0.007306889352818313
171,other,7082,4142,785,0.6049676760802994,0.6032011466794075,-0.0017665294008919474,0.6438918396909705,0.6096088845968132,-0.03428295509415735
172,other,7688,5558,824,0.700560603131645,0.7610490970142482,0.060488493882603134,0.6520331054336093,0.7544080604534005,0.10237495501979121
173,other,4960,978,455,0.7655384615384615,0.8119858989424207,0.04644743740395918,0.6359918200408998,0.7065439672801636,0.07055214723926373
174,bad,4246,1507,5,0.0,0.0,0.0,0.0,0.0,0.0
175,other,50628,22084,4725,0.6193302157820789,0.6004844747852895,-0.018845740996789373,0.66867415323311,0.6173700416591197,-0.051304111573990285
176,other,4309,2085,684,0.4603281636322769,0.43979899497487435,-0.020529168657402563,0.49112709832134294,0.5247002398081535,0.033573141486810565
177,other,1540,1117,809,0.5517023959646911,0.5658773527625987,0.01417495679790759,0.7833482542524619,0.8343777976723367,0.05102954341987476
