period,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-12,14,63,2,343,0.058924583404913244,316.0,0.05632867916493632
M-2022-12,14,61,3,297,0.05102216114069748,282.0,0.04957999211848808
M-2022-12,14,153,4,256,0.04397869781824429,55.0,0.02465363292063829
M-2022-12,14,86,5,179,0.0307507301151005,171.0,0.029981573303255484
M-2022-12,26,13,1,174,0.21561338289962825,144.0,0.20253008590878657
M-2022-12,26,49,2,98,0.12143742255266418,94.0,0.1196929829538853
M-2022-12,26,136,3,74,0.09169764560099132,56.0,0.0838476674064863
M-2022-12,26,46,4,65,0.080545229244114,42.0,0.07051470155113537
M-2022-12,26,61,5,57,0.07063197026022305,55.0,0.0697597504608336
M-2022-12,28,49,1,1062,0.1826311263972485,1040.0,0.1812868761222882
M-2022-12,28,117,2,397,0.06827171109200345,290.0,0.06173376657287843
M-2022-12,28,158,3,322,0.05537403267411866,309.0,0.05457970296618758
M-2022-12,28,95,4,267,0.04591573516766982,258.0,0.04536581460064062
M-2022-12,28,142,5,262,0.045055889939810835,213.0,0.04206187796376293
M-2022-12,38,45,1,89,0.46113989637305697,89.0,0.46113989637305697
M-2022-12,38,39,2,52,0.2694300518134715,52.0,0.2694300518134715
M-2022-12,38,105,3,7,0.03626943005181347,7.0,0.03626943005181347
M-2022-12,38,133,4,7,0.03626943005181347,6.0,0.02328241706480048
M-2022-12,38,125,5,5,0.025906735751295335,5.0,0.025906735751295335
M-2022-12,47,5,1,279,0.45145631067961167,279.0,0.45145631067961167
M-2022-12,47,6,2,96,0.1553398058252427,96.0,0.1553398058252427
M-2022-12,47,7,3,59,0.09546925566343042,59.0,0.09546925566343042
M-2022-12,47,151,4,43,0.06957928802588997,43.0,0.06957928802588997
M-2022-12,47,102,5,33,0.05339805825242718,33.0,0.05339805825242718
M-2022-12,48,14,1,1310,0.389764950907468,1310.0,0.389764950907468
M-2022-12,48,177,2,1096,0.32609342457601903,1096.0,0.32609342457601903
M-2022-12,48,170,3,577,0.1716750966974115,577.0,0.1716750966974115
M-2022-12,48,6,4,200,0.05950609937518596,200.0,0.05950609937518596
M-2022-12,48,5,5,41,0.012198750371913121,41.0,0.012198750371913121
M-2022-12,56,96,1,3063,0.25236878965147896,3035.0,0.24959486454745677
M-2022-12,56,165,2,3015,0.24841394084205323,3011.0,0.24801766582719292
M-2022-12,56,118,3,2489,0.20507538930542968,2474.0,0.2035893579997035
M-2022-12,56,14,4,1140,0.09392765922386093,1123.0,0.09224349041070459
M-2022-12,56,71,5,576,0.047458185713108676,576.0,0.047458185713108676
M-2022-12,66,71,1,271,0.13861892583120206,268.0,0.13803628842588064
M-2022-12,66,142,2,266,0.1360613810741688,263.0,0.13547874366884738
M-2022-12,66,49,3,240,0.12276214833759591,229.0,0.1206258111847507
M-2022-12,66,78,4,154,0.07877237851662404,154.0,0.07877237851662404
M-2022-12,66,108,5,140,0.07161125319693094,140.0,0.07161125319693094
M-2022-12,69,105,1,703,0.3767416934619507,691.0,0.3630898163288449
M-2022-12,69,39,2,198,0.10610932475884244,197.0,0.10497166833108362
M-2022-12,69,60,3,181,0.0969989281886388,179.0,0.09472361533312117
M-2022-12,69,125,4,151,0.08092175777063237,151.0,0.08092175777063237
M-2022-12,69,18,5,136,0.07288317256162916,136.0,0.07288317256162916
M-2022-12,104,2,1,370,0.2121559633027523,352.0,0.20680359934200296
M-2022-12,104,117,2,299,0.17144495412844038,270.0,0.16282170108056646
M-2022-12,104,133,3,272,0.1559633027522936,163.0,0.12355176543442264
M-2022-12,104,19,4,254,0.14564220183486237,249.0,0.14415543406798756
M-2022-12,104,110,5,111,0.06364678899082568,98.0,0.05978119279695116
M-2022-12,109,71,1,98,0.24936386768447838,98.0,0.24936386768447838
M-2022-12,109,158,2,79,0.2010178117048346,79.0,0.2010178117048346
M-2022-12,109,140,3,62,0.15776081424936386,61.0,0.1572251956098352
M-2022-12,109,116,4,27,0.06870229007633588,27.0,0.06870229007633588
M-2022-12,109,142,5,26,0.06615776081424936,26.0,0.06615776081424936
M-2022-12,118,25,1,971,0.37679472254559565,958.0,0.37333727573708503
M-2022-12,118,96,2,20,0.007760962359332557,-2.0,0.0019098985295453235
M-2022-12,118,117,3,13,0.005044625533566162,9.0,0.00398079574633212
M-2022-12,118,90,4,12,0.004656577415599534,-26.0,-0.005449805563123871
M-2022-12,118,124,5,12,0.004656577415599534,12.0,0.004656577415599534
M-2022-12,139,133,1,147,0.1510791366906475,103.0,0.13561884153955825
M-2022-12,139,32,2,105,0.1079136690647482,35.0,0.08331774496074257
M-2022-12,139,61,3,83,0.08530318602261049,82.0,0.08495181567826755
M-2022-12,139,153,4,50,0.051387461459403906,23.0,0.041900462162144596
M-2022-12,139,156,5,46,0.047276464542651594,-79.0,0.0033551714997844123
M-2022-12,164,138,1,177,0.10479573712255773,115.0,0.08609287136086843
M-2022-12,164,117,2,147,0.08703374777975133,31.0,0.05204128925788104
M-2022-12,164,149,3,99,0.0586145648312611,-9.0,0.02603537931089911
M-2022-12,164,124,4,60,0.035523978685612786,56.0,0.034317342184858636
M-2022-12,164,96,5,17,0.010065127294256957,-71.0,-0.016480875722334296
M-2022-12,174,2,1,440,0.291970802919708,440.0,0.291970802919708
M-2022-12,174,133,2,283,0.18779031187790313,276.0,0.1861417014210025
M-2022-12,174,28,3,250,0.16589250165892502,245.0,0.16471492276113886
M-2022-12,174,19,4,102,0.0676841406768414,102.0,0.0676841406768414
M-2022-12,174,23,5,100,0.06635700066357,100.0,0.06635700066357
