true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
28,59,5,10579,126,0.011910388505529824,141,0.013328291899045278,15,0.0014179033935154545
38,156,1,102,33,0.3235294117647059,31,0.30392156862745096,-2,-0.019607843137254943
38,129,2,102,6,0.058823529411764705,6,0.058823529411764705,0,0.0
38,125,3,102,4,0.0392156862745098,5,0.049019607843137254,1,0.00980392156862745
38,133,4,102,3,0.029411764705882353,1,0.00980392156862745,-2,-0.0196078431372549
38,62,5,102,2,0.0196078431372549,2,0.0196078431372549,0,0.0
47,6,1,384,5,0.013020833333333334,7,0.018229166666666668,2,0.005208333333333334
47,177,2,384,4,0.010416666666666666,4,0.010416666666666666,0,0.0
47,14,3,384,3,0.0078125,2,0.005208333333333333,-1,-0.002604166666666667
47,117,4,384,2,0.005208333333333333,1,0.0026041666666666665,-1,-0.0026041666666666665
47,151,5,384,2,0.005208333333333333,2,0.005208333333333333,0,0.0
48,6,1,4498,2130,0.4735437972432192,2141,0.47598932859048465,11,0.0024455313472654394
48,177,2,4498,1867,0.41507336594041794,1868,0.41529568697198754,1,0.0002223210315696056
48,14,3,4498,35,0.007781236104935527,23,0.005113383726100489,-12,-0.002667852378835038
48,117,4,4498,7,0.0015562472209871053,4,0.0008892841262783459,-3,-0.0006669630947087594
48,83,5,4498,5,0.0011116051578479323,5,0.0011116051578479323,0,0.0
56,96,1,8114,4029,0.49654917426669953,4009,0.4940842987429135,-20,-0.0024648755237860476
56,165,2,8114,1289,0.15886122750801085,1306,0.160956371703229,17,0.0020951441952181404
56,14,3,8114,827,0.10192260290855312,844,0.10401774710377126,17,0.0020951441952181404
56,170,4,8114,510,0.06285432585654424,458,0.05644564949470052,-52,-0.006408676361843724
56,118,5,8114,347,0.042765590337687946,399,0.04917426669953168,52,0.006408676361843731
66,133,1,2587,112,0.04329339002705837,107,0.04136064940085041,-5,-0.0019327406262079627
66,86,2,2587,84,0.03247004252029378,83,0.03208349439505218,-1,-0.0003865481252415953
66,32,3,2587,65,0.02512562814070352,68,0.026285272516428294,3,0.0011596443757247756
66,115,4,2587,56,0.021646695013529185,49,0.018940858136838035,-7,-0.00270583687669115
66,61,5,2587,40,0.015461925009663703,36,0.013915732508697333,-4,-0.0015461925009663709
69,104,1,605,10,0.01652892561983471,10,0.01652892561983471,0,0.0
69,28,2,605,4,0.006611570247933884,4,0.006611570247933884,0,0.0
69,105,3,605,4,0.006611570247933884,3,0.0049586776859504135,-1,-0.0016528925619834706
69,45,4,605,2,0.003305785123966942,2,0.003305785123966942,0,0.0
69,61,5,605,2,0.003305785123966942,2,0.003305785123966942,0,0.0
104,117,1,1719,487,0.283304246655032,450,0.2617801047120419,-37,-0.021524141942990127
104,105,2,1719,144,0.08376963350785341,154,0.089586969168121,10,0.005817335660267597
104,42,3,1719,109,0.06340895869691682,132,0.07678883071553229,23,0.013379872018615471
104,53,4,1719,100,0.058173356602675974,64,0.03723094822571262,-36,-0.020942408376963352
104,110,5,1719,73,0.04246655031995346,73,0.04246655031995346,0,0.0
109,65,1,1236,28,0.022653721682847898,28,0.022653721682847898,0,0.0
109,107,2,1236,26,0.021035598705501618,30,0.024271844660194174,4,0.0032362459546925564
109,106,3,1236,3,0.0024271844660194173,3,0.0024271844660194173,0,0.0
109,3,4,1236,2,0.0016181229773462784,2,0.0016181229773462784,0,0.0
109,14,5,1236,2,0.0016181229773462784,2,0.0016181229773462784,0,0.0
118,90,1,1354,20,0.014771048744460856,18,0.013293943870014771,-2,-0.001477104874446085
118,137,2,1354,8,0.005908419497784343,8,0.005908419497784343,0,0.0
118,111,3,1354,7,0.0051698670605613,7,0.0051698670605613,0,0.0
118,25,4,1354,6,0.004431314623338257,7,0.0051698670605613,1,0.0007385524372230425
118,175,5,1354,6,0.004431314623338257,4,0.0029542097488921715,-2,-0.0014771048744460858
139,133,1,1011,165,0.1632047477744807,161,0.15924826904055392,-4,-0.003956478733926794
139,61,2,1011,96,0.09495548961424333,102,0.10089020771513353,6,0.0059347181008902045
139,68,3,1011,75,0.07418397626112759,76,0.0751730959446093,1,0.0009891196834817123
139,32,4,1011,64,0.06330365974282888,64,0.06330365974282888,0,0.0
139,156,5,1011,52,0.051434223541048464,45,0.04451038575667656,-7,-0.006923837784371903
164,117,1,1702,252,0.14806110458284372,263,0.154524089306698,11,0.006462984723854287
164,149,2,1702,91,0.05346650998824912,79,0.046415981198589897,-12,-0.00705052878965922
164,124,3,1702,64,0.03760282021151586,69,0.04054054054054054,5,0.0029377203290246803
164,122,4,1702,49,0.028789659224441832,23,0.013513513513513514,-26,-0.015276145710928318
164,138,5,1702,47,0.027614571092831962,30,0.01762632197414806,-17,-0.0099882491186839
174,2,1,1067,231,0.21649484536082475,236,0.2211808809746954,5,0.004686035613870654
174,28,2,1067,157,0.1471415182755389,173,0.16213683223992503,16,0.014995313964386137
174,117,3,1067,111,0.10402999062792877,96,0.08997188378631678,-15,-0.01405810684161199
174,93,4,1067,76,0.07122774133083412,73,0.06841611996251172,-3,-0.0028116213683224006
174,143,5,1067,52,0.04873477038425492,50,0.046860356138706656,-2,-0.001874414245548267
