method,alpha,tau_conf,momentum,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
best_caps_target_proto,2.0,0.8,0.9,69,45,4,2,0.003305785123966942,605
best_caps_target_proto,2.0,0.8,0.9,69,61,5,2,0.003305785123966942,605
best_caps_target_proto,2.0,0.8,0.9,104,117,1,450,0.2617801047120419,1719
best_caps_target_proto,2.0,0.8,0.9,104,105,2,154,0.089586969168121,1719
best_caps_target_proto,2.0,0.8,0.9,104,42,3,132,0.07678883071553229,1719
best_caps_target_proto,2.0,0.8,0.9,104,110,4,73,0.04246655031995346,1719
best_caps_target_proto,2.0,0.8,0.9,104,53,5,64,0.03723094822571262,1719
best_caps_target_proto,2.0,0.8,0.9,109,107,1,30,0.024271844660194174,1236
best_caps_target_proto,2.0,0.8,0.9,109,65,2,28,0.022653721682847898,1236
best_caps_target_proto,2.0,0.8,0.9,109,106,3,3,0.0024271844660194173,1236
best_caps_target_proto,2.0,0.8,0.9,109,3,4,2,0.0016181229773462784,1236
best_caps_target_proto,2.0,0.8,0.9,109,14,5,2,0.0016181229773462784,1236
best_caps_target_proto,2.0,0.8,0.9,118,90,1,18,0.013293943870014771,1354
best_caps_target_proto,2.0,0.8,0.9,118,137,2,8,0.005908419497784343,1354
best_caps_target_proto,2.0,0.8,0.9,118,25,3,7,0.0051698670605613,1354
best_caps_target_proto,2.0,0.8,0.9,118,111,4,7,0.0051698670605613,1354
best_caps_target_proto,2.0,0.8,0.9,118,96,5,4,0.0029542097488921715,1354
best_caps_target_proto,2.0,0.8,0.9,139,133,1,161,0.15924826904055392,1011
best_caps_target_proto,2.0,0.8,0.9,139,61,2,102,0.10089020771513353,1011
best_caps_target_proto,2.0,0.8,0.9,139,68,3,76,0.0751730959446093,1011
best_caps_target_proto,2.0,0.8,0.9,139,32,4,64,0.06330365974282888,1011
best_caps_target_proto,2.0,0.8,0.9,139,156,5,45,0.04451038575667656,1011
best_caps_target_proto,2.0,0.8,0.9,164,117,1,263,0.154524089306698,1702
best_caps_target_proto,2.0,0.8,0.9,164,149,2,79,0.046415981198589897,1702
best_caps_target_proto,2.0,0.8,0.9,164,124,3,69,0.04054054054054054,1702
best_caps_target_proto,2.0,0.8,0.9,164,100,4,30,0.01762632197414806,1702
best_caps_target_proto,2.0,0.8,0.9,164,138,5,30,0.01762632197414806,1702
best_caps_target_proto,2.0,0.8,0.9,174,2,1,236,0.2211808809746954,1067
best_caps_target_proto,2.0,0.8,0.9,174,28,2,173,0.16213683223992503,1067
best_caps_target_proto,2.0,0.8,0.9,174,117,3,96,0.08997188378631678,1067
best_caps_target_proto,2.0,0.8,0.9,174,93,4,73,0.06841611996251172,1067
best_caps_target_proto,2.0,0.8,0.9,174,128,5,50,0.046860356138706656,1067
