class,accepted,reference_support,target_support,accepted_per_target_support
88,20,204,239,0.08368200836820083
89,247,486,552,0.447463768115942
90,2208,7635,3605,0.6124826629680998
91,1736,4262,2609,0.665389037945573
92,665,2288,804,0.8271144278606966
93,9015,34812,24700,0.36497975708502023
94,477,633,123,3.8780487804878048
95,42778,50223,53160,0.8047027840481565
96,17280,55119,37892,0.45603293571202363
97,17473,41580,30023,0.5819871431902208
98,44877,63298,48679,0.9218965056800674
99,16297,23955,18048,0.9029809397163121
100,6531,30504,10947,0.5966018087147164
101,2503,60629,44889,0.05575976297088374
102,32577,79891,41479,0.7853853757322983
103,1200,1787,1231,0.974817221770918
104,24,3363,1719,0.013961605584642234
105,76,4895,1105,0.06877828054298643
106,1515,3993,2288,0.6621503496503497
107,1967,3873,2160,0.9106481481481481
108,4173,11663,7204,0.5792615213770128
109,1099,1867,1236,0.88915857605178
110,2201,9808,6102,0.36070140937397577
111,210,2817,1330,0.15789473684210525
112,243,3822,1780,0.13651685393258428
113,1785,5042,2014,0.8862959285004965
114,2397,3329,1939,1.2362042289840123
115,4312,22978,13745,0.31371407784648964
116,1241,4023,3519,0.3526570048309179
117,7324,84936,45039,0.1626146228823908
118,1082,3760,1354,0.7991137370753324
119,815,2846,1430,0.5699300699300699
120,478,2918,1510,0.3165562913907285
121,4,2543,7,0.5714285714285714
122,20605,61426,41710,0.4940062335171422
123,724,3393,1121,0.6458519179304193
124,6774,30492,20257,0.33440292244656167
125,1019,3522,2871,0.35492859630790663
126,652,2112,1107,0.5889792231255646
127,833,3002,2163,0.3851132686084142
128,929,2342,2154,0.43129062209842156
129,13287,44177,19427,0.6839450249652546
130,2282,7092,4594,0.49673487157161517
131,22478,30533,26165,0.8590865660233136
132,6858,23157,10712,0.6402165795369679
133,13966,54110,36135,0.3864950878649509
134,3739,10738,6337,0.5900268265740887
135,560,3069,1882,0.2975557917109458
136,5166,22342,14759,0.3500237143437902
138,4461,43631,28132,0.15857386606000284
139,66,2846,1011,0.06528189910979229
140,2816,71932,13811,0.2038954456592571
141,311,2022,1364,0.2280058651026393
142,3087,62604,23002,0.13420572124163116
143,659,4384,2408,0.27367109634551495
144,2553,3642,3002,0.8504330446369087
145,1690,2224,1697,0.995875073659399
146,3286,4793,4786,0.6865858754701212
147,10,2203,55,0.18181818181818182
148,2808,6812,4632,0.6062176165803109
149,3553,74194,32883,0.10804975215156767
150,521,2305,1436,0.3628133704735376
151,449,2021,1469,0.3056501021102791
152,221,1673,336,0.6577380952380952
153,7136,70973,39925,0.17873512836568567
154,95,2978,1219,0.07793273174733388
155,911,11183,5019,0.18151026100816897
156,4857,32897,19602,0.2477808386899296
157,457,2075,937,0.48772678762006405
158,2945,12544,5930,0.4966273187183811
159,252,3182,1512,0.16666666666666666
160,118,1553,1230,0.0959349593495935
161,453,3031,1512,0.2996031746031746
162,37,486,241,0.15352697095435686
163,28,3156,1276,0.0219435736677116
164,731,3315,1702,0.4294947121034078
165,5238,5176,5683,0.9216962871722681
166,224,2317,1530,0.14640522875816994
167,4,668,23,0.17391304347826086
168,506,3924,2156,0.23469387755102042
169,1308,2891,2090,0.6258373205741626
170,831,3774,1882,0.44155154091392135
171,1384,7082,6243,0.2216882908857921
172,2960,7688,5217,0.5673758865248227
173,1290,4960,1718,0.7508731082654249
174,2,4246,1067,0.0018744142455482662
175,3542,50628,32188,0.11004100907170374
176,748,4309,1623,0.46087492298213184
177,943,1540,1188,0.7937710437710438
