period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-11,147,153,24,0.036308623298033284,327
M-2022-11,168,64,167,0.03624131944444445,328
M-2022-11,2,133,279,0.03618677042801557,329
M-2022-11,50,14,52,0.03616133518776078,330
M-2022-11,47,53,3,0.03614457831325301,331
M-2022-11,47,94,3,0.03614457831325301,332
M-2022-11,155,61,409,0.036054301833568406,333
M-2022-11,176,17,138,0.036003130707018,334
M-2022-11,46,13,437,0.03599077581946961,335
M-2022-11,14,155,438,0.03589575479429602,336
M-2022-11,72,82,352,0.03589272968287958,337
M-2022-11,123,25,285,0.03586258965647414,338
M-2022-11,85,175,45,0.03577106518282989,339
M-2022-11,41,153,98,0.035688273852876914,340
M-2022-11,27,4,495,0.035542471458318375,341
M-2022-11,89,155,21,0.03553299492385787,342
M-2022-11,28,142,398,0.03535263812400071,343
M-2022-11,146,29,224,0.03523120478137779,344
M-2022-11,176,155,135,0.03522045395251761,345
M-2022-11,69,60,80,0.03502626970227671,346
M-2022-11,162,104,6,0.03488372093023256,347
M-2022-11,162,160,6,0.03488372093023256,348
M-2022-11,147,157,23,0.03479576399394856,349
M-2022-11,11,2,106,0.03469721767594108,350
M-2022-11,109,142,52,0.03468979319546364,351
M-2022-11,8,28,71,0.03431609473175447,352
M-2022-11,93,136,1123,0.03421902614418917,353
M-2022-11,16,60,77,0.034070796460176994,354
M-2022-11,67,133,85,0.033891547049441785,355
M-2022-11,93,131,1110,0.03382290206593942,356
M-2022-11,166,41,77,0.033816425120772944,357
M-2022-11,108,78,210,0.033783783783783786,358
M-2022-11,170,124,104,0.033700583279325985,359
M-2022-11,21,117,138,0.0336339263953205,360
M-2022-11,16,14,76,0.033628318584070796,361
M-2022-11,137,63,86,0.03356752537080406,362
M-2022-11,50,87,48,0.03337969401947149,363
M-2022-11,140,153,1323,0.03334425485797817,364
M-2022-11,33,2,7,0.03333333333333333,365
M-2022-11,38,143,3,0.03333333333333333,366
M-2022-11,64,110,71,0.03327085285848173,367
M-2022-11,174,131,108,0.0332409972299169,368
M-2022-11,129,117,1174,0.03324084036468656,369
M-2022-11,37,166,46,0.03314121037463977,370
M-2022-11,120,121,65,0.03307888040712468,371
M-2022-11,29,117,1460,0.03301150880683745,372
M-2022-11,139,140,74,0.03285968028419183,373
M-2022-11,176,153,125,0.03261153143751631,374
M-2022-11,21,17,133,0.03241530587375092,375
M-2022-11,70,77,58,0.03238414293690676,376
M-2022-11,138,117,621,0.031983930778739185,377
M-2022-11,164,124,79,0.0318676885841065,378
M-2022-11,81,71,110,0.03178272175671771,379
M-2022-11,147,133,21,0.03177004538577912,380
M-2022-11,141,68,57,0.03170189098998888,381
M-2022-11,82,72,1455,0.03161943671766342,382
M-2022-11,129,79,1116,0.031598618268305116,383
M-2022-11,28,95,355,0.03153313199502576,384
M-2022-11,143,156,198,0.03151862464183381,385
M-2022-11,131,93,860,0.03143504642152204,386
M-2022-11,109,107,47,0.03135423615743829,387
M-2022-11,94,29,18,0.03130434782608696,388
M-2022-11,79,77,400,0.031271988116644514,389
M-2022-11,101,97,1892,0.031229882970470264,390
M-2022-11,126,60,119,0.031192660550458717,391
M-2022-11,13,61,71,0.03093681917211329,392
M-2022-11,53,14,275,0.0308676619149175,393
M-2022-11,129,86,1081,0.030607622175661136,394
M-2022-11,41,23,84,0.03058994901675164,395
M-2022-11,104,131,83,0.030525928650239058,396
M-2022-11,117,102,2895,0.03047625063163214,397
M-2022-11,22,19,34,0.030222222222222223,398
M-2022-11,35,18,50,0.030175015087507542,399
M-2022-11,13,93,69,0.030065359477124184,400
M-2022-11,13,133,69,0.030065359477124184,401
M-2022-11,96,122,1897,0.029902741215971248,402
M-2022-11,50,118,43,0.029902642559109873,403
M-2022-11,126,153,114,0.029882044560943642,404
M-2022-11,174,25,97,0.029855340104647583,405
M-2022-11,97,149,1337,0.029823778719607407,406
M-2022-11,158,140,330,0.02981029810298103,407
M-2022-11,5,83,66,0.029662921348314608,408
M-2022-11,41,160,81,0.029497450837581936,409
M-2022-11,0,82,46,0.029355456285896617,410
M-2022-11,22,153,33,0.029333333333333333,411
M-2022-11,43,61,86,0.029291553133514985,412
M-2022-11,173,23,34,0.029159519725557463,413
M-2022-11,162,61,5,0.029069767441860465,414
M-2022-11,104,132,79,0.029054799558661273,415
M-2022-11,152,155,25,0.029036004645760744,416
M-2022-11,16,86,65,0.028761061946902654,417
M-2022-11,140,19,1138,0.02868160395191169,418
M-2022-11,115,175,701,0.028573757795622223,419
M-2022-11,74,82,99,0.02857142857142857,420
M-2022-11,33,142,6,0.02857142857142857,421
