period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-4,160,1553,1553,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,161,3031,3031,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,162,486,486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,163,3156,3156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,164,3315,3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,165,5176,5176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,166,2317,2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,167,668,668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,168,3924,3924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,169,2891,2891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,170,3774,3774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,171,7082,7082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,172,7688,7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,173,4960,4960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,174,4246,4246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,175,50628,50628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,176,4309,4309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-4,177,1540,1540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M-2022-5,0,1621,1414,5442.677914605597,0.5772913327289371,415.23143160795325,7.839697062205783,6.792997752689338,14.751398523801655,0.006209877280219822
M-2022-5,1,10263,10792,193.79286792206446,0.3551461553724157,14.928139920101287,3.2610159277376907,2.7317800060605535,2.595732415463714,-0.005001890666064157
M-2022-5,2,8750,7583,2881.7268172490863,0.2497034343738816,46.80149748497578,1.812332556364804,1.5719858261089708,2.852256794607622,0.04544593687219456
M-2022-5,3,1684,1593,1157.1964398877026,0.3059149068147016,11.99223331588768,3.1666766692259096,2.532668092869193,2.849439949955315,-0.04629459654305357
M-2022-5,4,4052,3737,465.54901651821746,0.21554452275621647,4.010334609139333,61.95460830572925,18.343447677884146,1.9867149384530212,0.002496482482702178
