true_class,pred_class,rank_for_bad_class,support,static_count,static_rate,caps_count,caps_rate,delta_count,delta_rate
28,158,4,11735,520,0.044311887515977845,545,0.04644226672347678,25,0.0021303792074989364
28,95,5,11735,272,0.023178525777588412,302,0.025734980826587133,30,0.002556455048998721
38,125,1,92,21,0.22826086956521738,32,0.34782608695652173,11,0.11956521739130435
38,105,2,92,14,0.15217391304347827,5,0.05434782608695652,-9,-0.09782608695652176
38,133,3,92,7,0.07608695652173914,6,0.06521739130434782,-1,-0.010869565217391311
38,128,4,92,6,0.06521739130434782,4,0.043478260869565216,-2,-0.021739130434782608
38,156,5,92,4,0.043478260869565216,4,0.043478260869565216,0,0.0
47,6,1,34,10,0.29411764705882354,11,0.3235294117647059,1,0.02941176470588236
47,177,2,34,10,0.29411764705882354,12,0.35294117647058826,2,0.05882352941176472
47,14,3,34,7,0.20588235294117646,4,0.11764705882352941,-3,-0.08823529411764705
47,151,4,34,3,0.08823529411764706,3,0.08823529411764706,0,0.0
47,117,5,34,2,0.058823529411764705,2,0.058823529411764705,0,0.0
48,6,1,2986,1633,0.5468854655056933,1644,0.550569323509712,11,0.003683858004018714
48,177,2,2986,1295,0.4336905559276624,1304,0.43670462156731416,9,0.0030140656396517307
48,14,3,2986,52,0.017414601473543203,34,0.011386470194239785,-18,-0.006028131279303418
48,5,4,2986,2,0.0006697923643670462,2,0.0006697923643670462,0,0.0
48,151,5,2986,2,0.0006697923643670462,1,0.0003348961821835231,-1,-0.0003348961821835231
56,96,1,10706,4072,0.38034746870913505,4076,0.3807210909770222,4,0.0003736222678871748
56,165,2,10706,3888,0.3631608443863254,3967,0.37053988417709693,79,0.0073790397907715355
56,14,3,10706,804,0.07509807584532038,809,0.07556510368017934,5,0.0004670278348589546
56,170,4,10706,598,0.055856529049131326,547,0.05109284513356996,-51,-0.0047636839155613675
56,90,5,10706,317,0.02960956473005791,330,0.0308238371006912,13,0.0012142723706332903
66,142,1,4226,281,0.0664931377188831,284,0.06720302886890676,3,0.0007098911500236643
66,49,2,4226,163,0.038570752484619025,163,0.038570752484619025,0,0.0
66,108,3,4226,134,0.03170847136772362,134,0.03170847136772362,0,0.0
66,139,4,4226,127,0.030052058684335067,112,0.026502602934216753,-15,-0.0035494557501183147
66,133,5,4226,96,0.022716516800757217,93,0.022006625650733556,-3,-0.0007098911500236608
69,105,1,1232,637,0.5170454545454546,630,0.5113636363636364,-7,-0.005681818181818232
69,39,2,1232,146,0.1185064935064935,133,0.10795454545454546,-13,-0.010551948051948049
69,125,3,1232,124,0.10064935064935066,143,0.11607142857142858,19,0.01542207792207792
69,60,4,1232,62,0.05032467532467533,59,0.04788961038961039,-3,-0.002435064935064936
69,63,5,1232,41,0.033279220779220776,55,0.044642857142857144,14,0.011363636363636367
104,2,1,2391,509,0.21288163948138855,685,0.2864910079464659,176,0.07360936846507737
104,133,2,2391,435,0.18193224592220827,421,0.17607695524884986,-14,-0.00585529067335841
104,19,3,2391,389,0.16269343370974487,459,0.191969887076537,70,0.029276453366792132
104,117,4,2391,321,0.1342534504391468,117,0.04893350062735257,-204,-0.08531994981179422
104,34,5,2391,112,0.04684232538686742,124,0.05186114596403179,12,0.005018820577164372
109,65,1,1824,59,0.03234649122807018,59,0.03234649122807018,0,0.0
109,107,2,1824,35,0.01918859649122807,36,0.019736842105263157,1,0.000548245614035086
109,140,3,1824,24,0.013157894736842105,29,0.015899122807017545,5,0.00274122807017544
109,142,4,1824,14,0.007675438596491228,9,0.004934210526315789,-5,-0.0027412280701754384
109,106,5,1824,7,0.003837719298245614,10,0.005482456140350877,3,0.001644736842105263
118,90,1,2917,40,0.013712718546451834,34,0.011655810764484058,-6,-0.0020569077819677754
118,25,2,2917,14,0.0047994514912581415,13,0.004456633527596846,-1,-0.00034281796366129533
118,175,3,2917,14,0.0047994514912581415,10,0.0034281796366129585,-4,-0.001371271854645183
118,129,4,2917,12,0.00411381556393555,15,0.005142269454919438,3,0.0010284538909838877
118,96,5,2917,5,0.0017140898183064792,5,0.0017140898183064792,0,0.0
139,133,1,1906,338,0.17733473242392445,327,0.17156348373557187,-11,-0.005771248688352576
139,61,2,1906,211,0.11070304302203568,229,0.12014690451206715,18,0.009443861490031472
139,32,3,1906,194,0.10178384050367262,181,0.09496327387198321,-13,-0.006820566631689409
139,153,4,1906,70,0.03672612801678909,62,0.03252885624344176,-8,-0.004197271773347326
139,156,5,1906,56,0.02938090241343127,50,0.026232948583420776,-6,-0.003147953830010493
164,117,1,2237,255,0.11399195350916407,261,0.1166741171211444,6,0.002682163611980329
164,138,2,2237,255,0.11399195350916407,188,0.08404112650871703,-67,-0.02995082700044703
164,149,3,2237,181,0.0809119356280733,173,0.0773357174787662,-8,-0.0035762181493071005
164,124,4,2237,72,0.03218596334376397,73,0.03263299061242736,1,0.00044702726866339276
164,83,5,2237,30,0.013410818059901655,29,0.012963790791238265,-1,-0.0004470272686633893
174,2,1,2702,1242,0.45965951147298295,1353,0.500740192450037,111,0.04108068097705403
174,93,2,2702,284,0.10510732790525537,195,0.07216876387860843,-89,-0.03293856402664694
174,28,3,2702,261,0.09659511472982976,293,0.10843819393042191,32,0.011843079200592146
174,133,4,2702,224,0.08290155440414508,216,0.07994078460399703,-8,-0.002960769800148047
174,117,5,2702,183,0.06772760917838638,146,0.0540340488527017,-37,-0.013693560325684681
