class,accepted,reference_support,target_support,accepted_per_target_support
57,1422,3065,2065,0.6886198547215496
58,2296,2286,2316,0.9913644214162349
59,8741,13724,8856,0.9870144534778681
60,18806,49622,59907,0.31391990919258184
61,10938,19676,22920,0.47722513089005236
62,19942,15549,24087,0.8279154730767634
63,4576,11152,12148,0.37668752057951926
64,1780,2437,4110,0.43309002433090027
65,2308,3145,3253,0.7094989240700892
66,1224,5149,4226,0.28963558920965454
68,2706,7271,3689,0.73353212252643
69,21,879,1232,0.017045454545454544
70,443,2642,1735,0.2553314121037464
71,11499,149408,63797,0.18024358512155744
72,2311,17880,10327,0.22378231819502276
73,11414,29211,13787,0.8278813374918401
74,858,9210,3353,0.25589024753951684
75,2012,28060,11581,0.17373283826957947
76,2293,10523,4405,0.520544835414302
77,2988,81932,27623,0.10817072729247366
78,9092,48009,16173,0.5621715204352934
79,3273,25102,12335,0.26534252128090796
80,125,6096,1260,0.0992063492063492
81,2850,7217,3661,0.7784758262769735
82,6298,79609,35248,0.17867680435769406
83,17278,24502,32633,0.5294640394692489
84,1616,2397,1777,0.9093978615644345
85,742,2080,1115,0.6654708520179372
86,14596,27759,52904,0.27589596249810977
87,5569,11231,7329,0.7598580979669805
88,15,204,229,0.06550218340611354
89,280,486,613,0.4567699836867863
90,3750,7635,6090,0.6157635467980296
91,2468,4262,3610,0.6836565096952909
92,1436,2288,1810,0.7933701657458564
93,18939,34812,34838,0.5436305183994489
94,26,633,350,0.07428571428571429
95,3463,50223,4023,0.8608003977131494
96,30827,55119,61021,0.5051867389914947
97,25071,41580,45643,0.549284665775694
98,55739,63298,59567,0.9357362297916632
99,23315,23955,27230,0.8562247521116416
100,9928,30504,27178,0.36529545956288173
101,12292,60629,55343,0.22210577670166054
102,33563,79891,56050,0.5988046387154327
103,921,1787,2918,0.3156271418779986
104,33,3363,2391,0.013801756587202008
105,429,4895,4902,0.08751529987760098
106,1760,3993,2736,0.6432748538011696
107,2941,3873,3189,0.9222326748196927
108,2261,11663,5587,0.40468945766959014
109,1449,1867,1824,0.7944078947368421
110,2852,9808,8030,0.3551681195516812
111,388,2817,2242,0.17305976806422838
112,475,3822,1706,0.2784290738569754
113,4242,5042,4746,0.8938053097345132
114,804,3329,820,0.9804878048780488
115,7666,22978,21104,0.363248673237301
116,2114,4023,4100,0.515609756097561
117,9378,84936,83533,0.11226700824823722
118,2408,3760,2917,0.8255056564964004
119,1556,2846,2621,0.5936665394887447
120,602,2918,2381,0.252834943301134
121,17,2543,205,0.08292682926829269
122,24602,61426,57235,0.4298418799685507
123,546,3393,8886,0.06144496961512492
124,10202,30492,24809,0.4112217340481277
125,1750,3522,3524,0.4965947786606129
126,396,2112,807,0.49070631970260226
127,2144,3002,8546,0.2508776035572198
128,2502,2342,4543,0.5507373981950253
129,19836,44177,31048,0.6388817315124968
130,2848,7092,6353,0.44829214544309776
131,21100,30533,26225,0.8045757864632984
132,12829,23157,18623,0.6888793427482146
133,19872,54110,46808,0.42454281319432574
134,5099,10738,8353,0.6104393631030768
135,91,3069,2978,0.030557421087978508
136,5243,22342,17861,0.2935445943676166
138,1269,43631,17872,0.07100492390331245
139,104,2846,1906,0.05456453305351522
140,8937,71932,39024,0.22901291512915128
141,369,2022,1846,0.19989165763813652
142,5988,62604,27783,0.2155274808336033
143,516,4384,4318,0.11949976841130153
144,2082,3642,2456,0.8477198697068404
145,1491,2224,1504,0.9913563829787234
146,2651,4793,5568,0.47611350574712646
147,18,2203,801,0.02247191011235955
148,3340,6812,5342,0.6252339947585174
149,5264,74194,56482,0.09319783293792713
150,503,2305,1195,0.42092050209205023
151,746,2021,2077,0.3591718825228695
152,428,1673,618,0.6925566343042071
153,18252,70973,90325,0.20207030168834764
154,273,2978,3149,0.08669418863131152
155,1574,11183,9885,0.1592311583206879
156,10641,32897,24907,0.42722929296984785
157,1154,2075,1745,0.6613180515759313
158,4524,12544,11346,0.3987308302485457
159,352,3182,2457,0.14326414326414327
160,923,1553,2407,0.3834648940589946
161,703,3031,929,0.7567276641550054
162,46,486,255,0.1803921568627451
163,23,3156,2116,0.010869565217391304
164,550,3315,2237,0.24586499776486365
165,7966,5176,6592,1.2084344660194175
166,151,2317,3035,0.04975288303130148
167,15,668,125,0.12
168,1055,3924,4172,0.2528763183125599
169,399,2891,2044,0.1952054794520548
170,1257,3774,3079,0.4082494316336473
171,1539,7082,7488,0.20552884615384615
172,2638,7688,8866,0.29754116850891044
173,601,4960,1393,0.4314429289303661
174,3,4246,2702,0.0011102886750555144
175,6938,50628,36003,0.19270616337527427
176,1519,4309,3404,0.4462397179788484
177,1134,1540,1613,0.7030378177309361
