method,period,class_id,groups,support,precision,recall,f1
bn_static,M-2022-10,11,degraded_noncollapsed,2001,0.6818181818181818,0.022488755622188907,0.04354136429608128
bn_static,M-2022-10,12,degraded_noncollapsed,2580,0.8293124246079614,0.5329457364341085,0.6488909863142992
bn_static,M-2022-10,13,absorber,1607,0.2780804150453956,0.6670815183571873,0.3925302087147565
bn_static,M-2022-10,14,absorber;degraded_noncollapsed,10007,0.2180769511571877,0.29849105626061756,0.2520249746878164
bn_static,M-2022-10,15,stable,951,0.7472118959107806,0.6340694006309149,0.6860068259385665
bn_static,M-2022-10,16,,2405,0.2200392927308448,0.1862785862785863,0.20175636117991444
bn_static,M-2022-10,17,,11892,0.9206185567010309,0.9011099899091827,0.9107598164201938
bn_static,M-2022-10,18,,43004,0.8174592134809133,0.9565854339131243,0.8815669634725214
bn_static,M-2022-10,19,degraded_noncollapsed,29160,0.6903610322339064,0.7587105624142662,0.7229238485794108
bn_static,M-2022-10,20,,2388,0.651062416998672,0.8211892797319933,0.7262962962962963
bn_static,M-2022-10,21,,3959,0.829041985618186,0.9027532205102299,0.864328899637243
bn_static,M-2022-10,22,,1178,0.35526315789473684,0.5730050933786078,0.43859649122807015
bn_static,M-2022-10,23,,8236,0.5922091464322955,0.9653958232151529,0.734096574646847
bn_static,M-2022-10,24,degraded_noncollapsed,12024,0.9581912094337783,0.8176979374584165,0.8823872560017949
bn_static,M-2022-10,25,,46993,0.7691261801260078,0.8546592045623816,0.8096399629077128
bn_static,M-2022-10,26,final_collapsed;abrupt_collapsed,1400,0.402740768937952,0.7557142857142857,0.5254531909610132
bn_static,M-2022-10,27,,10235,0.9979642968994676,0.6226673180263801,0.7668611996871427
bn_static,M-2022-10,28,degraded_noncollapsed,11735,0.6816987740805605,0.39804005112910096,0.5026093506214021
bn_static,M-2022-10,29,,34921,0.7894911872297972,0.6118381489648063,0.6894037170882809
bn_static,M-2022-10,30,,991,0.9846153846153847,0.3229061553985873,0.48632218844984804
bn_static,M-2022-10,31,,1938,0.7560386473429952,0.9690402476780186,0.8493894165535957
bn_static,M-2022-10,32,degraded_noncollapsed,1783,0.11914124774152407,0.6287156477846326,0.2003216583273767
bn_static,M-2022-10,33,,124,0.4852941176470588,0.2661290322580645,0.34375
bn_static,M-2022-10,34,degraded_noncollapsed,1682,0.7257142857142858,0.07550535077288942,0.1367797522886376
