method,strategy,budget,replay_mode,replay_per_class,target_repeat,replay_samples,selected_collapse_labels,selected_absorber_preds,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support,collapsed_count,severe_collapsed_count,head_train_samples,selected_mean_proto_distance,period,input_dir,delta_macro_f1_vs_static,delta_collapse_f1_vs_static,delta_stable_f1_vs_static
active_head_ft,random,500,all,5,2,890,7,55,0.7876874117112448,0.6772987668000643,0.44947500240824584,0.3220015083296646,31143,0.9364330265199949,0.8790727677288688,204902,3,2,1890,0.15803518891334534,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.00630636767552506,0.06387528025626077,-0.029913535500396327
active_head_ft,random,1000,all,5,2,890,19,113,0.8021620491556946,0.6886356559258676,0.5640432842051183,0.3916917308865165,31143,0.9368088159217577,0.8765954776868226,204902,2,1,2890,0.15970678627490997,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,0.005030521450278269,0.13356550281311264,-0.03239082554244255
active_head_ft,margin,200,all,5,2,890,6,20,0.7795606117578966,0.662362653347631,0.37709918761840544,0.27453022440467495,31143,0.9326458502113205,0.8611181936337748,204902,4,3,1290,0.18895433843135834,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.021242481127958346,0.016403996331271098,-0.04786810959549026
active_head_ft,margin,500,all,5,2,890,13,60,0.7922146679229742,0.6782301499393587,0.41123205856853867,0.2922056530384434,31143,0.9324799172287239,0.8664158269930196,204902,4,4,1890,0.189037024974823,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.0053749845362306425,0.03407942496503957,-0.04257047623624555
active_head_ft,margin,1000,all,5,2,890,27,129,0.8029523227413444,0.690066404970414,0.5025527405837588,0.3437420115771448,31143,0.9381167582551659,0.8692016126765028,204902,3,3,2890,0.18784062564373016,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,0.0064612704948247,0.08561578350374094,-0.03978469055276235
active_head_ft,absorber_random,200,all,5,2,890,11,200,0.7212294198578862,0.6356775208711026,0.3921908615098096,0.2996272667513145,31143,0.9198153263511337,0.8379788608014284,204902,3,3,1290,0.16592732071876526,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.04792761360448672,0.04150103867791066,-0.07100744242783674
active_head_ft,absorber_random,500,all,5,2,890,26,500,0.748141308466574,0.6464540297093097,0.42895674790482613,0.3139297977340353,31143,0.920156953080009,0.847267341729107,204902,2,2,1890,0.17037518322467804,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.0371511047662797,0.055803569660631436,-0.0617189615001581
active_head_ft,absorber_random,1000,all,5,2,890,44,1000,0.7617090428494758,0.6585914837740978,0.4779244131907652,0.34611220243689506,31143,0.9150081502376746,0.8540805696854857,204902,2,2,2890,0.1731216311454773,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.02501365070149153,0.0879859743634912,-0.05490573354377937
active_head_ft,absorber_margin,200,all,5,2,890,12,200,0.763130373848284,0.6526854383607558,0.4055485984009248,0.3198622826026546,31143,0.918146235761486,0.8474657950350478,204902,3,0,1290,0.1926114410161972,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.030919696114833584,0.06173605452925074,-0.06152050819421728
active_head_ft,absorber_margin,500,all,5,2,890,22,500,0.7575055423198038,0.6509027404264672,0.4454933692964711,0.34106319622514153,31143,0.9161306380611219,0.8558186076129669,204902,3,1,1890,0.19213363528251648,M-2022-10,outputs/collapse_active_replay_tls22_M-2022-10_all_r5_tr2,-0.03270239404912212,0.08293696815173768,-0.053167695616298194
